Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2021-01-22,41.72166296796067,42.40398409333169,41.63978429409756,42.24022674560547,3773800,361.60650634765625,,,,,,,,,0,,
2021-01-25,41.8035407118812,42.40398315003193,41.59429598787795,42.367591857910156,5031400,363.0326843261719,24.0,,,3.0,,,,,0,,
2021-01-26,42.522254060126116,42.749694435249786,42.21293501113933,42.24022674560547,3956600,362.4659118652344,24.0,,,1.0,,,,,0,,
2021-01-27,41.639780476987326,41.91270820802356,40.72091950225926,41.07572937011719,4463200,353.607177734375,45.0,,,1.0,,,,,1,,
2021-01-28,41.503321580037664,42.313008816764004,41.21219815718022,41.95820236206055,4272600,356.64825439453125,53.0,,,1.0,,,,,0,,
2021-01-29,41.758052898588105,41.81263636573966,40.73002146483722,41.103023529052734,5236800,349.5082702636719,59.0,,,1.0,,,,,0,,
2021-02-01,41.29407589824988,41.75805622882846,40.81190339081301,41.494224548339844,3161700,355.3260192871094,60.0,,,1.0,,,,,0,,
2021-02-02,42.08555926519081,42.46766084356158,41.88541412458154,42.13105010986328,3120300,360.3504333496094,62.0,,,1.0,,,,,0,,
2021-02-03,41.84902526960575,41.967295225793364,41.42143629217204,41.74895095825195,3327700,360.63385009765625,63.0,,,1.0,,,,,0,,
2021-02-04,41.90361314148374,42.431272971610504,41.421437218762385,41.621585845947266,4893100,364.732666015625,62.0,,,1.0,,,,,0,,
2021-02-05,41.73075766704831,41.74895331290836,40.87558313441313,41.34865951538086,4651400,366.1681823730469,62.0,,,1.0,,,,,0,,
2021-02-08,41.58519223709899,42.28570892272792,41.448730111097056,42.103755950927734,4668700,368.8126220703125,65.0,,,1.0,,,,,0,,
2021-02-09,42.11286071433837,42.37669238254075,41.758054284221565,42.07646942138672,3708300,368.5670471191406,64.0,,,1.0,,,,,0,,
2021-02-10,42.258420059650476,42.631422115447144,41.94000146977337,42.47676086425781,4039900,368.4065246582031,65.0,,,1.0,,,,,0,,
2021-02-11,42.5859351822917,42.83157119289164,42.26751658908531,42.658714294433594,2767800,369.0014953613281,64.0,,1.0,1.0,,,,,0,,
2021-02-12,42.467663838886466,43.08630188905253,42.267515213696136,42.686004638671875,2322700,370.82421875,63.0,,1.0,1.0,,,,,0,,
2021-02-16,42.64936346459588,43.107466194602374,42.466121673583984,42.466121673583984,3853000,370.5031433105469,63.0,,1.0,1.0,,,,,0,,
2021-02-17,42.374505362552746,43.18992771734899,42.26456167860352,43.09830856323242,3541500,370.5882263183594,65.0,,1.0,1.0,,,,,0,,
2021-02-18,42.85092342850706,43.684670133654606,42.83259890261915,43.32735061645508,4195100,369.0109558105469,64.0,,1.0,1.0,,,,,0,,
2021-02-19,43.62053367820461,44.45428033819878,43.547235578622555,44.051151275634766,4752900,368.3592529296875,67.0,,1.0,1.0,,,,,0,,
2021-02-22,43.94120725358758,45.53540608249985,43.94120725358758,45.086463928222656,4837300,365.5259704589844,73.0,,1.0,1.0,,,,,0,,
2021-02-23,45.590381162441716,45.74613790468587,44.67417572232391,45.13227844238281,3594400,365.9698486328125,72.0,,1.0,1.0,,,,,0,,
2021-02-24,45.205580654098064,45.80111564219159,45.13228253462029,45.67284393310547,4483700,370.0025634765625,73.0,,1.0,1.0,,,,,0,,
2021-02-25,45.810270685891176,45.94770289596736,44.56423076402753,44.573394775390625,5113200,361.08709716796875,79.0,,1.0,4.0,,,,,0,,
