Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2022-07-08,212.11917319089613,212.88674490894567,208.9495812281874,209.6900634765625,1049500,368.42779541015625,,,,,,,,,0,,
2022-07-11,208.89539821578134,212.5345638801864,207.91111075952784,211.38772583007812,801400,364.218994140625,64.0,,,3.0,,,,,0,,
2022-07-12,211.92051257046748,212.36299688321046,207.55894250890236,209.4372100830078,2143400,360.99609375,64.0,,,1.0,,,,,0,,
2022-07-13,206.18634140745064,207.90207209142122,204.4525464843605,205.8793182373047,891700,359.1002502441406,68.0,,,1.0,,,,,0,,
2022-07-14,203.17928506955852,203.48630823782023,197.6528129249392,200.45216369628906,2059600,358.2281799316406,76.0,,,3.0,,,,,1,,
2022-07-15,203.77530392780196,204.4796577598285,202.14084147709983,203.3599090576172,1444800,365.0721740722656,77.0,,,4.0,,,,,0,,
2022-07-18,204.7595852204334,206.2315107935843,201.18362344666681,201.8789520263672,1074800,362.0577392578125,77.0,,,4.0,,,,,0,,
2022-07-19,204.14555345374848,207.7124764732318,203.14320160877668,207.6944122314453,1255500,371.84027099609375,85.0,,,4.0,,,,,0,,
2022-07-20,207.43251063122983,209.66295499294165,206.59269575535816,209.1663055419922,914900,374.2101135253906,84.0,,,4.0,,,,,0,,
2022-07-21,209.68101844285763,211.9746945218952,208.7689741724081,211.8392333984375,853500,378.0207214355469,85.0,,,4.0,,,,,0,,
2022-07-22,212.84163622655925,213.13060900285572,211.1168661378632,211.81219482421875,540300,374.513427734375,83.0,,,4.0,,,,,0,,
2022-07-25,212.5616609662097,212.74226202664883,211.0355565143905,212.3991241455078,581100,374.9684753417969,82.0,,,4.0,,,,,0,,
2022-07-26,211.11686534187666,212.5978163673614,210.45766514453376,211.8754119873047,652100,370.53216552734375,81.0,,,4.0,,,,,0,,
2022-07-27,211.87534645239015,215.67704861981665,209.9338473893147,214.81918334960938,782500,380.153564453125,82.0,,,4.0,,,,,0,,
2022-07-28,216.1918272349084,220.64370522049214,215.58680603206525,220.54437255859375,792900,384.9215087890625,88.0,,1.0,4.0,,,,,0,,
2022-07-29,222.01626707954205,225.4748317396235,222.00724184935612,224.1564178466797,1034300,390.53326416015625,90.0,,1.0,4.0,,,,,0,,
2022-08-01,223.04572958796763,223.80426236544147,220.8784891440485,223.271484375,1075500,389.3767395019531,89.0,,1.0,4.0,,,,,0,,
2022-08-02,221.90792292325003,222.97347886812668,217.10385460362633,220.4450225830078,1026900,386.80792236328125,89.0,,1.0,4.0,,,,,0,,
2022-08-03,221.55574143065297,222.3955425787355,219.0001957272431,221.88082885742188,1401100,392.86517333984375,88.0,,1.0,4.0,,,,,0,,
2022-08-04,224.03902964537795,234.93847608715802,224.03902964537795,232.735107421875,1785800,392.59967041015625,109.0,,1.0,4.0,,,,,0,,
2022-08-05,231.82306021280942,237.43984001436124,231.3173717306981,237.1689453125,1406400,391.9361877441406,110.0,,1.0,4.0,,,,,0,,
2022-08-08,238.39705869151783,240.60946666089117,236.22981821500468,236.38331604003906,1158100,391.4812316894531,108.0,,1.0,4.0,,,,,0,,
2022-08-09,236.3743102354039,236.46459010736567,233.29501151344473,233.66525268554688,826300,389.92657470703125,108.0,,1.0,4.0,,,,,0,,
2022-08-10,240.08564273041864,242.1806532987561,239.31807111483496,239.86892700195312,838600,398.1166076660156,112.0,,1.0,4.0,,,,,0,,
2022-08-11,241.2867386136051,242.27102622384152,238.5415525595216,239.12850952148438,829400,398.1166076660156,111.0,,1.0,4.0,,,,,0,,
2022-08-12,240.9796179993445,245.3502538636944,239.79666540780434,244.60977172851562,893900,404.85638427734375,113.0,,1.0,4.0,,,,,0,,
