Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2021-09-27,28.66785345540543,28.702456364444053,28.581349482723915,28.641902923583984,274000,418.46881103515625,,,,,,,,,0,,
2021-09-28,28.51214705284958,28.5640514225755,28.434292148218418,28.486196517944336,219900,410.035888671875,43.0,,,3.0,,,,,1,,
2021-09-29,28.538095799674753,28.581347783444002,28.416985625240084,28.4775390625,240200,410.72601318359375,43.0,,,1.0,,,,,0,,
2021-09-30,28.45158778341488,28.520793595556146,28.434286330379564,28.468889236450195,187300,405.7060241699219,42.0,,,1.0,,,,,0,,
2021-10-01,28.53809452999588,28.62459849368576,28.52944215367808,28.58134651184082,156500,410.5274963378906,42.0,,,1.0,,,,,0,,
2021-10-04,28.607299804687504,28.659204167864672,28.520795832640562,28.6072998046875,148400,405.2333068847656,41.0,,,1.0,,,,,0,,
2021-10-05,28.512147801023445,28.63325470031307,28.43429289434933,28.49484634399414,103300,409.44976806640625,41.0,,,1.0,,,,,0,,
2021-10-06,28.49484188557669,28.529444794221188,28.460242276847186,28.503494262695312,115500,411.1514587402344,40.0,,,1.0,,,,,0,,
2021-10-07,28.425636184440094,28.45158671305943,28.365082751051897,28.408334732055664,512100,414.70611572265625,40.0,,,1.0,,,,,1,,
2021-10-08,28.399683423881253,28.399683423881253,28.278573266708314,28.356428146362305,582400,413.9497985839844,39.0,,,1.0,,,,,0,,
2021-10-11,28.313191621779648,28.347794542714944,28.261287240376703,28.304542541503906,242300,410.952880859375,39.0,,,1.0,,,,,0,,
2021-10-12,28.356432187980168,28.486191439202752,28.347783111192253,28.4775390625,190800,409.9413757324219,39.0,,,1.0,,,,,0,,
2021-10-13,28.52079868409076,28.590001208664034,28.486195771846454,28.564050674438477,188000,411.4161682128906,39.0,,,1.0,,,,,0,,
2021-10-14,28.58135393315834,28.676510297873936,28.538101940082765,28.633255004882812,279200,418.33648681640625,38.0,,,1.0,,,,,0,,
2021-10-15,28.555399998663148,28.555399998663148,28.442945477038524,28.529449462890625,107100,421.5224609375,38.0,,,1.0,,,,,0,,
2021-10-18,28.46269149342636,28.558055632486877,28.436680085286564,28.49736785888672,321700,422.7703552246094,38.0,,,1.0,,,,,0,,
2021-10-19,28.436678061432264,28.488697566773975,28.393330127265195,28.41933822631836,379800,426.03192138671875,37.0,,,1.0,,,,,0,,
2021-10-20,28.375998951716678,28.4280184729333,28.323979430500053,28.349990844726562,422500,427.7053527832031,37.0,,4.0,1.0,,,,,0,,
2021-10-21,28.323974236443576,28.323974236443576,28.23727835755057,28.28062629699707,216100,428.8208923339844,36.0,,4.0,1.0,,,,,1,,
2021-10-22,28.323969646751692,28.40199724800591,28.289293285155015,28.384660720825195,133600,428.3764953613281,36.0,,4.0,1.0,,,,,0,,
2021-10-25,28.37599359792462,28.41067327219257,28.341313923656664,28.393333435058594,169200,430.6738586425781,36.0,,4.0,1.0,,,,,0,,
2021-10-26,28.44535559689988,28.488703540155946,28.34131656440202,28.480031967163086,115600,431.06146240234375,35.0,,4.0,1.0,,,,,0,,
2021-10-27,28.584066882061865,28.974201622402774,28.532047373306465,28.705442428588867,5438300,429.1517333984375,37.0,,1.0,1.0,,,,,0,,
2021-10-28,28.662096920453656,28.70544486113874,28.62741724501124,28.636085510253906,198500,433.29254150390625,36.0,,1.0,1.0,,,,,0,,
2021-10-29,28.57540113920463,28.72278812379152,28.566732872928352,28.688108444213867,231300,434.1717834472656,36.0,,1.0,1.0,,,,,0,,
2021-11-01,28.549389126957532,28.61874516938714,28.52338102445091,28.610076904296875,325000,434.91864013671875,35.0,,1.0,1.0,,,,,0,,
2021-11-02,28.56672299663745,28.670758692166174,28.56672299663745,28.644750595092773,305100,436.6770935058594,35.0,,1.0,1.0,,,,,0,,
2021-11-03,28.644752638463125,28.705440407453633,28.48002585928715,28.532045364379883,500100,439.3431396484375,35.0,,1.0,1.0,,,,,0,,
2021-11-04,28.54071626900787,28.714111328125,28.53204800430807,28.714111328125,233700,441.4134826660156,35.0,,1.0,1.0,,,,,0,,
2021-11-05,28.7834668436525,28.93085047458245,28.74011891145165,28.904842376708984,377200,442.94500732421875,36.0,,1.0,1.0,,,,,0,,
2021-11-08,28.826814526450082,28.852822624098533,28.731447092092164,28.74878692626953,560900,443.32318115234375,36.0,,1.0,1.0,,,,,0,,
2021-11-09,28.922190110451787,28.97420632040572,28.87017059326172,28.87017059326172,469000,441.8578186035156,36.0,,1.0,1.0,,,,,0,,
2021-11-10,28.904849825711278,28.922189664507275,28.558059664263492,28.653427124023438,306400,438.3031005859375,37.0,,1.0,1.0,,,,,0,,
2021-11-11,28.653424844219856,28.68810451905257,28.592737066880517,28.610076904296875,172900,438.4449157714844,37.0,,1.0,1.0,,,,,0,,
2021-11-12,28.662094766196134,28.662094766196134,28.52337938208826,28.575395584106445,286400,441.75384521484375,36.0,,1.0,1.0,,,,,0,,
2021-11-15,28.575395468834866,28.575395468834866,28.44535165707837,28.49736785888672,139500,441.9051208496094,36.0,,1.0,1.0,,,,,0,,
2021-11-16,28.471361291139146,28.532049068007282,28.419341779293973,28.454021453857422,157500,443.6540832519531,35.0,,4.0,1.0,,,,,0,,
2021-11-17,28.3933321480344,28.540715796138887,28.35865247533842,28.49736785888672,159700,442.5763244628906,35.0,,4.0,1.0,,,,,0,,
2021-11-18,28.497369745267005,28.592737197875977,28.471361642641224,28.592737197875977,203400,444.0794677734375,35.0,,4.0,1.0,,,,,0,,
2021-11-19,28.67076860442504,28.74012796358035,28.653428764636214,28.688108444213867,238900,443.285400390625,34.0,,4.0,1.0,,,,,0,,
2021-11-22,28.655084286222724,28.655084286222724,28.52475690246561,28.5855770111084,1207900,442.0375061035156,34.0,,4.0,1.0,,,,,0,,
2021-11-23,28.54212664793007,28.54212664793007,28.394421640522665,28.420486450195312,408500,442.62353515625,35.0,,4.0,1.0,,,,,0,,
2021-11-24,28.411809735250408,28.542137145996094,28.35967678228332,28.542137145996094,160300,443.80535888671875,35.0,,4.0,1.0,,,,,0,,
2021-11-26,28.715905657725454,28.837545880360484,28.715905657725454,28.77672576904297,284700,433.9070129394531,36.0,,4.0,1.0,,,,,0,,
2021-11-29,28.672462391072017,28.785415443688176,28.66377522446188,28.768037796020508,322400,439.2296447753906,35.0,,4.0,1.0,,,,,0,,
2021-11-30,28.898367223852272,28.99394263555424,28.81148229382191,28.880992889404297,394900,430.683349609375,35.0,,1.0,1.0,,,,,0,,
2021-12-01,28.828863457964573,28.993946170930663,28.785420987652238,28.95919418334961,212100,425.8995666503906,35.0,,1.0,1.0,,,,,0,,
2021-12-02,29.002633230742145,29.020010879705758,28.88968016970248,28.933122634887695,202200,432.42279052734375,34.0,,1.0,1.0,,,,,0,,
2021-12-03,28.837541872107256,29.150332866519744,28.81147706072189,29.063447952270508,560500,428.66021728515625,34.0,,1.0,1.0,,,,,0,,
2021-12-06,29.046076802144174,29.115584086198165,28.90705891958843,28.924436569213867,230400,433.7368469238281,35.0,,1.0,1.0,,,,,0,,
2021-12-07,28.950495931579653,28.959186411978795,28.79410042886649,28.846233367919922,277000,442.7086486816406,34.0,,1.0,1.0,,,,,0,,
2021-12-08,28.741969646771384,28.898361828739226,28.663771898563958,28.70721435546875,288100,443.8809509277344,34.0,,1.0,1.0,,,,,0,,
2021-12-09,28.750657828150043,28.7767226403244,28.67246007717985,28.733280181884766,156000,440.8841552734375,34.0,,1.0,1.0,,,,,0,,
2021-12-10,28.794105816525256,28.854925932910735,28.689843233356978,28.71590805053711,104900,445.0343322753906,33.0,,1.0,1.0,,,,,0,,
2021-12-13,28.828859942717507,28.889680056628286,28.802795126597925,28.880992889404297,124000,441.0920715332031,34.0,,1.0,1.0,,,,,0,,
2021-12-14,28.85492605386165,28.88099418559881,28.750663470256335,28.828861236572266,158200,438.0573425292969,33.0,,1.0,1.0,,,,,0,,
2021-12-15,28.76804803771414,28.8462458228341,28.681159768442754,28.724605560302734,159300,444.9020690917969,33.0,,1.0,1.0,,,,,0,,
2021-12-16,28.759346626726025,28.8375443821355,28.741972293921528,28.811479568481445,174300,440.9786376953125,33.0,,1.0,1.0,,,,,0,,
2021-12-17,28.872298387327795,28.924431326755187,28.811478281886085,28.863611221313477,254700,436.2853698730469,33.0,,1.0,1.0,,,,,0,,
2021-12-20,28.898436285156908,28.924559457401678,28.75041936870226,28.767833709716797,241200,431.6461181640625,32.0,,1.0,1.0,,,,,0,,
2021-12-21,28.67206522826068,28.724308267217314,28.584996818113236,28.706893920898438,222300,439.31170654296875,32.0,,1.0,1.0,,,,,1,,
2021-12-22,28.741719186635336,28.811376571655273,28.715599327976324,28.811376571655273,127600,443.70428466796875,32.0,,1.0,1.0,,,,,0,,
2021-12-23,28.802667467911572,28.802667467911572,28.628527348521803,28.680767059326172,103700,446.4651184082031,32.0,,1.0,1.0,,,,,0,,
2021-12-27,28.62852643711042,28.698180489780928,28.62852643711042,28.64594078063965,162900,452.78350830078125,32.0,,1.0,1.0,,,,,0,,
2021-12-28,28.76783520312265,28.776540713358877,28.645938131138877,28.663349151611328,323900,452.41351318359375,31.0,,1.0,1.0,,,,,0,,
2021-12-29,28.558866500854492,28.584989674527918,28.49791796469335,28.558866500854492,248800,452.9922180175781,31.0,,1.0,1.0,,,,,1,,
2021-12-30,28.60240061561944,28.663349151611328,28.515332227472772,28.663349151611328,242000,451.73992919921875,31.0,,1.0,1.0,,,,,0,,
2021-12-31,28.663352464481193,28.71559549627503,28.602403921444957,28.69818115234375,89100,450.60150146484375,31.0,,1.0,1.0,,,,,0,,
2022-01-03,28.497919919840577,28.51533426300223,28.31507429881272,28.34119415283203,556800,453.2103576660156,35.0,,4.0,1.0,,,,,1,,
2022-01-04,28.29765916994864,28.29765916994864,28.193176435326087,28.280244827270508,400200,453.0585632324219,34.0,,4.0,1.0,,,,,1,,
2022-01-05,28.271539278584353,28.32377898510216,28.16705322265625,28.16705322265625,206800,444.3588562011719,34.0,,4.0,1.0,,,,,0,,
2022-01-06,28.201886474008912,28.201886474008912,28.1061092346244,28.149646759033203,204500,443.94140625,34.0,,4.0,1.0,,,,,0,,
2022-01-07,28.1757574416115,28.20187729059391,28.010322874201012,28.10610008239746,188200,442.18634033203125,33.0,,4.0,1.0,,,,,0,,
2022-01-10,28.088685742593952,28.149637592629084,28.01903170482562,28.10610008239746,229300,441.6361389160156,33.0,,4.0,1.0,,,,,0,,
2022-01-11,28.149634211884727,28.21928824128768,28.106096706881917,28.210582733154297,198800,445.65869140625,33.0,,4.0,1.0,,,,,0,,
2022-01-12,28.2279939944178,28.28023700800742,28.19316864013672,28.19316864013672,789100,446.8634948730469,32.0,,4.0,1.0,,,,,0,,
2022-01-13,28.193173670010655,28.332485076325174,28.1757593290406,28.323776245117188,819400,440.7063293457031,32.0,,4.0,1.0,,,,,0,,
2022-01-14,28.245411851347836,28.29765487144636,28.07998060320446,28.097394943237305,203700,440.88653564453125,34.0,,4.0,1.0,,,,,0,,
2022-01-18,27.984207235659067,28.01903592050633,27.871015670628562,27.879724502563477,231500,433.07867431640625,35.0,,4.0,1.0,,,,,1,,
2022-01-19,27.914544078504928,28.02773228515434,27.888420912670735,27.949369430541992,288800,428.58172607421875,35.0,,4.0,1.0,,,,,0,,
2022-01-20,28.019039657510074,28.03645400225632,27.958091111621528,27.984210968017578,1133600,423.8382263183594,34.0,,4.0,1.0,,,,,0,,
2022-01-21,28.114809283270144,28.245411851347836,28.088686112498014,28.097394943237305,2326500,415.5179443359375,34.0,,4.0,1.0,,,,,0,,
2022-01-24,28.157602677207468,28.192505988957265,27.983089447021484,27.983089447021484,290300,417.2826232910156,34.0,,4.0,1.0,,,,,0,,
2022-01-25,28.079071890051924,28.122699365457667,27.939461971615742,27.983089447021484,425600,412.1879577636719,33.0,,4.0,1.0,,,,,0,,
2022-01-26,28.026723011800385,28.026723011800385,27.756228944095152,27.79985809326172,303200,411.1539001464844,34.0,,4.0,1.0,,,,,0,,
2022-01-27,27.922016891136224,27.965644376815863,27.86093774547197,27.887113571166992,345700,409.1235656738281,34.0,,4.0,1.0,,,,,0,,
2022-01-28,27.852211170010605,27.922016143798828,27.764954536704863,27.922016143798828,626600,419.28436279296875,33.0,,4.0,1.0,,,,,0,,
2022-01-31,27.869663575464276,27.93946855112084,27.81730859551043,27.887113571166992,486600,426.83612060546875,33.0,,4.0,1.0,,,,,0,,
2022-02-01,27.869656932314008,27.94818605496239,27.82602779275213,27.852205276489258,272500,429.72021484375,33.0,,4.0,1.0,,,,,0,,
2022-02-02,27.904571354382846,28.026729672517135,27.89584552247579,27.956926345825195,181200,433.8946228027344,32.0,,4.0,1.0,,,,,0,,
2022-02-03,27.773677243492696,27.80858055860308,27.695146448775994,27.7562255859375,252000,423.6958923339844,33.0,,4.0,1.0,,,,,1,,
2022-02-04,27.68642461750672,27.68642461750672,27.50318717956543,27.50318717956543,236100,425.6882019042969,35.0,,4.0,1.0,,,,,1,,
2022-02-07,27.590438151103378,27.660243112789725,27.538083181627446,27.634065628051758,398800,424.322021484375,35.0,,4.0,1.0,,,,,0,,
2022-02-08,27.49445735671486,27.625341459705883,27.433378219604492,27.433378219604492,294200,427.8133239746094,36.0,,4.0,1.0,,,,,0,,
2022-02-09,27.529361677541797,27.59916665019272,27.503185852973843,27.52063751220703,484300,434.0748291015625,36.0,,4.0,1.0,,,,,0,,
2022-02-10,27.40719960442881,27.49445622425607,27.197784715412354,27.206510543823242,474800,426.2763671875,39.0,,4.0,1.0,,,,,1,,
2022-02-11,27.32866676972967,27.538081643088802,27.189056854156913,27.459550857543945,355300,417.8708190917969,40.0,,4.0,1.0,,,,,0,,
2022-02-14,27.398467621702213,27.450820916126194,27.241406074149047,27.25885772705078,293500,416.504638671875,41.0,,4.0,1.0,,,,,0,,
2022-02-15,27.250140160610236,27.267591818801886,27.066902742443116,27.084354400634766,300400,423.2215576171875,41.0,,4.0,1.0,,,,,0,,
2022-02-16,27.20651006860913,27.223961725126077,27.058174316778246,27.127979278564453,454700,423.6958923339844,41.0,,4.0,1.0,,,,,0,,
2022-02-17,27.241412666269923,27.398474251830258,27.2326868377075,27.28504180908203,267000,414.6451416015625,41.0,,4.0,1.0,,,,,0,,
2022-02-18,27.363572963147615,27.424652099609375,27.337395477114725,27.424652099609375,399200,411.96026611328125,41.0,,4.0,1.0,,,,,0,,
2022-02-22,27.345072554763515,27.450009537521645,27.31883747510235,27.397541046142578,223000,407.53924560546875,40.0,,4.0,1.0,,,,,0,,
2022-02-23,27.37131184906343,27.40629196279617,27.266374843752473,27.2926082611084,427600,400.3100891113281,40.0,,4.0,1.0,,,,,0,,
2022-02-24,27.484991447677555,27.51122486111725,27.178922169981902,27.26637077331543,275300,406.33447265625,39.0,,4.0,1.0,,,,,0,,
2022-02-25,27.240135691932355,27.28386082757081,27.17017714285421,27.26637077331543,337500,415.29974365234375,39.0,,4.0,1.0,,,,,0,,
2022-02-28,27.397542305469116,27.52871437391773,27.38879727851343,27.476245880126953,200800,414.2372131347656,40.0,,4.0,1.0,,,,,0,,
2022-03-01,27.686124636093222,27.808551691351102,27.598676024647506,27.677379608154297,314000,407.9282531738281,40.0,,1.0,1.0,,,,,0,,
2022-03-02,27.502484590318875,27.54620806292387,27.205160306362945,27.213905334472656,197500,415.4326477050781,46.0,,1.0,1.0,,,,,1,,
2022-03-03,27.310094241010503,27.327584295265883,27.240135691932355,27.26637077331543,379600,413.36444091796875,45.0,,1.0,1.0,,,,,0,,
2022-03-04,27.45875439672126,27.519967914280965,27.33632736160185,27.388795852661133,237700,410.0059509277344,45.0,,1.0,1.0,,,,,0,,
2022-03-07,27.248882617264773,27.33633122669012,27.12645556483538,27.15268898010254,262400,397.9193420410156,46.0,,1.0,1.0,,,,,0,,
2022-03-08,27.004024578542154,27.03900468655449,26.934066030460826,26.995281219482422,176700,394.90240478515625,46.0,,1.0,1.0,,,,,1,,
2022-03-09,26.890342584110037,26.942811078225628,26.575528283529803,26.64548683166504,1090700,405.49005126953125,49.0,,4.0,1.0,,,,,0,,
2022-03-10,26.496824089262052,26.50556911606754,26.077072810258517,26.11205291748047,1006400,403.6590576171875,55.0,,4.0,1.0,,,,,1,,
2022-03-11,26.461844321240427,26.461844321240427,26.085816527202706,26.15577507019043,950700,398.5264587402344,54.0,,4.0,1.0,,,,,0,,
2022-03-14,26.042089125405393,26.138281065003497,25.88468201049925,26.024599075317383,1192200,395.6139221191406,54.0,,4.0,1.0,,,,,0,,
2022-03-15,25.972136801540742,26.199500835263514,25.86719814387045,26.050840377807617,3719500,404.3136291503906,53.0,,4.0,1.0,,,,,0,,
2022-03-16,26.03335193424687,26.36565464619982,26.015861878895798,26.286951065063477,733600,413.27899169921875,54.0,,4.0,1.0,,,,,0,,
2022-03-17,26.339414896940884,26.55803553242433,26.339414896940884,26.479331970214844,915300,418.449462890625,54.0,,4.0,1.0,,,,,0,,
2022-03-18,26.505568551831878,26.584272123462558,26.418119953581872,26.55803871154785,626300,423.0326232910156,53.0,,4.0,1.0,,-0.00044218223832951606,,,0,,
