Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2023-11-20,359.3500061035156,362.6099853515625,358.17999267578125,361.3299865722656,3215300,446.69580078125,,,,,,,,,0,,
2023-11-21,360.5799865722656,363.0299987792969,360.25,361.0,2918800,445.72222900390625,7.0,,,3.0,,,,,0,,
2023-11-22,361.760009765625,362.4599914550781,360.04998779296875,361.79998779296875,2110200,447.4430847167969,8.0,,,1.0,,,,,0,,
2023-11-24,362.510009765625,363.19000244140625,361.239990234375,362.67999267578125,1282000,447.71844482421875,8.0,,,1.0,,,,,0,,
2023-11-27,362.6400146484375,362.6400146484375,359.5799865722656,361.3399963378906,2580300,446.9121398925781,10.0,,,1.0,,,,,0,,
2023-11-28,361.54998779296875,362.1199951171875,359.2099914550781,360.04998779296875,2953500,447.3546142578125,11.0,,,1.0,,,,,0,,
2023-11-29,360.95001220703125,361.5199890136719,358.29998779296875,358.69000244140625,3141100,447.0399475097656,12.0,,,1.0,,,,,0,,
2023-11-30,359.45001220703125,360.42999267578125,358.4200134277344,360.0,4606800,448.8001403808594,13.0,,,1.0,,,,,0,,
2023-12-01,359.94000244140625,360.239990234375,355.29998779296875,357.07000732421875,4705700,451.4551696777344,17.0,,,1.0,,,,,0,,
2023-12-04,355.9100036621094,357.8299865722656,353.7900085449219,356.6600036621094,3053400,449.0852966308594,16.0,,,1.0,,,,,0,,
2023-12-05,355.2300109863281,356.6000061035156,352.2900085449219,355.0299987792969,3061200,448.996826171875,17.0,,,1.0,,,,,0,,
2023-12-06,356.1499938964844,357.45001220703125,351.8900146484375,352.3800048828125,3039100,447.1874694824219,20.0,,,1.0,,,,,0,,
2023-12-07,352.0,353.0199890136719,350.8500061035156,352.70001220703125,2830000,450.5997009277344,20.0,,,1.0,,,,,0,,
2023-12-08,353.0,353.6700134277344,351.0199890136719,353.0799865722656,3289000,452.5368957519531,19.0,,,1.0,,,,,0,,
2023-12-11,355.0,357.489990234375,354.2099914550781,357.05999755859375,3108400,454.29705810546875,24.0,,4.0,1.0,,,,,0,,
2023-12-12,357.8999938964844,360.4100036621094,356.760009765625,360.0199890136719,3188800,456.3719482421875,27.0,,4.0,1.0,,,,,0,,
2023-12-13,360.19000244140625,362.1499938964844,359.0400085449219,362.0299987792969,3132700,462.66534423828125,27.0,,4.0,1.0,,,,,0,,
2023-12-14,364.04998779296875,364.04998779296875,356.3800048828125,358.1199951171875,5512300,464.1502380371094,31.0,,1.0,1.0,,,,,0,,
2023-12-15,357.6300048828125,358.0,354.20001220703125,356.5,8578200,463.385986328125,31.0,,1.0,1.0,,,,,0,,
2023-12-18,357.4200134277344,361.1400146484375,357.0,359.6499938964844,4526400,465.99261474609375,33.0,,1.0,1.0,,,,,0,,
2023-12-19,360.1499938964844,362.54998779296875,359.0899963378906,361.79998779296875,3084600,468.8262023925781,33.0,,1.0,1.0,,,,,0,,
2023-12-20,361.5199890136719,361.6600036621094,355.1199951171875,355.3500061035156,3926700,462.32958984375,41.0,,1.0,1.0,,,,,0,,
2023-12-21,356.0199890136719,357.20001220703125,353.6300048828125,356.1400146484375,2851200,466.7133483886719,40.0,,1.0,1.0,,,,,0,,
2023-12-22,356.5,358.260009765625,355.4100036621094,356.4700012207031,2332200,467.6512756347656,40.0,,1.0,1.0,,,,,0,,
2023-12-26,356.8999938964844,357.7699890136719,356.0799865722656,356.8299865722656,1964400,469.62591552734375,39.0,,1.0,1.0,,,,,0,,
2023-12-27,355.92999267578125,357.0799865722656,355.5,356.95001220703125,2478500,470.47509765625,39.0,,4.0,1.0,,,,-1.0,0,,
2023-12-28,357.4800109863281,358.67999267578125,356.7300109863281,357.57000732421875,2740600,470.6528015136719,38.0,,4.0,1.0,,,,-1.0,0,,
2023-12-29,357.55999755859375,357.8599853515625,355.30999755859375,356.6600036621094,3269400,469.290283203125,38.0,,4.0,1.0,,,,-1.0,0,,
2024-01-02,356.32000732421875,362.57000732421875,355.94000244140625,362.4599914550781,4737000,466.6639709472656,43.0,,1.0,1.0,,,,-1.0,0,,
2024-01-03,362.0799865722656,367.8500061035156,361.07000732421875,366.75,4321800,462.8528137207031,45.0,,1.0,1.0,,,,-1.0,0,,
2024-01-04,367.4100036621094,369.3699951171875,363.4100036621094,363.67999267578125,4142800,461.3619689941406,46.0,,1.0,1.0,,,,-1.0,0,,
2024-01-05,364.8299865722656,366.29998779296875,364.19000244140625,365.5899963378906,2965200,461.9938659667969,46.0,,1.0,1.0,,,,-1.0,0,,
2024-01-08,366.010009765625,368.29998779296875,364.20001220703125,368.17999267578125,3445700,468.5892639160156,46.0,,1.0,1.0,,,,-1.0,0,,
2024-01-09,368.0,368.0,364.7699890136719,366.8999938964844,2998800,467.8783874511719,46.0,,1.0,1.0,,,,1.0,0,,
2024-01-10,366.260009765625,368.8299865722656,365.75,367.9200134277344,2448100,470.5244140625,45.0,,1.0,1.0,,,,1.0,0,,
2024-01-11,367.80999755859375,367.8900146484375,362.1300048828125,363.3399963378906,3577800,470.3171081542969,48.0,,1.0,1.0,,,,-1.0,0,,
2024-01-12,366.510009765625,366.8500061035156,362.57000732421875,363.6199951171875,2623100,470.6429138183594,47.0,,1.0,1.0,,,,-1.0,0,,
2024-01-16,362.94000244140625,363.6000061035156,359.8900146484375,361.1000061035156,3046500,468.91510009765625,47.0,,1.0,1.0,,,,-1.0,0,,
2024-01-17,359.010009765625,362.5299987792969,357.9800109863281,359.2900085449219,2550300,466.30853271484375,47.0,,1.0,1.0,,,,-1.0,0,,
2024-01-18,359.25,362.6400146484375,358.29998779296875,362.3800048828125,3007800,470.455322265625,48.0,,1.0,1.0,,,,-1.0,0,,
2024-01-19,362.25,368.30999755859375,361.0199890136719,366.989990234375,4063700,476.3200988769531,50.0,,1.0,1.0,,,,-1.0,0,,
2024-01-22,368.04998779296875,369.2699890136719,366.5299987792969,368.05999755859375,3552500,477.3271789550781,50.0,,1.0,1.0,,,,-1.0,0,,
2024-01-23,368.0199890136719,372.4200134277344,367.7099914550781,372.1400146484375,2896300,478.71929931640625,51.0,,1.0,1.0,,,,1.0,0,,
2024-01-24,372.5299987792969,377.7900085449219,372.0299987792969,376.5899963378906,4589300,479.24261474609375,53.0,,1.0,1.0,,,,1.0,0,,
2024-01-25,379.239990234375,380.989990234375,377.8900146484375,380.8500061035156,4055800,481.84918212890625,54.0,,1.0,1.0,,,,1.0,0,,
2024-01-26,381.04998779296875,385.7300109863281,380.0,385.3999938964844,3621400,481.2370300292969,56.0,,1.0,1.0,,,,1.0,0,,
2024-01-29,385.489990234375,385.70001220703125,379.1700134277344,383.17999267578125,3797400,485.0481262207031,56.0,,1.0,1.0,,,,1.0,0,,
