Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2021-01-29,44.87416637548642,44.87416637548642,44.212304780352305,44.410865783691406,64800,349.50830078125,,,,,,,,,0,,
2021-02-01,44.92143843283895,45.242913837200526,44.66615242974339,45.167274475097656,64100,355.32611083984375,134.0,,,3.0,,,,,0,,
2021-02-02,45.384749925805565,45.64003957696092,45.375296356587604,45.61167526245117,51400,360.3504638671875,133.0,,,3.0,,,,,0,,
2021-02-03,45.56439240352789,45.56439240352789,45.252374152061044,45.450931549072266,45600,360.6337585449219,131.0,,,3.0,,,,,0,,
2021-02-04,45.20509842419565,45.73458480834961,45.19564124913263,45.73458480834961,45200,364.7326354980469,129.0,,,3.0,,,,,0,,
2021-02-05,45.753497705307566,45.92369079589844,45.68731190417285,45.92369079589844,69700,366.1681823730469,127.0,,,3.0,,,,,0,,
2021-02-08,46.04661023118176,46.27353195430669,45.980424428032336,46.122249603271484,106700,368.8125915527344,126.0,,,3.0,,,,,0,,
2021-02-09,46.131708113407,46.43427282422898,46.06552230834319,46.377540588378906,36200,368.5670166015625,124.0,,,3.0,,,,,0,,
2021-02-10,46.55718940476169,46.58555371836908,46.07497443230163,46.235713958740234,54200,368.40643310546875,122.0,,,3.0,,,,,0,,
2021-02-11,46.576090292580005,46.63282251903766,46.13170047598843,46.43426513671875,41800,369.0014953613281,121.0,,,3.0,,,,,0,,
2021-02-12,46.37753935455074,46.41536084411125,46.16952837567948,46.339717864990234,35900,370.8242492675781,119.0,,,3.0,,,,,0,,
2021-02-16,46.43426567681117,46.66118737157068,46.349169139562534,46.424808502197266,67200,370.50311279296875,117.0,,,3.0,,,,,0,,
2021-02-17,46.19789462632571,46.20734819568431,45.89532991086778,46.09388732910156,41200,370.5881652832031,116.0,,,3.0,,,,,1,,
2021-02-18,45.895325509202934,45.895325509202934,45.49820710396572,45.829139709472656,57000,369.0108947753906,114.0,,,3.0,,,,,1,,
2021-02-19,45.95205570603186,46.301899067269325,45.95205570603186,46.18843460083008,48500,368.3592834472656,113.0,,,3.0,,,,,0,,
2021-02-22,46.14115596511852,46.14115596511852,45.762951926883495,45.8007698059082,58600,365.52593994140625,112.0,,,3.0,,,,,0,,
