Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2021-07-12,50.92318757908394,52.24575446137408,50.76759108734228,51.69252395629883,6063100,413.0348205566406,,,,,,,,,0,,
2021-07-13,51.42455555282208,51.85676730355259,50.82810122640504,51.39862060546875,6510400,411.6268005371094,45.0,,,3.0,,,,,0,,
2021-07-14,51.770324381161196,52.39271037432378,49.56604505206246,49.85130310058594,8489600,412.2409973144531,61.0,,,1.0,,,,,0,,
2021-07-15,49.27214549313715,50.32674334661591,49.09061732746062,49.34130096435547,8723300,410.8329162597656,62.0,,,1.0,,,,,0,,
2021-07-16,49.87723031912449,50.050115656823465,47.81125894228132,47.97549819946289,8805300,407.6105651855469,72.0,,,1.0,,,,,0,,
2021-07-19,46.186153266688876,46.9382008762786,45.65885434245994,46.41954803466797,13342100,401.5910339355469,84.0,,,4.0,,,,,1,,
2021-07-20,46.24665228282348,47.75939324534574,46.0564780780449,47.08514404296875,9358200,407.345947265625,85.0,,,4.0,,,,,0,,
2021-07-21,48.17431786832879,49.63519229339344,48.0705879789342,49.289424896240234,9378000,410.64398193359375,104.0,,,4.0,,,,,0,,
2021-07-22,49.28941996394814,49.453659213847295,48.56330421581949,48.98686981201172,6765500,411.5038757324219,103.0,,,4.0,,,,,0,,
2021-07-23,48.77783483050205,49.021722941382144,47.680335008815334,48.20295333862305,10623800,415.7374267578125,104.0,,,4.0,,,,,0,,
2021-07-26,48.52523146207341,49.95372457440825,48.4032874143462,49.53562927246094,8756300,416.7580871582031,109.0,,,4.0,,,,,0,,
2021-07-27,48.917195999002956,49.317870241090716,48.20294945520266,49.06527328491211,7363600,414.8586120605469,108.0,,,4.0,,,,,0,,
2021-07-28,49.1959189836471,49.7795125313332,48.612328758686544,49.40496826171875,6167200,414.6885070800781,107.0,,,4.0,,,,,0,,
2021-07-29,50.01470342234026,50.38053893816303,49.52692716487864,49.71855545043945,6306400,416.4084167480469,106.0,,,4.0,,,,,0,,
2021-07-30,49.439805878781925,49.56175322638488,48.53393455566688,48.83008575439453,8660100,414.38623046875,107.0,,,4.0,,,,,0,,
2021-08-02,49.23947860321372,50.31084845019289,48.1942419972909,48.23779296875,8469500,413.5166931152344,107.0,,,4.0,,,,,0,,
2021-08-03,47.985192762326555,49.448528000325105,47.479992188927135,49.33529281616211,9888200,416.880859375,109.0,,,4.0,,,,,0,,
2021-08-04,48.19423959507097,49.213346231866645,47.828404143051976,47.8458251953125,7629600,414.83026123046875,116.0,,,4.0,,,,,0,,
2021-08-05,48.30746459021968,49.317862218754975,47.950341376411316,48.73427200317383,6573100,417.4573059082031,117.0,,,4.0,,,,,0,,
2021-08-06,49.29174146591686,49.79693871270865,48.86493397364393,49.213348388671875,5038900,418.1470947265625,116.0,,1.0,4.0,,,,,0,,
