Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2021-06-22,316.85466452782674,318.4261624714068,315.65732868318406,317.5281677246094,4042100,401.0153503417969,,,,,,,,,0,,
2021-06-23,317.6590239889568,318.1922198199015,316.80778903430746,316.9013366699219,3082700,400.531982421875,16.0,,,3.0,,,,,0,,
2021-06-24,318.66937811211164,320.21281459949415,318.3887351301178,319.894775390625,3704700,402.90142822265625,20.0,,,1.0,,,,,0,,
2021-06-25,321.494363719055,322.70106299280684,320.9331062512583,322.2052917480469,3638000,404.3326110839844,22.0,,,1.0,,,,,0,,
2021-06-28,322.092933633954,322.1771464969475,319.7450504669615,320.6617431640625,3606300,405.14764404296875,23.0,,,1.0,,,,,0,,
2021-06-29,321.7655892599093,322.46715383993524,320.48404064780385,320.7178955078125,2375800,405.36566162109375,22.0,,,1.0,,,,,0,,
2021-06-30,320.26905978505215,323.1969285467928,320.240998330811,322.673095703125,3778900,405.70684814453125,24.0,,,1.0,,,,,0,,
2021-07-01,323.44932111164536,324.0292765759718,322.6448741248016,323.9918518066406,3606900,407.953125,24.0,,,1.0,,,,,0,,
2021-07-02,324.62797682961696,325.79725115259316,323.8235012511064,325.4698486328125,3013500,411.0712585449219,24.0,,,1.0,,,,,0,,
2021-07-06,325.29207733878815,325.6288146006754,321.4100927650119,323.4867248535156,3910600,410.3225402832031,25.0,,,1.0,,,,,0,,
2021-07-07,323.3277156237957,324.72150996624646,322.18650279372605,324.5157165527344,3347000,411.7726745605469,25.0,,,1.0,,,,,0,,
2021-07-08,320.4373608869552,322.7197871727278,319.47387976567154,322.13983154296875,6379900,408.41748046875,27.0,,,1.0,,,,,0,,
2021-07-09,324.1882920413131,326.5268404239638,323.50542563675515,326.20880126953125,5063100,412.7773742675781,32.0,,,1.0,,,,,0,,
2021-07-12,325.5354197534501,327.6681755329624,324.9367374415023,327.4249572753906,3999800,414.2557678222656,31.0,,,1.0,,,,,0,,
2021-07-13,326.9572275691028,327.63073085577236,326.32114906134325,326.4614562988281,3310200,412.8436584472656,31.0,,,1.0,,,,,0,,
2021-07-14,327.57444393154594,328.0421535201233,325.86261085118525,326.8448181152344,3933300,413.459716796875,31.0,,,1.0,,,,,0,,
2021-07-15,325.4325558503625,327.3969432190263,325.1893661043313,327.3408203125,5082600,412.0475158691406,30.0,,,1.0,,,,,0,,
2021-07-16,328.2644281612256,328.2831373369774,324.1648621450433,324.53924560546875,5710400,408.8155517578125,32.0,,,1.0,,,,,0,,
2021-07-19,319.9062729463844,327.61868261048096,315.7786279013131,318.1185607910156,9715300,402.77825927734375,42.0,,4.0,4.0,,,,,0,,
2021-07-20,318.50236515625966,323.9590769769675,317.9969315718366,322.98565673828125,5802200,408.5502014160156,46.0,,4.0,1.0,,,,,0,,
2021-07-21,324.75460721417465,325.85904868343926,324.1930176076156,325.70928955078125,3056800,411.85797119140625,47.0,,4.0,1.0,,,,,0,,
2021-07-22,325.5032679424804,326.47668770483625,324.48306096304844,325.9619140625,2429300,412.7204895019531,46.0,,4.0,1.0,,,,,0,,
2021-07-23,327.59066437385127,328.5172688270014,326.85123744787415,328.1241760253906,4142300,416.9665222167969,46.0,,4.0,1.0,,,,,0,,
2021-07-26,327.5906441361761,328.9478168016238,327.1132886286423,328.9103698730469,2466600,417.9900207519531,46.0,,4.0,1.0,,,,,0,,
2021-07-27,327.60924790893387,328.2269934953219,326.401863346275,328.17083740234375,3902600,416.0850830078125,45.0,,4.0,1.0,,,,,0,,
2021-07-28,328.5451427452515,328.74171758755574,326.3830479888762,326.9914245605469,3697700,415.9144592285156,45.0,,4.0,1.0,,,,,0,,
2021-07-29,328.47977433618377,329.19109447641887,327.94626280828305,328.35809326171875,2425700,417.6394348144531,44.0,,4.0,1.0,,,,,0,,
2021-07-30,327.4783570122216,328.5360114573882,326.34583726780085,327.1039733886719,3576700,415.6112365722656,44.0,,4.0,1.0,,,,,0,,
2021-08-02,328.01181404930855,329.37832690134337,325.7748244270189,326.0462646484375,2827100,414.7392272949219,44.0,,4.0,1.0,,,,,0,,
2021-08-03,326.73883268517113,328.7043818274911,324.88559574007553,328.61077880859375,3819300,418.1133117675781,44.0,,4.0,1.0,,,,,0,,
2021-08-04,327.2068523137274,327.6654700199942,325.60634621412294,325.70928955078125,3118500,416.05670166015625,45.0,,4.0,1.0,,,,,0,,
2021-08-05,326.514236234693,328.19897646450556,326.3457679244384,328.1615295410156,2261400,418.6914367675781,46.0,,4.0,1.0,,,,,0,,
2021-08-06,329.1069663540859,329.92125865184056,328.95720718062137,329.546875,2123700,419.38330078125,45.0,,4.0,1.0,,,,,0,,
2021-08-09,329.08800822400394,329.5185476697489,328.1052197472743,328.66680908203125,2322500,419.04217529296875,45.0,,4.0,1.0,,,,,0,,
2021-08-10,328.9102303891916,330.342267740859,328.5358469531029,330.1457214355469,2841000,419.5633544921875,45.0,,1.0,1.0,,,,,0,,
2021-08-11,331.2783517650951,332.38279326939335,331.05372734079987,332.2143249511719,3422500,420.60595703125,45.0,,1.0,1.0,,,,,0,,
2021-08-12,332.4483318817972,332.504487990174,331.09115928087266,332.48577880859375,3118600,421.8664855957031,44.0,,1.0,1.0,,,,,0,,
2021-08-13,333.06609879481476,333.55279461954234,332.27051579075726,332.63555908203125,2414900,422.63427734375,44.0,,1.0,1.0,,,,,0,,
2021-08-16,331.718345242307,333.7681293297576,330.0803917472711,333.74005126953125,3634600,423.6294250488281,43.0,,1.0,1.0,,,,,0,,
2021-08-17,331.2502173241008,331.961565964791,329.003887772631,331.1753234863281,5019600,420.8523864746094,44.0,,1.0,1.0,,,,,0,,
2021-08-18,330.0428442281694,331.37193865565894,327.48765583536664,327.7029113769531,4038000,416.24615478515625,45.0,,1.0,1.0,,,,,0,,
2021-08-19,325.091607855268,328.03994672936597,325.0728986713644,327.1039733886719,5442200,416.89068603515625,45.0,,4.0,1.0,,,,,0,,
2021-08-20,327.2079650887377,329.8051409725944,326.7860280897915,329.251953125,3394800,420.2078857421875,45.0,,4.0,1.0,,,,,0,,
2021-08-23,330.939628885563,332.20541121134136,330.9021449954536,331.3990783691406,3569200,423.9043273925781,45.0,,4.0,1.0,,,,,0,,
2021-08-24,331.9897442148921,332.37416868414425,331.55845057700316,331.67095947265625,1981400,424.5771789550781,45.0,,4.0,1.0,,,,,0,,
2021-08-25,331.70857885316144,332.88997986548185,330.9022457654074,332.0836181640625,2434700,425.46807861328125,44.0,,4.0,1.0,,,,,0,,
2021-08-26,332.3553960424016,332.8523293614091,330.10513249621005,330.18951416015625,3008900,422.9564514160156,44.0,,4.0,1.0,,,,,0,,
2021-08-27,330.64892973823487,332.7116879808437,330.64892973823487,332.44915771484375,3163700,426.7381591796875,44.0,,4.0,1.0,,,,,0,,
2021-08-30,332.8148188913262,333.05860721998187,331.80221030414367,331.9897155761719,2482000,428.61468505859375,44.0,,4.0,1.0,,,,,0,,
2021-08-31,331.72718418046753,332.66479637839274,331.1458691959385,331.8397216796875,2913800,427.9796447753906,43.0,,4.0,1.0,,,,,0,,
2021-09-01,332.1866809517645,332.2429354025641,331.2490686202284,331.4928283691406,2739200,428.2071533203125,43.0,,4.0,1.0,,,,,0,,
2021-09-02,332.6460565677061,333.0210957265496,331.8397238068753,332.7304382324219,2390000,429.5245666503906,42.0,,4.0,1.0,,,,,0,,
2021-09-03,331.614728742996,332.5242138661161,331.0615408906984,332.0460510253906,2465400,429.4203796386719,42.0,,4.0,1.0,,,,,0,,
2021-09-07,331.57725452314355,331.6241236964998,329.0925588347677,329.5144958496094,3168500,427.8848876953125,42.0,,4.0,1.0,,,,,0,,
2021-09-08,328.9332891787539,330.19907202685243,327.82691307719693,328.8489074707031,3075700,427.36358642578125,42.0,,4.0,1.0,,,,,0,,
2021-09-09,328.6893799280469,330.5177354382163,327.15171056811397,327.5173645019531,3484700,425.5344543457031,42.0,,4.0,1.0,,,,,0,,
2021-09-10,329.3364385503455,329.7208631649269,324.9484182790758,325.0703125,4539000,422.1792907714844,42.0,,4.0,1.0,,,,,0,,
2021-09-13,327.1424026203502,328.1081424151929,325.7922382412371,327.508056640625,5439700,423.2597351074219,43.0,,4.0,1.0,,,,,0,,
