Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2021-10-18,19.60943924076418,20.01418316799116,19.460757476581612,19.865501403808594,306100,422.7703857421875,,,,,,,,,0,,
2021-10-19,19.882019986519417,20.022441463770736,19.848980473011608,19.93984031677246,371100,426.031982421875,30.0,,,3.0,,,,,0,,
2021-10-20,20.10504337864218,20.171123983667453,19.882020745874662,20.063743591308594,292900,427.7052917480469,30.0,,,1.0,,,,,0,,
2021-10-21,20.03070313598207,20.080263197450495,19.77464098032826,20.005922317504883,413800,428.8208312988281,30.0,,,1.0,,,,,0,,
2021-10-22,20.030700228291693,20.113301369072513,19.923319848116627,20.02243995666504,243000,428.3764953613281,30.0,,,1.0,,,,,0,,
2021-10-25,20.195903567086418,20.79888924802632,20.195903567086418,20.76584815979004,489200,430.67376708984375,58.0,,,1.0,,,,,0,,
2021-10-26,20.93931144968691,21.25319392140979,20.881491118750006,21.12103271484375,416400,431.0614318847656,61.0,,,1.0,,,,,0,,
2021-10-27,21.170592655972158,21.170592655972158,20.311544818059236,20.394145965576172,388700,429.1517333984375,77.0,,,4.0,,,,,0,,
2021-10-28,20.509785695828196,20.683248255288532,20.270244111936787,20.49326515197754,393100,433.2926025390625,76.0,,,4.0,,,,,0,,
2021-10-29,20.24546332758366,20.443705127641895,20.12156239948299,20.26198387145996,567500,434.1717529296875,77.0,,,4.0,,,,,0,,
2021-11-01,20.237202428502954,20.708026885986328,20.195902645577853,20.708026885986328,764400,434.91864013671875,81.0,,,4.0,,,,,0,,
2021-11-02,20.64194807805692,20.922791037661984,20.54282796024682,20.85671043395996,701100,436.6770935058594,80.0,,,4.0,,,,,0,,
2021-11-03,20.724548526228038,21.41013535727624,20.666728196878374,21.377094268798828,371200,439.34307861328125,86.0,,,4.0,,,,,0,,
2021-11-04,21.30275545148748,22.194844379196027,21.30275545148748,22.145282745361328,1616500,441.4134521484375,97.0,,,4.0,,,,,0,,
2021-11-05,22.26918630954933,22.277446582830866,21.73228115013768,21.856182098388672,615600,442.9450378417969,98.0,,1.0,4.0,,,,,0,,
2021-11-08,21.971821374351173,22.070941489338903,21.765319296726602,21.947040557861328,397100,443.3232116699219,96.0,,1.0,4.0,,,,,0,,
2021-11-09,21.922257673370524,22.698704221843425,21.781836220904477,22.591323852539062,1354000,441.8578186035156,103.0,,1.0,4.0,,,,,0,,
2021-11-10,22.52524617249711,22.690446883196707,22.360043886311747,22.459165573120117,1483300,438.30316162109375,102.0,,1.0,4.0,,,,,0,,
