Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2022-06-21,23.79875108428636,23.817072328484826,23.679666491416338,23.78042984008789,155100,356.4520568847656,,,,,,,,,0,,
2022-06-22,23.478137554200746,23.624705768410312,23.386534822733665,23.514780044555664,186000,355.8058166503906,89.0,,,3.0,,,,,1,,
2022-06-23,23.00179672241211,23.029276842146665,22.82774839284969,23.00179672241211,273700,359.2936096191406,93.0,,,3.0,,,,,1,,
2022-06-24,23.1850035844827,23.4414957638788,23.1850035844827,23.340730667114258,96800,370.71697998046875,94.0,,,3.0,,,,,0,,
2022-06-27,23.47813745966421,23.47813745966421,23.258287760050266,23.313251495361328,146800,369.3009033203125,92.0,,,3.0,,,,,0,,
2022-06-28,23.86287183477743,23.86287183477743,23.523937579531477,23.633861541748047,265100,361.7550354003906,93.0,,,3.0,,,,,0,,
2022-06-29,23.63386572891938,23.716309588793184,23.60638560710157,23.64302635192871,112000,361.46044921875,91.0,,,3.0,,,,,0,,
2022-06-30,23.157525605832056,23.304092079832685,23.0567604997528,23.249128341674805,189200,358.5237731933594,93.0,,,3.0,,,,,1,,
2022-07-01,23.276607646719743,23.432334726592572,23.12088056684691,23.37737274169922,261200,362.3157653808594,92.0,,,3.0,,,,,0,,
2022-07-05,23.32241108049349,23.432336807250977,23.26744909071983,23.432336807250977,56500,363.0,91.0,,,3.0,,,,,0,,
2022-07-06,23.65218610831541,23.862875188179785,23.65218610831541,23.817073822021484,50700,364.2260437011719,92.0,,,3.0,,,,,0,,
2022-07-07,23.624708058421064,23.633866934687482,23.514782323911,23.523942947387695,36800,369.6810607910156,92.0,,,3.0,,,,,1,,
2022-07-08,23.459819215981337,23.578903821101612,23.395696601900404,23.4964599609375,39300,369.37689208984375,91.0,,,3.0,,,,,0,,
2022-07-11,23.404854023232474,23.432335890649377,23.313251292929635,23.359052658081055,35200,365.1573791503906,90.0,,,3.0,,,,,0,,
2022-07-12,23.349893029084033,23.35905365194609,23.203326557711378,23.285770416259766,63300,361.9261474609375,89.0,,4.0,3.0,,,,,0,,
2022-07-13,22.901030197976816,22.974313424721945,22.708662382974584,22.818586349487305,61300,360.025390625,91.0,,4.0,3.0,,,,,1,,
2022-07-14,22.781947460389453,22.781947460389453,22.461332662130953,22.571256637573242,186400,359.15106201171875,91.0,,4.0,3.0,,,,,0,,
2022-07-15,22.56209915043069,22.726986883717863,22.507137155071742,22.699506759643555,19000,366.0126953125,90.0,,4.0,3.0,,,,,0,,
2022-07-18,22.836913208009165,22.89187520477932,22.71782684326172,22.71782684326172,39200,362.99053955078125,89.0,,4.0,3.0,,,,,0,,
2022-07-19,23.05675677546311,23.130040000626202,23.02011428927661,23.102558135986328,45100,372.7982482910156,91.0,,4.0,3.0,,,,,0,,
2022-07-20,23.047601046291682,23.047601046291682,22.827751324134322,22.882713317871094,71700,375.1741638183594,90.0,,4.0,3.0,,,,,0,,
2022-07-21,23.11172069577044,23.12088131808531,22.76362578385565,23.00179672241211,46400,378.99462890625,89.0,,4.0,3.0,,,,,0,,
2022-07-22,23.029279543786114,23.075082660733777,22.910194934142712,22.97431755065918,26300,375.478271484375,88.0,,4.0,3.0,,,,,0,,
2022-07-25,22.928516387939453,22.992639005034874,22.873552647106003,22.928516387939453,27000,375.9344787597656,87.0,,4.0,3.0,,,,,0,,
2022-07-26,23.047598086776404,23.212485794023955,22.94683298852289,23.00179672241211,35900,371.4867248535156,85.0,,4.0,3.0,,,,,0,,
2022-07-27,23.13920148005233,23.32240867614746,23.047597008399773,23.32240867614746,83700,381.13287353515625,86.0,,4.0,3.0,,,,,0,,
2022-07-28,23.505619838223563,23.533101706476423,23.313252002083956,23.478137969970703,51700,385.9132080078125,85.0,,4.0,3.0,,,,,0,,
2022-07-29,23.395695495533325,23.798752407041807,23.349892382491376,23.76211166381836,101700,391.53936767578125,86.0,,1.0,3.0,,,,,0,,
2022-08-01,24.1743279946464,24.1743279946464,23.304089856687234,23.48729705810547,92700,390.3798522949219,86.0,,1.0,3.0,,,,,0,,
2022-08-02,23.560580550297512,23.780430242771903,23.496457941727073,23.688827514648438,121100,387.8044128417969,85.0,,1.0,3.0,,,,,0,,
2022-08-03,23.77127166936834,23.87203502102477,23.652185325760644,23.844554901123047,39600,393.8772888183594,85.0,,1.0,3.0,,,,,0,,
2022-08-04,24.11936623736105,24.26593269876768,24.11936623736105,24.183488845825195,24000,393.6112060546875,86.0,,1.0,3.0,,,,,0,,
2022-08-05,23.945321409055474,24.11936976261831,23.81707617338301,24.02776527404785,57000,392.9459228515625,85.0,,1.0,3.0,,,,,0,,
2022-08-08,24.04608191662824,24.247610355124394,24.04608191662824,24.05524253845215,87000,392.48968505859375,84.0,,1.0,3.0,,,,,0,,
2022-08-09,24.07356552027021,24.101045640516116,23.981961042626995,24.000282287597656,49000,390.9310607910156,82.0,,1.0,3.0,,,,,0,,
2022-08-10,24.33005445016855,24.394177056373884,24.238449978213804,24.35753631591797,49900,399.14227294921875,84.0,,1.0,3.0,,,,,0,,
2022-08-11,25.044568096977745,25.154492069339835,24.88884101345642,24.971284866333008,122400,399.14227294921875,89.0,,1.0,3.0,,,,,0,,
2022-08-12,25.02625021259241,25.117854699999857,24.998770089417363,25.108694076538086,73800,405.8993225097656,88.0,,1.0,3.0,,,,,0,,
2022-08-15,25.053733082371178,25.13617694960554,25.01709058706242,25.035411834716797,31300,407.5719909667969,87.0,,1.0,3.0,,,,,0,,
2022-08-16,25.42014442068328,25.539229013160924,25.36518243547898,25.502588272094727,42800,408.3703308105469,89.0,,1.0,3.0,,,,,0,,
2022-08-17,25.401824236730054,25.42014548163282,25.044568697176494,25.282739639282227,100300,405.4716796875,89.0,,1.0,3.0,,,,,0,,
2022-08-18,25.319381918974823,25.36518503401237,25.072052086612807,25.27358055114746,22900,406.6501770019531,87.0,,1.0,3.0,,,,,0,,
2022-08-19,25.35602225435856,25.420144862747016,25.26441777928503,25.365182876586914,62200,401.1855773925781,86.0,,1.0,3.0,,,,,0,,
2022-08-22,24.925483366676012,24.925483366676012,24.641511047969296,24.81555938720703,56100,392.8318786621094,90.0,,1.0,3.0,,,,,1,,
2022-08-23,24.559063508503197,24.696469335848175,24.513262148458168,24.623186111450195,59900,391.8814697265625,89.0,,1.0,3.0,,,,,0,,
2022-08-24,24.650669975823757,24.806397058705546,24.632348731435304,24.769756317138672,27800,393.13604736328125,88.0,,1.0,3.0,,,,,0,,
2022-08-25,24.788075373449576,24.943802453561688,24.788075373449576,24.907161712646484,28400,398.6861267089844,87.0,,1.0,3.0,,,,,0,,
2022-08-26,25.026247589182308,25.108691444485697,24.632349557668356,24.69647216796875,205200,385.1909484863281,87.0,,1.0,3.0,,,,,0,,
2022-08-29,24.540745983112853,24.540745983112853,24.430820264085334,24.476621627807617,59200,382.64404296875,86.0,,1.0,3.0,,,,,1,,
2022-08-30,24.513263154284125,24.522423776110987,24.394176817744885,24.449140548706055,29100,378.44342041015625,85.0,,1.0,3.0,,,,,0,,
2022-08-31,24.293414840589943,24.293414840589943,23.945318180399724,23.991121292114258,88200,375.56378173828125,88.0,,4.0,3.0,,,,,1,,
2022-09-01,23.954479667706508,23.954479667706508,23.679667976336464,23.817073822021484,49200,376.7422790527344,87.0,,4.0,3.0,,,,,0,,
2022-09-02,24.146849298304073,24.256773276190515,24.018602327823057,24.06440544128418,14500,372.7696838378906,87.0,,4.0,3.0,,,,,0,,
2022-09-06,24.055243901304546,24.10104526580902,23.92699868292397,23.991121292114258,53600,371.3631896972656,86.0,,4.0,3.0,,,,,0,,
2022-09-07,23.55142145385409,23.70714854784703,23.47813821828154,23.679668426513672,113900,378.0347595214844,86.0,,4.0,3.0,,,,,1,,
2022-09-08,23.652186974938044,23.67050822095671,23.514781124218434,23.64302635192871,39200,380.5056457519531,85.0,,4.0,3.0,,,,,0,,
2022-09-09,23.762110646087837,23.96363909321062,23.762110646087837,23.9361572265625,92100,386.41693115234375,85.0,,4.0,3.0,,,,,0,,
2022-09-12,24.29341693780097,24.449144036653934,24.284256314667243,24.394180297851562,48600,390.57000732421875,88.0,,4.0,3.0,,,,,0,,
2022-09-13,24.073566221279936,24.073566221279936,23.70714830003718,23.771272659301758,70900,373.5870361328125,94.0,,4.0,3.0,,,,,1,,
2022-09-14,23.661346062478344,23.707147427342605,23.615544697614084,23.652185440063477,43100,375.0126037597656,92.0,,4.0,3.0,,,,,1,,
2022-09-15,23.62470539362645,23.661346136189987,23.478137181742053,23.505619049072266,29200,370.75494384765625,91.0,,4.0,3.0,,,,,0,,
2022-09-16,23.478137181742053,23.542261538845885,23.395695074171567,23.505619049072266,102000,367.9265441894531,90.0,,4.0,3.0,,,,,0,,
2022-09-19,23.249127213184895,23.249127213184895,23.093400123716794,23.166685104370117,13500,370.7797546386719,91.0,,4.0,3.0,,,,,1,,
2022-09-20,23.13004465386071,23.13004465386071,22.93767680431131,22.97431755065918,44200,366.5238037109375,90.0,,4.0,3.0,,,,,0,,
2022-09-21,22.589579878875927,22.626222372068316,22.351408914756128,22.424692153930664,61100,360.1302185058594,95.0,,4.0,3.0,,,,,1,,
2022-09-22,22.16820169955357,22.232324315456413,22.03995472053764,22.076597213745117,24300,357.1051330566406,96.0,,4.0,3.0,,,,,1,,
2022-09-23,21.95751162251402,21.95751162251402,21.728501273624683,21.80178451538086,66000,351.12188720703125,96.0,,4.0,3.0,,,,,1,,
2022-09-26,21.68269808560031,21.755981321214943,21.572772358573282,21.655216217041016,122900,347.64837646484375,95.0,,4.0,3.0,,,,,0,,
2022-09-27,20.959021325720773,21.07810765696793,20.92238058725157,21.02314567565918,146400,346.76092529296875,102.0,,4.0,4.0,,,,,1,,
2022-09-28,20.775816634758993,20.968184466053753,20.656730289205964,20.940704345703125,60400,353.58392333984375,101.0,,4.0,4.0,,,,,0,,
2022-09-29,20.86742036878449,21.013986829462745,20.803296013428977,20.922382354736328,40200,346.1979064941406,99.0,,4.0,4.0,,,,,0,,
2022-09-30,20.281154464886203,20.400240816093515,20.217031851410045,20.226192474365234,48500,340.844482421875,108.0,,4.0,4.0,,,,,1,,
2022-10-03,20.29031459164633,20.491844797311803,20.29031459164633,20.409400939941406,35600,349.8431701660156,107.0,,4.0,4.0,,,,,0,,
