Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2021-11-05,24.38138411924877,24.38138411924877,24.027314467246814,24.167295455932617,61600,442.94500732421875,,,,,,,,,0,,
2021-11-08,24.348445787368405,24.793091818905165,24.348445787368405,24.521364212036133,59200,443.3231506347656,115.0,,,3.0,,,,,0,,
2021-11-09,24.5625361296484,24.644878167499925,24.35668182029146,24.480194091796875,58100,441.8578186035156,114.0,,,3.0,,,,,0,,
2021-11-10,24.776625482043578,24.8260300778973,24.356682490927476,24.463726043701172,36600,438.3031311035156,112.0,,,3.0,,,,,0,,
2021-11-11,24.669579669249448,24.99071345968291,24.669579669249448,24.858966827392578,83300,438.4449462890625,113.0,,,3.0,,,,,0,,
2021-11-12,24.908370523276165,25.007181279201113,24.83426284896838,24.957775115966797,358100,441.7537841796875,111.0,,,3.0,,,,,0,,
2021-11-15,24.90837198260059,25.05658733989976,24.735455112780738,24.883668899536133,41300,441.90509033203125,109.0,,,3.0,,,,,0,,
2021-11-16,24.743685207302885,24.834261598126666,24.570768356323242,24.570768356323242,41400,443.6541442871094,109.0,,,3.0,,,,,0,,
2021-11-17,24.620175429008988,24.686048746101935,24.15082784840378,24.348447799682617,14600,442.57635498046875,108.0,,,3.0,,,,,0,,
2021-11-18,24.20023144003802,24.373149871826172,24.117890974994204,24.373149871826172,335200,444.0794982910156,107.0,,,3.0,,,,,0,,
2021-11-19,24.30727757063589,24.323746292548577,24.208466809703523,24.22493553161621,15500,443.2853698730469,105.0,,,3.0,,,,,0,,
2021-11-22,24.060251823766475,24.060251823766475,22.627505976737467,23.590904235839844,122900,442.0374755859375,110.0,,,3.0,,,,,1,,
2021-11-23,23.665010229228237,23.8461614485191,23.582668194807415,23.755586624145508,277100,442.6235656738281,109.0,,,3.0,,,,,0,,
2021-11-24,23.763820426727875,23.887332690187513,23.681478394240234,23.846160888671875,22000,443.80535888671875,107.0,,,3.0,,,,,0,,
2021-11-26,23.34387869508401,23.525029919593546,22.97334031478755,22.989809036254883,22500,433.9071350097656,117.0,,4.0,3.0,,,,,1,,
2021-11-29,23.11332174642593,23.401518095418883,23.04744842984558,23.310941696166992,19600,439.2296447753906,117.0,,4.0,3.0,,,,,0,,
2021-11-30,23.24506737523779,23.73911801351589,23.24506737523779,23.58266830444336,397800,430.68328857421875,116.0,,4.0,3.0,,,,,0,,
2021-12-01,23.86263074392929,23.86263074392929,22.660442352294922,22.660442352294922,389000,425.899658203125,127.0,,4.0,4.0,,,,,0,,
2021-12-02,22.956868696918477,23.212129135825553,22.890995389903896,23.13802146911621,628400,432.4227600097656,128.0,,4.0,4.0,,,,,0,,
2021-12-03,23.162725334398438,23.41798579927754,22.9157008005956,22.956871032714844,94000,428.66015625,126.0,,4.0,4.0,,,,,0,,
2021-12-06,23.16272478015343,23.426219599260133,23.014511005744442,23.302705764770508,267900,433.73687744140625,126.0,,4.0,4.0,,,,,0,,
2021-12-07,23.928505743853446,24.00261342477997,23.516797103392232,23.74735450744629,377500,442.708740234375,127.0,,4.0,4.0,,,,,0,,
2021-12-08,23.961444313600506,23.961444313600506,23.68971666096411,23.804994583129883,18300,443.8810119628906,125.0,,4.0,4.0,,,,,0,,
2021-12-09,23.862630732653095,23.862630732653095,23.49209392483051,23.780288696289062,17300,440.88409423828125,123.0,,4.0,4.0,,,,,0,,
2021-12-10,23.83792899634148,23.83792899634148,23.62384033203125,23.62384033203125,9700,445.03436279296875,122.0,,4.0,4.0,,,,,0,,
2021-12-13,23.645758102668292,23.721626975936736,23.376002823433065,23.65418815612793,393400,441.092041015625,120.0,,4.0,4.0,,,,,0,,
