Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2021-12-27,28.106825603226348,28.26168441772461,28.081016894770148,28.26168441772461,606600,451.44952392578125,,,,,,,,,0,,
2021-12-28,28.296098001656308,28.35632050884965,28.253082393929706,28.313304901123047,523400,451.08056640625,14.0,,,3.0,,,,,0,,
2021-12-29,28.235873221515575,28.35631822620661,28.21006451533328,28.339111328125,437300,451.6575927734375,14.0,,,1.0,,,,,0,,
2021-12-30,28.27028976534831,28.330512273547022,28.158446557887604,28.1756534576416,554300,450.40899658203125,16.0,,,1.0,,,,,0,,
2021-12-31,28.16704953002254,28.339111950859127,28.1412375413928,28.227272033691406,656400,449.2738952636719,16.0,,,1.0,,,,,0,,
2022-01-03,28.640227193479895,28.70044969597628,28.536985804731604,28.683242797851562,907100,451.8751525878906,27.0,,,1.0,,,,,0,,
2022-01-04,28.872517179926493,28.97575529317559,28.743467076954783,28.829498291015625,643100,451.72381591796875,27.0,,,1.0,,,,,0,,
2022-01-05,29.096200103468206,29.173629508337203,28.67464256286621,28.67464256286621,688100,443.0496520996094,28.0,,,1.0,,,,,0,,
2022-01-06,28.752068404820346,28.82089600042245,28.511178383973764,28.588607788085938,3498700,442.6335144042969,28.0,,,1.0,,,,,0,,
2022-01-07,28.468166244914165,28.631626881557096,28.373529930375334,28.58000946044922,870100,440.8835754394531,28.0,,,1.0,,,,,0,,
2022-01-10,28.356320040042267,28.476765052437667,28.19285942063143,28.450956344604492,1773200,440.3349304199219,28.0,,,1.0,,,,,0,,
2022-01-11,28.459561208099398,28.71765813001349,28.356319813829426,28.70905303955078,845800,444.3456726074219,30.0,,,1.0,,,,,0,,
2022-01-12,28.795087586896084,29.070391408353483,28.7606737887438,29.053184509277344,1236800,445.5468444824219,34.0,,,1.0,,,,,0,,
2022-01-13,29.14782128425671,29.199438700438797,28.88111926708752,28.9155330657959,2019900,439.4079284667969,34.0,,,1.0,,,,,0,,
2022-01-14,28.72626364735344,28.889727568445004,28.68324803512755,28.820899963378906,1340500,439.5876770019531,34.0,,1.0,1.0,,,,,0,,
2022-01-18,28.54559123184528,28.623020633380783,28.43374803365393,28.485368728637695,3311200,431.8027038574219,37.0,,1.0,1.0,,,,,1,,
2022-01-19,28.58861088493589,28.623024686464802,28.390736448965757,28.433752059936523,1451300,427.3190612792969,36.0,,1.0,1.0,,,,,0,,
2022-01-20,28.554194689779735,28.70905350179767,28.17565275033616,28.192859649658203,1362400,422.5894775390625,38.0,,1.0,1.0,,,,,0,,
2022-01-21,28.132635668235046,28.184253081614884,27.883140563964844,27.883140563964844,1711700,414.2938232421875,40.0,,4.0,1.0,,,,,0,,
2022-01-24,27.263707572065783,27.607837343121705,26.764718993799654,27.59923553466797,3835000,416.05322265625,42.0,,4.0,1.0,,,,,1,,
2022-01-25,27.04862748985011,27.38415382676738,26.781925469333046,27.16046905517578,2232700,410.9736633300781,47.0,,4.0,1.0,,,,,0,,
2022-01-26,27.68526803735452,27.88314245981863,27.23789849365632,27.418567657470703,2733900,409.942626953125,48.0,,4.0,1.0,,,,,0,,
2022-01-27,27.633647338584545,27.745490544979226,27.306724451076025,27.418567657470703,2270000,407.9183044433594,47.0,,4.0,1.0,,,,,0,,
2022-01-28,27.306722673038912,27.487391825089286,27.08303791575472,27.478788375854492,1663400,418.0490417480469,46.0,,4.0,1.0,,,,,0,,
