Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2022-09-09,29.631841288059274,30.55961098792348,29.470901498842423,30.455472946166992,17883000,385.4239501953125,,,,,,,,,0,,
2022-09-12,30.90989414862986,31.032963096714813,30.19986417974787,30.455472946166992,12635900,389.5664367675781,0.0,,,1.0,,,,,0,,
2022-09-13,29.111153953936885,30.019989113082314,29.0164831734355,29.395164489746094,17693700,372.6270751953125,48.0,,,1.0,,,,,1,,
2022-09-14,28.89341211598169,29.063819157935825,27.956175190928885,28.429527282714844,20529700,374.0489807128906,66.0,,,1.0,,,,,0,,
2022-09-15,28.259119114212073,29.215290518185366,27.927772302032043,28.19285011291504,13837400,369.8022155761719,66.0,,,1.0,,,,,0,,
2022-09-16,27.710032512330635,28.06031205697393,27.160944145685903,27.766834259033203,27657400,366.98114013671875,68.0,,,1.0,,,,,0,,
2022-09-19,26.962135531878296,28.98808377399332,26.962135531878296,28.86501121520996,18022100,369.8269958496094,85.0,,,4.0,,,,,0,,
2022-09-20,28.32538892010384,28.34432343692508,27.795235088973463,28.13604736328125,14182100,365.5819091796875,91.0,,,4.0,,,,,0,,
2022-09-21,28.334852932655835,28.382187413591694,26.58345005260852,26.602384567260742,18878100,359.20477294921875,118.0,,,4.0,,,,,0,,
2022-09-22,27.22721221057584,27.501755481566807,26.64972208768134,26.83906364440918,16103400,356.18756103515625,117.0,,,4.0,,,,,0,,
2022-09-23,25.655681979474213,25.797687236148917,24.64270886131458,25.258066177368164,26058200,350.2196960449219,142.0,,,4.0,,,,,1,,
2022-09-26,24.78471479840733,25.807155202507104,24.72791305531702,25.08765983581543,17105500,346.7550048828125,140.0,,,4.0,,,,,0,,
2022-09-27,25.655682112611657,25.873423627689135,25.00245576168441,25.43794059753418,15322300,345.869873046875,139.0,,,4.0,,,,,0,,
2022-09-28,25.532611334452238,26.498250040870285,25.381138808625284,26.375179290771484,14899300,352.6753234863281,145.0,,,4.0,,,,,0,,
2022-09-29,26.4887811053402,26.697057169437908,25.41900623370086,26.668655395507812,17580400,345.3083190917969,144.0,,4.0,4.0,,,,,0,,
2022-09-30,26.365715012151806,26.9053361721123,25.835561111837393,25.873428344726562,16108400,339.9685974121094,148.0,,4.0,4.0,,,,,0,,
2022-10-03,26.55504936350077,27.899369261817895,26.403576851495586,27.77629852294922,16515200,348.94427490234375,175.0,,4.0,4.0,,,,,0,,
2022-10-04,28.448461423699843,29.33836390657296,28.353792445141124,29.139556884765625,17325900,359.75677490234375,184.0,,1.0,4.0,,,,,0,,
2022-10-05,28.401124229160153,29.130086851075358,28.012975675817216,28.883943557739258,13118100,358.9192199707031,182.0,,1.0,4.0,,,,,0,,
2022-10-06,28.117115121238005,28.476861918368755,27.67216299699017,28.2307186126709,18258700,355.2167053222656,182.0,,1.0,4.0,,,,,0,,
2022-10-07,27.833103132846897,28.259120745338954,27.227213022364833,27.407087326049805,12667300,345.3083190917969,184.0,,1.0,4.0,,,,,0,,
2022-10-10,27.75736708501068,28.5052642759393,27.568027326859305,27.700565338134766,11617700,342.6717529296875,181.0,,1.0,4.0,,,,,0,,
2022-10-11,27.14200524076341,28.268583568142276,26.725454952324267,27.62482452392578,13833900,340.50164794921875,179.0,,1.0,4.0,,,,,0,,
