Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2022-05-09,35.391648804284785,35.391648804284785,34.99638091260907,35.02678680419922,948100,376.7778015136719,,,,,,,,,0,,
2022-05-10,35.14079858316204,35.178804491365675,34.91276023427528,34.96596908569336,893800,377.64837646484375,14.0,,,3.0,,,,,0,,
2022-05-11,34.9811669727707,35.00396993446398,34.6011021463386,34.66191101074219,684000,371.6490478515625,18.0,,,1.0,,,,,0,,
2022-05-12,34.63910343864694,34.71511523395053,34.167823928503644,34.47947692871094,620200,371.26104736328125,19.0,,,1.0,,,,,0,,
2022-05-13,34.456684773380275,34.77593789334885,34.456684773380275,34.677120208740234,583100,380.1371154785156,20.0,,,1.0,,,,,0,,
2022-05-16,34.55549940936537,34.71512596866155,34.55549940936537,34.6467170715332,500700,378.5946044921875,20.0,,,1.0,,,,,0,,
2022-05-17,34.71513051076877,34.82915115356445,34.66192165070823,34.82915115356445,446100,386.38250732421875,21.0,,,1.0,,,,,0,,
2022-05-18,34.74554139691044,34.753144320677976,34.50990295410156,34.50990295410156,588100,370.80682373046875,24.0,,,1.0,,,,,0,,
2022-05-19,34.59350633461586,34.63151514480111,34.44908271477328,34.471885681152344,751400,368.5357666015625,24.0,,,1.0,,,,,0,,
2022-05-20,34.525087419452674,34.56309622180349,34.22863731896915,34.312252044677734,838100,368.6966247558594,24.0,,,1.0,,,,,0,,
2022-05-23,34.3806685610772,34.52509217102753,34.3806685610772,34.41867446899414,467700,375.594970703125,24.0,,,1.0,,,,,0,,
2022-05-24,34.352331482540464,34.42096000923387,34.22270143703693,34.314205169677734,803500,372.7277526855469,24.0,,,1.0,,,,,0,,
2022-05-25,34.25320074201639,34.314205169677734,34.161697009375594,34.314205169677734,683100,376.0207824707031,24.0,,,1.0,,,,,0,,
2022-05-26,34.25319652068035,34.52771059362308,34.25319652068035,34.45145797729492,789100,383.5342102050781,24.0,,,1.0,,,,,0,,
2022-05-27,34.4514590943197,34.748848380032996,34.4514590943197,34.61159133911133,782500,392.94964599609375,25.0,,,1.0,,,,,0,,
2022-05-31,34.61160483021976,34.63448004300616,34.512474060058594,34.512474060058594,751100,390.74481201171875,25.0,,,1.0,,,,,0,,
2022-06-01,34.65735402697017,34.71073145633384,34.58872548795233,34.69548034667969,624900,387.5842590332031,25.0,,,1.0,,,,,0,,
