Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2021-11-19,100.48636649360343,100.55317259985648,100.22868059711344,100.24777221679688,74900,443.2854309082031,,,,,,,,,0,,
2021-11-22,99.84690846147113,100.04732672579793,99.7514649516148,99.79918670654297,54800,442.0374755859375,36.0,,,3.0,,,,,1,,
2021-11-23,99.79917430806566,100.06639862730296,99.79917430806566,99.9232406616211,20100,442.6236267089844,35.0,,,1.0,,,,,0,,
2021-11-24,99.38879393585997,99.57012784796784,99.38879393585997,99.53195190429688,51600,443.80535888671875,35.0,,,1.0,,,,,1,,
2021-11-26,100.21912499197728,100.49589517967158,100.2095791837621,100.40045166015625,46200,433.90704345703125,36.0,,,1.0,,,,,0,,
2021-11-29,100.09503947636206,100.18093717749062,99.98051891661385,100.14276123046875,31200,439.2296142578125,36.0,,,1.0,,,,,1,,
2021-11-30,100.9157777721326,101.05893571573857,99.9041409249306,100.68672943115234,50900,430.68328857421875,36.0,,,1.0,,,,,0,,
2021-12-01,100.74400209998714,100.80126965326978,100.34316563359057,100.41951751708984,29200,425.89959716796875,36.0,,,1.0,,,,,0,,
2021-12-02,100.59131159525943,100.7440080900206,100.28591132442027,100.33362579345703,49800,432.4228210449219,35.0,,,1.0,,,,,0,,
2021-12-03,100.30498969184094,100.56267547832186,100.06639551689302,100.41951751708984,40900,428.6601257324219,35.0,,,1.0,,,,,0,,
2021-12-06,100.38134336571747,100.38134336571747,100.05685149571623,100.12366485595703,17200,433.73687744140625,35.0,,,1.0,,,,,0,,
2021-12-07,99.7610318971067,100.01871777821154,99.7610318971067,99.99962615966797,23200,442.7087097167969,34.0,,,1.0,,,,,1,,
2021-12-08,100.38136260775468,100.80129077366973,100.3622782735394,100.71539306640625,38200,443.8809509277344,35.0,,,1.0,,,,,0,,
2021-12-09,100.419520739037,100.419520739037,100.13320480738653,100.25727844238281,12700,440.88409423828125,35.0,,,1.0,,,,,0,,
2021-12-10,100.13321217244288,100.4863342099426,100.09503622666044,100.44815826416016,28800,445.03436279296875,35.0,,,1.0,,,,,0,,
2021-12-13,100.13320481422869,100.33362305387107,100.05685292827447,100.11412048339844,22600,441.0920715332031,34.0,,,1.0,,,,,0,,
2021-12-14,100.2381884038629,100.32408609723319,99.85643624944143,99.86598205566406,52900,438.0573425292969,34.0,,,1.0,,,,,0,,
2021-12-15,99.91369915066353,100.22863792817087,99.6369290336351,100.18092346191406,33600,444.9019775390625,34.0,,,1.0,,,,,0,,
