Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2021-03-26,115.66548873735015,117.81413405782486,114.50089531247546,117.4710693359375,39000,374.0782470703125,,,,,,,,,0,,
2021-03-29,116.59536496948635,117.10996206699636,116.27939662101257,116.80301666259766,21800,373.8891906738281,45.0,,,3.0,,,,,0,,
2021-03-30,116.76689349923868,117.89538136847243,116.55023264465727,117.8592758178711,41900,372.8974304199219,46.0,,,1.0,,,,,0,,
2021-03-31,117.43495607418618,118.39191152452415,117.31758893482878,118.22941589355469,271100,374.4088439941406,46.0,,,1.0,,,,,0,,
2021-04-01,120.90167788149589,120.90167788149589,119.80930930965147,120.50444793701172,33100,378.4521484375,52.0,,,1.0,,,,,0,,
2021-04-05,120.62181729413282,120.62181729413282,119.89055932635299,120.26972961425781,39400,383.8841247558594,51.0,,,1.0,,,,,0,,
2021-04-06,119.8905460130072,121.77737429882609,119.69193105918565,121.14542388916016,54200,383.6573791503906,52.0,,,1.0,,,,,0,,
2021-04-07,117.65163268139239,118.21135823151552,117.23634310274593,117.77802276611328,78900,384.10137939453125,64.0,,,1.0,,,,,1,,
2021-04-08,119.71902274210048,119.75512829303953,119.27665053404783,119.47526550292969,44200,385.92462158203125,66.0,,,1.0,,,,,0,,
2021-04-09,117.75093489913496,118.00372886234142,117.40788394465125,117.75997161865234,46600,388.73040771484375,68.0,,,1.0,,,,,1,,
2021-04-12,117.45302604732998,117.78705405730435,116.99259416819015,117.54329681396484,25700,388.8721618652344,67.0,,,1.0,,,,,0,,
2021-04-13,117.08288061081574,117.98567094474076,117.07384389116463,117.78705596923828,46700,390.02459716796875,66.0,,,1.0,,,,,0,,
2021-04-14,118.84331638370874,119.05999101824362,117.59746134223533,117.71482849121094,41900,388.6926574707031,65.0,,,1.0,,,,,0,,
2021-04-15,118.1120629497614,118.33776053689108,117.82316342600141,118.03081512451172,36400,392.8681335449219,64.0,,,1.0,,,,,0,,
2021-04-16,118.84331838154247,118.92456620505126,118.15720269054506,118.80721282958984,16500,394.1811828613281,64.0,,,1.0,,,,,0,,
2021-04-19,119.33984315723588,119.33984315723588,118.16621309871861,118.75302124023438,28900,392.2445983886719,63.0,,,1.0,,,,,0,,
2021-04-20,118.82526371849163,119.14124585719553,117.40789000529156,117.88636779785156,23400,389.3728332519531,63.0,,,1.0,,,,,0,,
2021-04-21,117.54329488205063,118.9426226090188,117.36273957626143,118.84331512451172,33200,393.0570373535156,63.0,,,1.0,,,,,0,,
2021-04-22,119.10512404122184,120.19750642389985,119.05095882440082,119.44818878173828,16000,389.4673156738281,62.0,,,1.0,,,,,0,,
2021-04-23,120.56764063629302,121.44334828078611,120.56764063629302,121.32598114013672,35700,393.69000244140625,65.0,,1.0,1.0,,,,,0,,
2021-04-26,119.48429279301196,120.20651395869254,119.43011380764877,120.14332580566406,20000,394.5118408203125,65.0,,1.0,1.0,,,,,1,,
2021-04-27,120.37806628240955,120.88362669247257,120.37806628240955,120.61280059814453,43500,394.4268493652344,64.0,,1.0,1.0,,,,,0,,
2021-04-28,121.38016247089004,121.72322721958817,121.0190518331462,121.37113952636719,576600,394.3134460449219,64.0,,1.0,1.0,,,,,0,,
2021-04-29,121.66003048331649,121.66003048331649,119.7009769500423,120.6669692993164,272500,396.82635498046875,64.0,,1.0,1.0,,,,,0,,
2021-04-30,119.14123603401353,119.6738790006092,118.37385877499582,118.9697036743164,17300,394.218994140625,65.0,,1.0,1.0,,,,,1,,
2021-05-03,118.87038708540804,119.48429160069334,118.34676710267475,118.40093231201172,123300,395.06927490234375,65.0,,1.0,1.0,,,,,0,,
2021-05-04,118.22942145991954,118.22942145991954,116.45994644496798,117.20024108886719,76600,392.6319580078125,65.0,,1.0,1.0,,,,,1,,
2021-05-05,117.75997015921227,118.11205782884983,117.25440979003906,117.25440979003906,46100,392.7547607421875,64.0,,1.0,1.0,,,,,0,,
2021-05-06,117.35372339347227,117.70581108146635,116.73079584344714,117.3176040649414,26600,395.8911437988281,63.0,,1.0,1.0,,,,,0,,
2021-05-07,117.19120702854822,117.94954757695265,116.97454617213941,117.14606475830078,31800,398.77239990234375,63.0,,1.0,1.0,,,,,0,,
2021-05-10,115.8640921873163,115.9814593227129,114.121713695121,114.3022689819336,196800,394.8236083984375,70.0,,4.0,4.0,,,,,1,,
2021-05-11,112.39740650433066,115.04258269195039,112.39740650433066,114.68146514892578,250000,391.29986572265625,69.0,,4.0,1.0,,,,,0,,
2021-05-12,114.7356162334095,115.09673373194182,113.0744853830016,113.50782775878906,50200,382.9866638183594,70.0,,4.0,1.0,,,,,0,,
2021-05-13,113.45365153029081,113.45365153029081,111.12445098160867,111.38626098632812,83300,387.58734130859375,73.0,,4.0,1.0,,,,,0,,
2021-05-14,112.8487882932841,114.17589114565206,112.5508658391314,113.92311096191406,112400,393.5388488769531,78.0,,4.0,3.0,,,,,0,,
2021-05-17,114.5460363197086,115.26827134970708,114.50992387943431,115.06965637207031,378900,392.5374450683594,78.0,,4.0,3.0,,,,,0,,
2021-05-18,115.94535079353533,116.83911814336467,115.78285515292272,116.22522735595703,51600,389.1555480957031,78.0,,4.0,3.0,,,,,0,,
2021-05-19,115.03354533096191,116.45995574429945,115.01549255447705,116.31550598144531,99000,388.1352233886719,77.0,,4.0,3.0,,,,,0,,
2021-05-20,116.36063205365565,117.4530142918548,116.36063205365565,117.02870178222656,167100,392.3107604980469,77.0,,4.0,3.0,,,,,0,,
2021-05-21,116.47801340720292,116.8030184802967,115.28632354736328,115.28632354736328,29800,391.9895935058594,78.0,,4.0,3.0,,,,,0,,
2021-05-24,115.64745043490764,116.3696717013229,115.62939077060096,115.9905014038086,43800,395.98565673828125,77.0,,4.0,3.0,,,,,0,,
2021-05-25,118.283593079894,118.70790563770078,118.08497810494245,118.3287353515625,57500,395.1069641113281,81.0,,1.0,3.0,,,,,0,,
2021-05-26,118.83428697347982,119.10511303255295,118.69886016845703,118.69886016845703,22500,395.8911437988281,80.0,,1.0,3.0,,,,,0,,
2021-05-27,119.21346825035137,119.51139071835446,118.65372886706336,119.44818878173828,123600,396.0989685058594,79.0,,1.0,3.0,,,,,0,,
2021-05-28,118.60859520609526,119.43916063732748,118.55442999163246,119.3037338256836,27400,396.8075256347656,78.0,,1.0,3.0,,,,,0,,
2021-06-01,122.49961160136515,122.49961160136515,121.55167908086774,122.26487731933594,55200,396.45794677734375,84.0,,1.0,4.0,,,,,0,,
2021-06-02,121.73224288258064,121.83155036834319,121.26280183669127,121.74127960205078,19400,397.0814208984375,83.0,,1.0,4.0,,,,,0,,
2021-06-03,119.85443907587032,119.88152168369163,119.16832338525184,119.37596130371094,370100,395.6077575683594,86.0,,1.0,4.0,,,,,1,,
2021-06-04,120.13432090631918,120.43222960539023,120.053059303812,120.3690414428711,17800,399.2259216308594,85.0,,1.0,4.0,,,,,0,,
2021-06-07,119.49331667510458,119.49331667510458,118.73497617988973,119.43011474609375,31400,398.83856201171875,85.0,,1.0,4.0,,,,,1,,
2021-06-08,118.85233457954214,118.96067878022474,118.166218927489,118.78914642333984,27300,398.9235534667969,84.0,,1.0,4.0,,,,,0,,
2021-06-09,118.79816221446356,119.33080514025782,118.40093231201172,118.40093231201172,48700,398.328369140625,83.0,,1.0,4.0,,,,,0,,
2021-06-10,118.40997501505483,119.47526092048341,118.40997501505483,119.28568267822266,37200,400.17999267578125,82.0,,1.0,4.0,,,,,0,,
2021-06-11,118.86136041094834,118.86136041094834,118.47315346374438,118.82524108886719,52400,400.8413391113281,81.0,,1.0,4.0,,,,,0,,
2021-06-14,118.69887314786455,119.18638765847705,118.50929488578348,119.05999755859375,40700,401.73876953125,80.0,,1.0,4.0,,,,,0,,
2021-06-15,118.23844398090462,118.23844398090462,117.30857109527282,117.39884185791016,29500,401.00189208984375,81.0,,1.0,4.0,,,,,1,,
2021-06-16,116.45093447632553,116.81204511317173,115.34049929356615,115.55716705322266,22300,398.7629699707031,83.0,,1.0,4.0,,,,,1,,
2021-06-17,116.45092696571302,117.52523586246265,116.45092696571302,117.25440979003906,40100,398.6307678222656,84.0,,1.0,4.0,,,,,0,,
2021-06-18,117.33565394280784,117.40787881835803,116.72174938837442,116.98356628417969,15300,393.2530517578125,83.0,,1.0,4.0,,,,,0,,
2021-06-21,116.84309154371691,117.04246813745476,115.9730971604166,117.0152816772461,35900,398.88287353515625,81.0,,1.0,4.0,,,,,0,,
2021-06-22,116.19060400954726,116.34466522860916,116.00028495758164,116.27216339111328,19900,401.0153503417969,81.0,,1.0,4.0,,,,,0,,
2021-06-23,117.51373349654406,118.33842640423326,117.14216673659891,117.65873718261719,39700,400.5320129394531,81.0,,1.0,4.0,,,,,0,,
2021-06-24,118.24778260086134,119.07247541758854,118.22059614126032,118.88215637207031,23500,402.90142822265625,81.0,,1.0,4.0,,,,,0,,
2021-06-25,120.45904866234356,121.00280554931874,120.25061451460498,120.87593078613281,31200,404.33258056640625,83.0,,1.0,4.0,,,,,0,,
2021-06-28,121.13874934922798,121.8184386082724,121.06624750219896,121.41968536376953,19100,405.1476745605469,82.0,,1.0,4.0,,,,,0,,
2021-06-29,120.1781019389622,121.2021713256836,119.76121985241298,121.2021713256836,34300,405.36572265625,81.0,,1.0,4.0,,,,,0,,
2021-06-30,120.08747630909318,120.37748365615312,119.89717108735758,120.2596664428711,14900,405.7068786621094,80.0,,1.0,4.0,,,,,0,,
2021-07-01,120.2415322956661,120.31403412927699,118.5740316075479,119.06341552734375,14400,407.953125,80.0,,1.0,4.0,,,,,0,,
2021-07-02,117.46841691943108,117.4865458370837,116.97904676931037,117.37779998779297,25900,411.07135009765625,81.0,,1.0,4.0,,,,,1,,
2021-07-06,115.4202863667287,115.4202863667287,114.06997245892462,114.477783203125,57700,410.3224792480469,87.0,,4.0,4.0,,,,,1,,
2021-07-07,115.3659033527746,115.59246639399045,114.17870831517791,114.27839660644531,420900,411.77264404296875,86.0,,4.0,4.0,,,,,0,,
2021-07-08,111.26964410268812,111.8496449580402,110.63527032782041,111.43276977539062,285600,408.41748046875,91.0,,4.0,4.0,,,,,1,,
2021-07-09,113.10933829099079,114.48684554858706,112.90996169469481,113.97933959960938,48200,412.7772216796875,95.0,,4.0,4.0,,,,,0,,
2021-07-12,113.59870940886016,114.12433733279022,113.33589544689514,113.67121124267578,111100,414.2558898925781,94.0,,4.0,4.0,,,,,0,,
2021-07-13,114.8674750785538,115.70122550651152,114.69528493493962,115.03966522216797,42700,412.8436584472656,94.0,,4.0,4.0,,,,,0,,
2021-07-14,115.73747744566033,115.83716574924533,114.5231027134884,114.73153686523438,35400,413.459716796875,93.0,,4.0,4.0,,,,,0,,
2021-07-15,115.63779375623821,116.08185545364545,115.09404375126823,115.64685821533203,27400,412.04754638671875,92.0,,4.0,4.0,,,,,0,,
2021-07-16,115.58341396038102,115.69216672057397,114.24215757462557,114.38716125488281,19400,408.8155517578125,92.0,,4.0,4.0,,,,,0,,
2021-07-19,112.88277331577466,113.28152650159006,111.96746355983389,112.8193359375,45200,402.7782287597656,92.0,,4.0,4.0,,,,,1,,
2021-07-20,112.14871050363563,113.0368407078323,111.91308299408867,112.82839965820312,49000,408.5502624511719,91.0,,4.0,4.0,,,,,0,,
2021-07-21,112.44777507782054,113.73465154748638,112.44777507782054,113.64402770996094,45100,411.8580017089844,90.0,,4.0,4.0,,,,,0,,
2021-07-22,113.86152722662746,114.18777857569046,113.41746557924114,113.85246276855469,10400,412.7203674316406,89.0,,4.0,4.0,,,,,0,,
2021-07-23,110.96153269194882,110.96153269194882,109.29402488160773,110.07340240478516,71900,416.96649169921875,99.0,,4.0,4.0,,,,,1,,
2021-07-26,105.46059291931476,106.14028221056392,104.11933634235403,104.21902465820312,313000,417.9901123046875,122.0,,4.0,4.0,,,,,1,,
2021-07-27,99.79649841093969,100.34931282633445,97.81180380766484,100.04118347167969,215300,416.0850830078125,133.0,,4.0,4.0,,,,,1,,
2021-07-28,103.05900691518652,106.10401502651435,103.05900691518652,105.85026550292969,330900,415.9144287109375,152.0,,4.0,4.0,,,,,0,,
2021-07-29,106.49371365500072,106.49371365500072,104.66308006924055,105.46058654785156,472100,417.639404296875,150.0,,4.0,4.0,,,,,0,,
2021-07-30,103.86557062823924,105.18869807975207,103.7477603251727,104.88963317871094,252200,415.6112060546875,148.0,,4.0,4.0,,,,,0,,
2021-08-02,105.93181689755441,106.80181816172744,105.63275201838873,106.29431915283203,35000,414.7391662597656,147.0,,4.0,4.0,,,,,0,,
2021-08-03,105.07088763299502,105.11619609680976,104.35494752882532,105.043701171875,112400,418.1133117675781,145.0,,4.0,4.0,,,,,1,,
2021-08-04,106.08587465227392,107.17338138267174,105.96806436166345,106.54806518554688,66000,416.0566711425781,144.0,,4.0,4.0,,,,,0,,
2021-08-05,105.2974441659013,105.85025855491942,105.03463020110945,105.4696273803711,34500,418.69146728515625,143.0,,4.0,4.0,,,,,1,,
2021-08-06,105.24307121419703,105.324637511989,103.93807267692924,104.22807312011719,57200,419.3832702636719,142.0,,4.0,4.0,,,,,0,,
2021-08-09,105.27026522851163,106.34870071001713,105.27026522851163,105.98619842529297,33000,419.0421447753906,142.0,,4.0,4.0,,,,,0,,
2021-08-10,107.48151313873004,107.48151313873004,106.59338982489734,106.75651550292969,13900,419.5633850097656,140.0,,4.0,4.0,,,,,0,,
2021-08-11,107.93464286352994,107.93464286352994,106.76557661756081,107.23683166503906,15700,420.6059875488281,138.0,,4.0,4.0,,,,,0,,
2021-08-12,106.13120279421311,106.13120279421311,105.37901175850196,105.61463928222656,69200,421.8664855957031,137.0,,4.0,4.0,,,,,1,,
2021-08-13,105.52401748286823,105.52401748286823,104.93495211922526,105.36994934082031,23300,422.63421630859375,135.0,,4.0,4.0,,,,,0,,
2021-08-16,103.8655679537443,103.90181887240578,102.97743773192761,103.36712646484375,47600,423.6293640136719,136.0,,4.0,4.0,,,,,1,,
2021-08-17,100.49431683932093,101.23744344761185,99.74212577208019,100.4852523803711,234000,420.8524169921875,139.0,,4.0,4.0,,,,,1,,
2021-08-18,101.39150398509746,102.02588473827424,101.07431706558721,101.22837829589844,47800,416.24615478515625,138.0,,4.0,4.0,,,,,0,,
2021-08-19,99.36149680337249,99.83275184846096,98.60024822706099,98.83586883544922,118200,416.8905944824219,139.0,,4.0,4.0,,,,,1,,
2021-08-20,98.13806534952548,99.32525368571615,97.85712934060255,98.3193130493164,47400,420.2078857421875,138.0,,4.0,4.0,,,,,0,,
2021-08-23,99.47024129359136,100.48523931095666,98.96273537075328,100.46711730957031,43700,423.90423583984375,139.0,,4.0,4.0,,,,,0,,
2021-08-24,103.14057283309154,104.57245313735405,103.14057283309154,104.52713775634766,64200,424.5771789550781,147.0,,4.0,4.0,,,,,0,,
2021-08-25,103.82025554953219,103.95619476986609,103.19494619864582,103.71150970458984,371200,425.46807861328125,145.0,,4.0,4.0,,,,,0,,
2021-08-26,102.74182004789175,103.1405663361737,102.053066402087,102.08931732177734,40500,422.95648193359375,145.0,,4.0,4.0,,,,,1,,
2021-08-27,102.34305791427168,102.46993266503794,101.93524720311662,102.32493591308594,19600,426.73809814453125,142.0,,4.0,4.0,,,,,0,,
2021-08-30,102.14368359338638,102.87774565539037,101.2827467778053,102.6693115234375,77600,428.61468505859375,140.0,,4.0,4.0,,,,,0,,
2021-08-31,104.55432834777427,104.86245080510784,104.08307328882667,104.78089141845703,45800,427.9797668457031,141.0,,4.0,4.0,,,,,0,,
2021-09-01,105.68714270729237,107.42714541437523,105.68714270729237,107.0737075805664,68400,428.2071228027344,142.0,,1.0,4.0,,,,,0,,
2021-09-02,107.22776123523481,107.79869763856976,106.33963102700255,106.55713653564453,61900,429.5245666503906,140.0,,1.0,4.0,,,,,0,,
2021-09-03,106.0949557376792,106.81089587933877,106.00433189114833,106.1674575805664,917200,429.42034912109375,138.0,,1.0,4.0,,,,,0,,
2021-09-07,108.3877684387784,109.42089545752413,108.3877684387784,109.08558654785156,41800,427.8848876953125,141.0,,1.0,4.0,,,,,0,,
2021-09-08,108.65057204226811,108.65057204226811,107.20963441163664,107.56307220458984,19200,427.3636779785156,140.0,,1.0,4.0,,,,,0,,
2021-09-09,106.11306524962083,107.14619910375168,106.11306524962083,106.80181884765625,28200,425.534423828125,138.0,,1.0,4.0,,,,,1,,
2021-09-10,107.70807795131137,108.05245822952197,106.2580757419286,106.43932342529297,24100,422.1792907714844,136.0,,1.0,4.0,,,,,0,,
2021-09-13,105.97714439829805,106.60245377319123,105.29745518469,106.10401916503906,50700,423.2597351074219,135.0,,1.0,4.0,,,,,0,,
2021-09-14,104.57245517249297,104.82620471709173,103.76589115680838,103.91995239257812,54700,420.9756164550781,136.0,,1.0,4.0,,,,,1,,
2021-09-15,102.83243506490619,103.1133710257014,101.96243380946959,103.05899810791016,93300,424.4919128417969,134.0,,1.0,4.0,,,,,1,,
2021-09-16,101.0924371907451,101.57274975767871,100.6030601657121,101.31900024414062,45200,423.8189697265625,134.0,,4.0,4.0,,-0.00028586177875732614,,,1,,
2021-09-17,102.30681799681447,102.62400490783108,101.7993189391879,102.21619415283203,72200,419.6904602050781,133.0,,4.0,4.0,,-0.0002613471587818268,,,0,,
2021-09-20,99.1258708174899,99.27087449950528,97.11399658569717,97.93868255615234,473900,412.6925354003906,143.0,,4.0,4.0,,-0.00028310036275650826,,,1,,
2021-09-21,99.1440017643358,99.38868684005043,98.64556023989974,99.3161849975586,66300,412.3027038574219,142.0,,4.0,4.0,,-0.00029191258583703645,,,0,,
2021-09-22,100.61212646049725,102.06213565966917,100.39462784628398,101.22837829589844,116800,416.3245849609375,142.0,,4.0,4.0,,-0.00031303449616107816,,,0,,
2021-09-23,100.70275997808,101.11057075516436,100.40369505400133,100.98369598388672,54900,421.3829650878906,140.0,,4.0,4.0,,-0.00030977949754639074,-0.00028586177875732614,,0,,
2021-09-24,99.37962471253736,99.63337423540106,98.88118321108657,99.14399719238281,40900,422.07708740234375,141.0,,4.0,4.0,,-0.0003239841052399007,-0.0002613471587818268,,1,,
2021-09-27,99.20743410300287,100.33118494785546,98.6636841402778,100.10462188720703,83700,420.8695373535156,139.0,,4.0,4.0,,-0.0003216363060921525,-0.00028310036275650826,,0,,
