Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2021-01-12,35.39602465015213,35.566198140342685,35.292032945204795,35.51892852783203,34700,357.724853515625,,,,,,,,,0,,
2021-01-13,35.5094845014438,35.5094845014438,35.40548916529864,35.4527587890625,34500,358.688232421875,15.0,,,3.0,,,,,0,,
2021-01-14,35.49057339970444,35.56620407104492,35.36766950153017,35.56620407104492,19100,357.4321594238281,15.0,,,1.0,,,,,0,,
2021-01-15,35.47166224772577,35.47166224772577,35.235310556528056,35.33930587768555,59800,354.82550048828125,17.0,,,1.0,,,,,0,,
2021-01-19,35.44331129227427,35.44331129227427,35.35822451495473,35.39603805541992,32800,357.611572265625,17.0,,,1.0,,,,,0,,
2021-01-20,35.292050656391666,35.433859565089904,35.28259456527987,35.40549850463867,97700,362.5604248046875,17.0,,,1.0,,,,,0,,
2021-01-21,35.500028807107626,35.547298431396484,35.45275918281877,35.547298431396484,24200,362.8909606933594,18.0,,,1.0,,,,,0,,
2021-01-22,35.547298977050346,35.56620754834437,35.47166829831547,35.55675506591797,18000,361.6065368652344,17.0,,,1.0,,,,,0,,
2021-01-25,35.5189510821197,35.55676823871796,35.3771385480975,35.509498596191406,24300,363.0326232910156,17.0,,,1.0,,,,,0,,
2021-01-26,35.60401827858192,35.632379327194464,35.500022958415144,35.58510971069336,17200,362.46600341796875,17.0,,,1.0,,,,,0,,
2021-01-27,35.3676710824976,35.443305363659874,35.34876251220703,35.34876251220703,27500,353.6072082519531,19.0,,,1.0,,,,,1,,
2021-01-28,35.34876305821666,35.4243973405472,35.29204095290983,35.358219146728516,19800,356.6482849121094,19.0,,,1.0,,,,,0,,
2021-01-29,35.310951777350425,35.4433117933957,35.28259071999013,35.32040786743164,21900,349.5082092285156,19.0,,,1.0,,,,,0,,
2021-02-01,35.4442906532487,35.4442906532487,35.13221632695136,35.151126861572266,101700,355.3260498046875,20.0,,,1.0,,,,,0,,
2021-02-02,35.05655533325558,35.08492473910961,34.99035764792733,35.04710006713867,30400,360.350341796875,20.0,,4.0,1.0,,,,,1,,
2021-02-03,35.14166715832094,35.14166715832094,34.99981291404425,35.04710006713867,93300,360.6337585449219,19.0,,4.0,1.0,,,,,0,,
2021-02-04,34.99036101507746,34.99036101507746,34.83905149012322,34.89579391479492,31600,364.7325744628906,20.0,,4.0,1.0,,,,,1,,
2021-02-05,35.0471017633447,35.21732542171389,34.94307579350759,35.1322135925293,229300,366.16815185546875,22.0,,4.0,1.0,,,,,0,,
2021-02-08,35.103843310012515,35.151126861572266,35.04710449114231,35.151126861572266,56100,368.81256103515625,21.0,,4.0,1.0,,,,,0,,
2021-02-09,35.264612851056754,35.34972468960934,35.170042137385074,35.330810546875,24100,368.5670166015625,22.0,,4.0,1.0,,,,,0,,
2021-02-10,35.415921890627246,35.415921890627246,35.283526500840466,35.30244064331055,15900,368.4065246582031,22.0,,4.0,1.0,,,,,0,,
2021-02-11,35.32134578501599,35.69016609561128,35.27406223981247,35.29297637939453,44200,369.00152587890625,22.0,,4.0,1.0,,,,,0,,
2021-02-12,35.236227209041175,35.35916728901641,35.19840254462789,35.27405548095703,85000,370.82427978515625,21.0,,4.0,1.0,,,,,0,,
2021-02-16,35.1889520774846,35.1889520774846,35.03764256118475,35.056556701660156,119300,370.503173828125,23.0,,4.0,1.0,,,,,1,,
2021-02-17,35.00928418033679,35.00928418033679,34.867429885846164,34.90525817871094,24400,370.5881652832031,23.0,,4.0,1.0,,,,,1,,
2021-02-18,35.084911701849094,35.084911701849094,34.952516380389596,35.037628173828125,40800,369.0109558105469,23.0,,4.0,1.0,,,,,0,,
2021-02-19,35.07547623351551,35.11330452028084,34.98090912410617,35.06602096557617,174400,368.3592834472656,23.0,,4.0,1.0,,,,,0,,
2021-02-22,35.2173416862814,35.226796957222696,35.11331566840153,35.188968658447266,34900,365.5259704589844,23.0,,4.0,1.0,,,,,0,,
2021-02-23,35.188951701746404,35.188951701746404,35.05655632733565,35.10383987426758,26200,365.96990966796875,23.0,,4.0,1.0,,,,,0,,
2021-02-24,35.141674358168174,35.21733093261719,35.01873422844054,35.21733093261719,44500,370.0025329589844,23.0,,1.0,1.0,,,,,0,,
2021-02-25,35.179495479158405,35.245693164564486,34.92416000366211,34.92416000366211,63800,361.08709716796875,25.0,,1.0,1.0,,,,,0,,
2021-02-26,34.98091603671047,35.04711374787919,34.79177817301213,34.83906173706055,26300,359.22650146484375,25.0,,4.0,1.0,,,,,0,,
2021-03-01,34.90527417609571,34.90527417609571,34.73500426433066,34.80121994018555,116800,367.93426513671875,25.0,,4.0,1.0,,,,,0,,
2021-03-02,34.90528671566415,35.06609524094327,34.810690281542605,35.018798828125,39800,365.0632019042969,26.0,,4.0,1.0,,,,,0,,
2021-03-03,34.9336535832854,34.97149214582261,34.7633836603519,34.943111419677734,39400,360.22772216796875,26.0,,4.0,1.0,,,,,0,,
2021-03-04,34.94310718948152,34.94310718948152,34.56473243536712,34.62148666381836,14000,355.76995849609375,28.0,,4.0,1.0,,,,,0,,
2021-03-05,34.574190165627215,34.574190165627215,34.25256964094068,34.46067810058594,34600,362.3148498535156,29.0,,4.0,1.0,,,,,0,,
2021-03-08,34.27149112529959,34.27149112529959,34.110682656849725,34.14851760864258,70000,360.510986328125,31.0,,4.0,1.0,,,,,0,,
2021-03-09,34.42282554982918,34.42282554982918,34.24309788586634,34.31877136230469,12800,365.6581726074219,31.0,,4.0,1.0,,,,,0,,
2021-03-10,34.29985682319325,34.48904595311328,34.22418333631475,34.441749572753906,47100,367.93426513671875,31.0,,4.0,1.0,,,,,0,,
2021-03-11,34.555266762836226,34.60256675873511,34.41337760058873,34.59310531616211,35800,371.66485595703125,31.0,,4.0,1.0,,,,,0,,
2021-03-12,34.48904250429607,34.60255813598633,34.32823410545812,34.60255813598633,58500,372.1653137207031,31.0,,4.0,1.0,,,,,0,,
2021-03-15,34.54581583376004,34.54581583376004,34.328249521373635,34.40392303466797,26600,374.384765625,31.0,,4.0,1.0,,,,,0,,
2021-03-16,34.394462428604896,34.46067810058594,34.28095036356361,34.46067810058594,33800,373.91253662109375,31.0,,4.0,1.0,,,,,0,,
2021-03-17,34.42283029891365,34.61201942883368,34.243102610155006,34.441749572753906,445700,375.18756103515625,30.0,,4.0,1.0,,,,,0,,
2021-03-18,34.25256171115103,34.33769664234333,34.16742677995874,34.29985809326172,39400,369.7287292480469,30.0,,4.0,1.0,,,,,0,,
2021-03-19,34.29039651849304,34.36607360839844,34.18634232411424,34.36607360839844,28000,369.0446472167969,30.0,,4.0,1.0,,,,,0,,
2021-03-22,34.05391102526205,34.46066636229793,34.05391102526205,34.36607360839844,16100,371.99139404296875,30.0,,4.0,1.0,,,,,0,,
2021-03-23,34.309317482091906,34.32823675550079,34.21472111504745,34.252559661865234,29700,369.0635681152344,30.0,,4.0,1.0,,,,,0,,
2021-03-24,34.14850559975849,34.186344146728516,34.03499356733085,34.186344146728516,46700,367.18743896484375,29.0,,4.0,1.0,,,,,1,,
2021-03-25,34.29986561556359,34.29986561556359,34.08229932335385,34.13905715942383,29200,369.25311279296875,29.0,,4.0,1.0,,,,,0,,
2021-03-26,34.13905292203864,34.13905292203864,34.0255408724714,34.11067581176758,31900,375.2035827636719,28.0,,4.0,1.0,,,,,0,,
2021-03-29,34.224179701236395,34.224179701236395,33.91201712875192,34.01607131958008,189200,375.0140380859375,28.0,,4.0,1.0,,,,,0,,
2021-03-30,33.83634948730469,33.83634948730469,33.68499889502991,33.83634948730469,98800,374.0191650390625,29.0,,4.0,1.0,,,,,1,,
2021-03-31,33.90256620152038,33.96878186217218,33.817431265184794,33.89310836791992,68800,375.53521728515625,28.0,,4.0,1.0,,,,,0,,
2021-04-01,34.121154120199044,34.25362612710436,33.9508319371518,34.149539947509766,21300,379.5906066894531,30.0,,4.0,1.0,,,,,0,,
2021-04-05,34.27254448961745,34.29146957397461,34.08329725563664,34.29146957397461,49800,385.0389099121094,30.0,,4.0,1.0,,,,,0,,
