Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2022-08-08,90.831530319282,91.04113967735454,90.75292930876529,90.99747467041016,6681300,391.48114013671875,,,,,,,,,0,,
2022-08-09,90.7441940508307,90.90140273593367,90.6393860396416,90.72672271728516,3814700,389.9266357421875,24.0,,,3.0,,,,,0,,
2022-08-10,91.13720374213027,91.45162108235705,90.77038573298594,90.77912139892578,7260300,398.11663818359375,23.0,,,1.0,,,,,0,,
2022-08-11,90.98874220043561,91.08481454779451,90.08042606572704,90.17649841308594,8309300,398.11663818359375,25.0,,,1.0,,,,,0,,
2022-08-12,90.52581786406627,90.5694828561769,90.23760093002785,90.53455352783203,4128600,404.85638427734375,25.0,,,1.0,,,,,0,,
2022-08-15,90.98000073311813,91.11974474340796,90.7878560506502,90.82279205322266,3441100,406.5246276855469,25.0,,,1.0,,,,,0,,
2022-08-16,90.64810743469364,90.75291542938169,90.29875411576052,90.71797943115234,3241800,407.32098388671875,25.0,,,1.0,,,,,1,,
2022-08-17,90.22887818657831,90.27254984830161,89.92319654459541,90.10660552978516,6366700,404.4297180175781,26.0,,,1.0,,,,,1,,
2022-08-18,90.35114584376531,90.59569780717932,90.20267286349798,90.28128051757812,3709200,405.6051940917969,26.0,,,1.0,,,,,0,,
2022-08-19,89.6262781265193,89.68741447371448,89.39919740978196,89.5040054321289,6678000,400.1546936035156,28.0,,,1.0,,,,,1,,
2022-08-22,89.43409194741722,89.47775693895979,89.06727403433634,89.1109390258789,4125800,391.8224792480469,28.0,,,1.0,,,,,0,,
2022-08-23,88.96248063652514,89.51270759629766,88.83147231371451,88.89260864257812,7755000,390.87451171875,28.0,,,1.0,,,,,0,,
2022-08-24,88.68301691489387,88.77035359297133,88.46467188801951,88.5956802368164,3504600,392.125732421875,28.0,,,1.0,,,,,1,,
2022-08-25,88.66554185130101,89.19830422753125,88.5520048409127,89.16336822509766,6645300,397.66168212890625,29.0,,,1.0,,,,,0,,
2022-08-26,88.9624832743416,89.28563625840823,88.75287394964555,89.05855560302734,5535900,384.2011413574219,28.0,,4.0,1.0,,,,,0,,
2022-08-29,88.71794629343262,88.71794629343262,88.42972928027547,88.552001953125,4416900,381.66070556640625,29.0,,4.0,1.0,,,,,1,,
2022-08-30,88.55197242111926,88.84018933815632,88.22881951443904,88.52577209472656,4474200,377.4709167480469,29.0,,4.0,1.0,,,,,0,,
2022-08-31,88.39479099668901,88.59567133310432,88.0105016557349,88.15898132324219,5797600,374.5987548828125,29.0,,4.0,1.0,,,,,0,,
2022-09-01,87.57188382469049,87.76436980776181,87.25691465035214,87.45814514160156,10324200,375.774169921875,30.0,,4.0,1.0,,,,,1,,
2022-09-02,87.8081421517345,88.18436303348557,87.68565225304334,87.94812774658203,5741900,371.8117980957031,31.0,,4.0,1.0,,,,,0,,
2022-09-06,87.41443299704976,87.44067988111263,86.92446668547844,86.96821594238281,6769400,370.40899658203125,34.0,,4.0,1.0,,,,,1,,
2022-09-07,87.30943453067903,87.64190617127174,87.2656852759067,87.53691864013672,7169700,377.06329345703125,35.0,,4.0,1.0,,,,,0,,
2022-09-08,87.52817176007969,87.72065781022867,87.21319580078125,87.21319580078125,5773600,379.52801513671875,35.0,,4.0,1.0,,,,,0,,
2022-09-09,87.40563570666606,87.5718681097812,87.11690678387194,87.2219009399414,5780600,385.4239807128906,34.0,,4.0,1.0,,,,,0,,
2022-09-12,87.46692348525734,87.53691962359981,86.8544672875595,87.01195526123047,4034200,389.56640625,34.0,,4.0,1.0,,,,,0,,
2022-09-13,86.40825682615633,86.57448931053092,86.31201380484512,86.5219955444336,5100500,372.6271057128906,34.0,,4.0,1.0,,,,,1,,
2022-09-14,86.39073692373908,86.77570893086607,86.34699435260053,86.56572723388672,3866600,374.0489196777344,34.0,,4.0,1.0,,,,,0,,
2022-09-15,86.32951735765548,86.43451157460358,86.18078055671214,86.26827239990234,4622600,369.8022766113281,33.0,,4.0,1.0,,,,,0,,
2022-09-16,86.198279799706,86.60949882232887,86.1370348394345,86.33827209472656,4718200,366.9811706542969,33.0,,4.0,1.0,,,,,0,,
2022-09-19,86.01452203434653,86.27700418007554,85.95327709036953,86.09326934814453,3879000,369.8270263671875,33.0,,4.0,1.0,,,,,0,,
2022-09-20,85.48078487785105,85.77826498934498,85.34079934170971,85.55953216552734,4869100,365.5818786621094,33.0,,4.0,1.0,,,,,1,,
