Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2021-01-15,38.99942690958172,39.37528021852465,38.94573211669922,38.94573211669922,72400,354.82550048828125,,,,,,,,,0,,
2021-01-19,39.51846598217598,39.51846598217598,39.044173889725585,39.17840576171875,68100,357.611572265625,47.0,,,3.0,,,,,0,,
2021-01-20,39.72429410887916,39.96591559437612,39.67955014795277,39.83168029785156,90300,362.5604248046875,52.0,,,1.0,,,,,0,,
2021-01-21,39.760086941920704,39.831676589989684,39.27684401591103,39.81378173828125,41200,362.8909606933594,51.0,,,1.0,,,,,0,,
2021-01-22,39.19630294941708,39.4200261436646,38.93678322479115,39.24104690551758,93100,361.60650634765625,54.0,,,1.0,,,,,0,,
2021-01-25,38.936785011160815,38.936785011160815,38.49828944201527,38.65937042236328,51300,363.0325927734375,57.0,,,1.0,,,,,0,,
2021-01-26,38.525135718698245,38.7399115003361,38.50723745241632,38.695167541503906,53100,362.4659729003906,56.0,,,1.0,,,,,0,,
2021-01-27,38.077690143696344,38.20297459669104,37.827121237706955,37.925559997558594,147100,353.6070861816406,62.0,,,1.0,,,,,1,,
2021-01-28,38.17612603618303,38.52513367581049,37.79132186588991,38.417747497558594,34700,356.64825439453125,63.0,,,1.0,,,,,0,,
2021-01-29,37.63919353087461,37.63919353087461,37.20069454361644,37.29913330078125,69800,349.50830078125,74.0,,,1.0,,,,,1,,
2021-02-01,38.91889053238411,39.15156116526119,38.69516732572548,38.9636344909668,156800,355.3260192871094,94.0,,,4.0,,,,,0,,
2021-02-02,39.86747614925537,40.05540283017469,39.68849689486992,39.894325256347656,104800,360.3504638671875,98.0,,,4.0,,,,,0,,
2021-02-03,40.17173629893062,40.43125602411242,40.091195812279196,40.21648025512695,115600,360.6337585449219,97.0,,,4.0,,,,,0,,
2021-02-04,40.33282206120437,40.431260824771584,40.12699710726629,40.404415130615234,55500,364.73260498046875,96.0,,,4.0,,,,,0,,
2021-02-05,40.807111701914,40.807111701914,40.4939005767631,40.6639289855957,143900,366.1681823730469,95.0,,1.0,4.0,,,,,0,,
