Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2021-03-08,140.13464321091467,142.21435005980402,139.22421050521453,140.49166870117188,6546700,360.5110168457031,,,,,,,,,0,,
2021-03-09,140.03645971700143,143.4818088283659,140.03645971700143,140.7594451904297,7461300,365.658203125,15.0,,,3.0,,,,,0,,
2021-03-10,141.7591418784377,142.7231134353214,140.45597294914745,142.05368041992188,6635600,367.93426513671875,19.0,,,1.0,,,,,0,,
2021-03-11,142.4017795081297,143.37469913696094,141.84838592853043,142.0447540283203,6305600,371.6647644042969,19.0,,,1.0,,,,,0,,
2021-03-12,142.16972148920917,143.08907508482142,142.089392795142,142.45535278320312,5474800,372.16534423828125,19.0,,,1.0,,,,,0,,
2021-03-15,142.589215478321,143.40146404334496,141.47349391745777,143.18724060058594,5524100,374.3847351074219,20.0,,,1.0,,,,,0,,
2021-03-16,143.22295181935627,144.31188353649802,143.02658373438447,144.03518676757812,6369100,373.91259765625,21.0,,,1.0,,,,,0,,
2021-03-17,143.55317097502152,144.35648488553315,142.3928180667807,143.49961853027344,6001400,375.1875,22.0,,,1.0,,,,,0,,
2021-03-18,142.999822610472,144.14232052390122,142.77667827394833,143.2318878173828,4801800,369.72869873046875,22.0,,,1.0,,,,,0,,
2021-03-19,143.42825166683886,144.1512371165769,142.33930624734603,142.8480682373047,14891500,369.0445861816406,22.0,,,1.0,,,,,0,,
2021-03-22,141.30392038492585,143.3925481489932,141.02722358109423,143.2586669921875,7544100,371.99139404296875,22.0,,,1.0,,,,,0,,
2021-03-23,142.99982609024505,143.88346896780578,141.81269655669348,143.12478637695312,7178300,369.0635070800781,21.0,,,1.0,,,,,0,,
2021-03-24,142.9015886261153,145.0259127061951,142.65166814610592,144.51715087890625,6370100,367.1874084472656,25.0,,,1.0,,,,,0,,
2021-03-25,144.99026745050958,144.9991883209688,143.38362549062512,144.5707550048828,6269800,369.2530517578125,24.0,,,1.0,,,,,0,,
2021-03-26,144.6778372780883,147.36450340749428,144.04411508345947,147.21275329589844,7619200,375.20361328125,34.0,,1.0,1.0,,,,,0,,
2021-03-29,146.23093361796276,149.0871781158334,146.05242089052987,148.20352172851562,8535100,375.01409912109375,35.0,,1.0,1.0,,,,,0,,
2021-03-30,147.29311417733712,147.8643631212971,146.58797046266284,147.2841796875,7236300,374.0191345214844,36.0,,1.0,1.0,,,,,0,,
2021-03-31,147.23957162734757,147.62337336600018,146.11491540410492,146.69509887695312,8281500,375.5351867675781,36.0,,1.0,1.0,,,,,0,,
2021-04-01,145.1330594443675,146.23984646552793,144.8295728427663,145.33834838867188,7229700,379.59063720703125,37.0,,1.0,1.0,,,,,0,,
2021-04-05,146.06133331413523,147.05209455669308,145.1866114665405,145.87388610839844,7387100,385.0389404296875,37.0,,1.0,1.0,,,,,0,,
2021-04-06,146.45406095695103,146.84679708357095,145.49007599696935,145.8381805419922,5074200,384.8115539550781,36.0,,1.0,1.0,,,,,0,,
2021-04-07,145.98102395575924,146.63260158829377,145.77573498489338,146.03457641601562,4608000,385.25689697265625,36.0,,1.0,1.0,,,,,0,,
