Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2022-07-18,104.1678384958555,105.13899436116151,101.00931585478635,101.46312713623047,13977900,362.0577697753906,,,,,,,,,0,,
2022-07-19,102.67932586933533,104.32212722206869,102.26182037087447,103.97722625732422,11862300,371.8403015136719,194.0,,,3.0,,,,,0,,
2022-07-20,103.55972743519882,104.140605290037,102.99700590841762,103.9590835571289,11667500,374.21002197265625,191.0,,,3.0,,,,,0,,
2022-07-21,103.86833256865957,104.85763787893,102.89717666356188,104.66703796386719,11595900,378.020751953125,189.0,,,3.0,,,,,0,,
2022-07-22,104.59441499315257,105.51111565732424,103.16944794470042,104.15876007080078,7645500,374.51336669921875,186.0,,,3.0,,,,,0,,
2022-07-25,105.13896959362522,105.70169794291411,104.16781395709388,104.57624816894531,9394000,374.9684143066406,183.0,,,3.0,,,,,0,,
2022-07-26,103.99539616860788,104.90301874241396,102.58857840936416,102.94255065917969,10675100,370.5321350097656,182.0,,,3.0,,,,,0,,
2022-07-27,103.4780419729543,105.04822500210126,102.83363083632409,104.59441375732422,9337400,380.1535339355469,181.0,,,3.0,,,,,0,,
2022-07-28,104.60349583569682,105.26606332469507,103.04238398730452,104.20413970947266,10384800,384.92156982421875,178.0,,,3.0,,,,,0,,
2022-07-29,104.91208793316274,105.73802778300616,104.18599404306724,104.70333862304688,12944500,390.5332946777344,175.0,,,3.0,,,,,0,,
2022-08-01,103.92276485492427,104.47641507318562,102.62486454525394,103.65955352783203,14740400,389.37677001953125,173.0,,,3.0,,,,,0,,
2022-08-02,103.39635431452609,103.83201616462607,101.89877579335833,102.04399871826172,14942900,386.8079833984375,172.0,,,3.0,,,,,0,,
2022-08-03,102.96976731414584,103.55972330950938,101.39050614200849,103.114990234375,14394500,392.86517333984375,170.0,,,3.0,,,,,0,,
2022-08-04,102.42518652863971,102.85177016488359,100.76423587354057,101.98045349121094,18033900,392.5997619628906,168.0,,,3.0,,,,,0,,
2022-08-05,102.13477445005559,105.45667663232676,101.69911946115488,105.06639862060547,14174600,391.9361267089844,171.0,,,3.0,,,,,0,,
2022-08-08,105.51112832441613,105.91955572873077,103.63234980026904,103.7866439819336,10332500,391.4811706542969,169.0,,,3.0,,,,,0,,
2022-08-09,104.14968923011551,105.27513927070466,103.80479514861854,104.72148895263672,10233800,389.92669677734375,167.0,,,3.0,,,,,0,,
