Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2021-09-07,190.54931843022533,191.97589880438753,189.81751150523576,190.03982543945312,2591900,426.6236877441406,,,,,,,,,0,,
2021-09-08,189.2987660539647,189.36360290849697,186.65867492341445,189.0579071044922,3344800,426.1039733886719,41.0,,,3.0,,,,,1,,
2021-09-09,189.40998185605844,189.64156837330455,187.5758205972465,188.05751037597656,2566100,424.2801818847656,41.0,,,1.0,,,,,0,,
2021-09-10,189.69711100394284,191.364536439787,189.12278107295296,189.28025817871094,2505600,420.9349060058594,41.0,,,1.0,,,,,0,,
2021-09-13,190.56786984641056,191.97591949953866,189.66931323897842,190.87356567382812,3159000,422.01214599609375,42.0,,,1.0,,,,,0,,
2021-09-14,191.3367419922676,192.13340000468506,188.9004478346006,189.1320343017578,2488600,419.73480224609375,44.0,,,1.0,,,,,0,,
2021-09-15,189.13203259998107,191.0217860705333,186.64015997420438,190.46597290039062,2956600,423.24066162109375,44.0,,,1.0,,,,,0,,
2021-09-16,190.51229994191598,193.91198767651855,190.51229994191598,193.1245880126953,3365500,422.56976318359375,47.0,,,1.0,,,,,0,,
2021-09-17,192.0870981864622,196.3668119841283,192.0870981864622,193.63409423828125,5835200,418.4533996582031,47.0,,,1.0,,,,,0,,
2021-09-20,191.3089638974166,193.10607724888757,188.0760115389,190.15103149414062,3640400,411.47607421875,52.0,,,1.0,,,,,0,,
2021-09-21,191.43865166357713,192.89300741119334,190.23439913780075,191.07737731933594,2681200,411.0873718261719,52.0,,,1.0,,,,,0,,
2021-09-22,192.726312959736,194.79206084813015,191.5035292974198,193.5044403076172,3169000,415.0973815917969,54.0,,,1.0,,,,,0,,
2021-09-23,194.53263006049002,196.0610950712846,192.48539949620468,192.66140747070312,3128800,420.140869140625,53.0,,,1.0,,,,,0,,
2021-09-24,192.74478975716337,193.4210182767736,191.65169429287505,192.55950927734375,2275800,420.83294677734375,53.0,,,1.0,,,,,0,,
2021-09-27,192.33720375486584,196.61691729001942,192.2167742646833,195.11624145507812,2886100,419.6290283203125,55.0,,1.0,1.0,,,,,0,,
2021-09-28,193.6988800331924,194.03236503080566,189.6136923461582,190.29917907714844,4030200,411.1727600097656,64.0,,1.0,1.0,,,,,0,,
2021-09-29,190.97545460529494,193.00415418040623,190.75312652346244,191.84622192382812,2678300,411.86474609375,64.0,,1.0,1.0,,,,,0,,
2021-09-30,191.68873829304738,192.17971459341132,187.37197741202672,187.91851806640625,3828600,406.830810546875,69.0,,1.0,1.0,,,,,0,,
2021-10-01,188.72442925835324,190.280697580399,186.96437786077743,188.69664001464844,3016400,411.6656188964844,68.0,,4.0,1.0,,,,,0,,
2021-10-04,187.89996477389553,189.52106980392404,186.7327742408441,189.44696044921875,5195600,406.35675048828125,67.0,,4.0,1.0,,,,,0,,
2021-10-05,190.70681528664446,192.44835000480688,189.12277180143576,189.22467041015625,3482800,410.58489990234375,66.0,,4.0,1.0,,,,,0,,
2021-10-06,187.95562298420597,190.07696352460806,187.03854936741146,188.974609375,3079600,412.2913513183594,65.0,,4.0,1.0,,,,,0,,
2021-10-07,190.75313471680116,194.1713531466275,190.47522813630258,192.58729553222656,3001100,415.85589599609375,69.0,,4.0,1.0,,,,,0,,
2021-10-08,190.4474247312202,192.45759336932787,189.3913911117785,190.97544860839844,3042000,415.0973815917969,69.0,,4.0,1.0,,,,,0,,
2021-10-11,192.78186034396052,196.14450073756902,192.53174297433304,193.4673614501953,3267900,412.09222412109375,71.0,,4.0,1.0,,,,,0,,
