Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2021-02-16,47.810684620154674,48.91276191277733,47.56758006236843,47.95573806762695,14520000,370.5031433105469,,,,,,,,,0,,
2021-02-17,47.29935772901978,47.76450007592708,46.27102191504547,47.47925567626953,14530000,370.58819580078125,79.0,,,3.0,,,,,0,,
2021-02-18,46.89013236373056,47.1899643531883,45.954178279559805,46.81963348388672,11371000,369.0108947753906,80.0,,,3.0,,,,,0,,
2021-02-19,48.16562390151985,48.78311196570597,47.704534162871305,48.49219512939453,16986000,368.3592529296875,92.0,,,3.0,,,,,0,,
2021-02-22,47.761254619456814,48.02380928424632,45.84153441726792,46.0117073059082,16155000,365.52593994140625,116.0,,,4.0,,,,,0,,
2021-02-23,45.10006502747332,46.09355634699702,43.46801884644941,45.59437942504883,17167000,365.9698486328125,115.0,,,4.0,,,,,0,,
2021-02-24,45.068464435310716,48.448435200261734,44.89342900952604,48.36983108520508,15170000,370.0025634765625,139.0,,,4.0,,,,,0,,
2021-02-25,47.810696560315336,48.01004154376117,44.134136043833685,44.37886047363281,26750000,361.0870361328125,180.0,,,4.0,,,,,0,,
2021-02-26,45.130863455051696,46.56761432233672,44.17788897703223,45.962284088134766,17836000,359.2265319824219,184.0,,,4.0,,,,,0,,
2021-03-01,46.72156918100908,48.661549184920204,46.64377807655044,48.524600982666016,17656000,367.9342041015625,195.0,,,4.0,,,,,0,,
2021-03-02,48.13564113331294,48.520556466611545,46.38447389719988,46.46226501464844,14636000,365.06317138671875,201.0,,,4.0,,,,,0,,
2021-03-03,46.25076479642667,47.12837471449474,44.57009645479938,44.66896057128906,16318000,360.2276611328125,206.0,,,4.0,,,,,0,,
2021-03-04,44.45259905621432,45.378021300974815,41.44376885764605,42.85215759277344,25420000,355.7698974609375,210.0,,,4.0,,,,,0,,
2021-03-05,43.97530727197843,44.57902086829202,41.835981567338415,44.38291549682617,22160000,362.3148498535156,213.0,,,4.0,,,,,0,,
2021-03-08,43.98664124600801,44.935562998921114,40.65286003004081,40.729034423828125,19138000,360.5109558105469,240.0,,4.0,4.0,,,,,0,,
2021-03-09,42.616340522149414,44.3099734929728,42.425097720568495,44.04336929321289,17266000,365.658203125,259.0,,4.0,4.0,,,,,0,,
2021-03-10,44.460698784285626,44.73054569369157,41.79302464648324,42.03288650512695,19725000,367.9342041015625,263.0,,4.0,4.0,,,,,0,,
2021-03-11,43.26219469161653,43.95504418566137,42.871603814902514,43.38536834716797,16127000,371.6648254394531,263.0,,4.0,4.0,,,,,0,,
2021-03-12,42.54341524226076,42.76626293955069,41.8789278610144,42.52882766723633,14337000,372.1653137207031,260.0,,4.0,4.0,,,,,1,,
2021-03-15,42.26788667191146,43.541756662452094,42.158490702353255,43.495567321777344,10670000,374.3847961425781,258.0,,4.0,4.0,,,,,0,,
2021-03-16,44.06906590426362,45.503618632682794,43.81237496328117,44.44841766357422,15265000,373.9125671386719,256.0,,4.0,4.0,,,,,0,,
2021-03-17,43.774196905461444,45.34197104109184,43.052858056850376,44.922000885009766,13585000,375.1875305175781,253.0,,4.0,4.0,,,,,0,,
2021-03-18,44.03819968954778,45.150262684338486,43.32335893418928,43.797752380371094,25177000,369.7286682128906,251.0,,4.0,4.0,,,,,0,,
2021-03-19,44.02277117178693,44.757918125181284,43.26406443805765,44.052825927734375,23792000,369.0445861816406,248.0,,4.0,4.0,,,,,0,,
2021-03-22,45.002419532717646,46.10635756480691,44.68074167127324,45.492244720458984,14442000,371.9914245605469,248.0,,4.0,4.0,,,,,0,,
2021-03-23,45.840726819696364,45.862659751841356,44.15273080500275,44.22340393066406,14295000,369.0635070800781,247.0,,4.0,4.0,,,,,0,,
2021-03-24,46.35656003302916,46.769217173996175,44.80990375288227,44.87651443481445,19697000,367.1874084472656,245.0,,4.0,4.0,,,,,0,,
2021-03-25,44.260781041878985,44.80828333113034,42.648328930914964,44.51747512817383,14463000,369.2530822753906,241.0,,4.0,4.0,,,,,1,,
2021-03-26,44.65475124682403,47.50192709032586,44.60032484268906,47.45806121826172,18716000,375.2035827636719,253.0,,1.0,4.0,,,,,0,,
2021-03-29,47.30453608112813,47.31915597336695,45.46950719906965,46.32569122314453,17598000,375.0140380859375,251.0,,1.0,4.0,,,,,0,,
2021-03-30,45.89597314787875,46.858571222370145,45.66202699514979,46.51008605957031,9049000,374.01910400390625,248.0,,1.0,4.0,,,,,0,,
2021-03-31,47.43937417923136,49.02257998651367,47.39875579874396,48.3524169921875,23698000,375.5351867675781,250.0,,1.0,4.0,,,,,0,,
2021-04-01,49.65132308291455,51.98836150369601,49.56115571885161,51.93149948120117,24634000,379.5906066894531,265.0,,1.0,4.0,,,,,0,,
2021-04-05,52.77630497955103,54.100381176963886,51.952614522069524,53.677978515625,23454000,385.03887939453125,265.0,,1.0,4.0,,,,,0,,
2021-04-06,53.61300631207039,54.152386838220266,52.31329830764073,53.00214385986328,23236000,384.8114929199219,261.0,,1.0,4.0,,,,,0,,
2021-04-07,53.00212737353118,54.21572698238116,52.83966005007761,53.513885498046875,14689000,385.25689697265625,258.0,,1.0,4.0,,,,,0,,
2021-04-08,54.183241079017755,54.3440784654147,53.126413269394654,54.262847900390625,12045000,387.08563232421875,255.0,,1.0,4.0,,,,,0,,
2021-04-09,54.032149530161895,54.33595694427794,53.34655161933619,53.775455474853516,12734000,389.8997802734375,251.0,,1.0,4.0,,,,,0,,
2021-04-12,53.50413743486387,53.58049676786287,52.394513182167444,52.82260513305664,15811000,390.0418701171875,249.0,,1.0,4.0,,,,,0,,
2021-04-13,53.25232301315381,53.38797998163152,51.80964533257844,52.39370346069336,13501000,391.19781494140625,245.0,,1.0,4.0,,,,,0,,
2021-04-14,52.063899476424254,52.95501242189886,51.50096245768603,52.02328109741211,8945000,389.8618469238281,242.0,,1.0,4.0,,,,,0,,
2021-04-15,52.63984034061932,52.94527150718208,51.812899231084224,52.76005935668945,10900000,394.0499572753906,239.0,,1.0,4.0,,,,,0,,
2021-04-16,52.86728704978906,52.98751226023323,52.05578082365522,52.289730072021484,11136000,395.3670654296875,236.0,,1.0,4.0,,,,,0,,
2021-04-19,52.29053405195936,52.665823320461776,49.49453448982801,50.50424575805664,24219000,393.4245300292969,237.0,,1.0,4.0,,,,,0,,
2021-04-20,50.09890362762674,50.777188460896014,49.405183933219384,49.79753494262695,13724000,390.5440673828125,234.0,,1.0,4.0,,,,,0,,
2021-04-21,50.32961507318006,52.089908599853516,50.15577839477851,52.089908599853516,20740000,394.2394714355469,239.0,,1.0,4.0,,,,,0,,
2021-04-22,52.30516320055234,52.79580651767678,49.63263584463053,49.920196533203125,24367000,390.6387939453125,242.0,,1.0,4.0,,,,,0,,
2021-04-23,50.4262741870827,51.17604412206885,49.84140411980259,50.97215270996094,14888000,394.87432861328125,240.0,,1.0,4.0,,,,,0,,
2021-04-26,50.926659813916885,52.26048475965649,50.66671826713148,52.24586486816406,12987000,395.69866943359375,239.0,,1.0,4.0,,,,,0,,
2021-04-27,52.58622139406793,52.71944274433816,51.97210852614123,52.384765625,9919000,395.61334228515625,236.0,,1.0,4.0,,,,,0,,
2021-04-28,52.31329016080044,52.31329016080044,51.46279233784432,51.829959869384766,7380000,395.49969482421875,233.0,,1.0,4.0,,,,,0,,
2021-04-29,52.14838068141471,52.23205305984701,51.137045577475234,52.0671501159668,8938000,398.0201416015625,229.0,,1.0,4.0,,,,,0,,
2021-04-30,51.210158687032546,51.78446819187585,50.34910036571708,50.40027618408203,13667000,395.4048767089844,230.0,,4.0,4.0,,,,,0,,
2021-05-03,51.11673274813682,51.17603347371564,49.85845235260658,50.1395149230957,11582000,396.2577209472656,227.0,,4.0,4.0,,,,,0,,
2021-05-04,49.41981234186646,49.51485403587953,47.94301730912024,49.250038146972656,15878000,393.8130798339844,225.0,,4.0,4.0,,,,,1,,
2021-05-05,50.14520633666714,50.444139413456,49.01202224868036,49.632633209228516,9835000,393.9362487792969,222.0,,4.0,4.0,,,,,0,,
2021-05-06,49.48316690325979,50.2946730858898,48.853619171550555,50.155765533447266,11911000,397.08203125,219.0,,4.0,4.0,,,,,0,,
2021-05-07,50.85029963266912,51.56595229575219,50.21750438208049,51.219905853271484,10335000,399.9720153808594,218.0,,4.0,4.0,,,,,0,,
2021-05-10,50.47825200782581,50.694330753032666,47.61483291072967,47.638389587402344,17659000,396.0113525390625,236.0,,4.0,4.0,,,,,0,,
2021-05-11,46.1851566374349,48.34511076711611,45.72782177458284,48.12416076660156,19469000,392.47705078125,233.0,,4.0,4.0,,,,,0,,
2021-05-12,46.70828954324048,46.9292395401424,45.14864031893458,45.300540924072266,24293000,384.1387939453125,244.0,,4.0,4.0,,,,,0,,
2021-05-13,46.542579400771764,48.2833752687528,46.316755066297425,47.49867630004883,29402000,388.7532043457031,249.0,,4.0,4.0,,,,,0,,
2021-05-14,48.41415651989156,49.505101589682795,46.95198458986083,48.98196792602539,15485000,394.7226257324219,248.0,,4.0,4.0,,,,,0,,
2021-05-17,47.95844845448601,48.14771685716769,46.78952030454908,48.09491729736328,16791000,393.7183532714844,246.0,,4.0,4.0,,,,,0,,
2021-05-18,48.57012447848522,48.84712463283246,47.49948856068702,47.50680160522461,11679000,390.326171875,243.0,,4.0,4.0,,,,,0,,
2021-05-19,46.22901945072974,48.990087050780105,45.979638457430035,48.91779327392578,15769000,389.30279541015625,243.0,,4.0,4.0,,,,,0,,
2021-05-20,49.35645245331454,51.500975103600865,49.09651087729463,50.90960693359375,19741000,393.4909362792969,245.0,,4.0,4.0,,,,,0,,
2021-05-21,50.64396746208107,50.808867299647886,49.56764547616932,49.88444900512695,14747000,393.1687316894531,243.0,,4.0,4.0,,,,,0,,
2021-05-24,50.798315189591406,52.112645975991846,50.527813097948986,51.55295944213867,14088000,397.17681884765625,244.0,,1.0,4.0,,,,,0,,
2021-05-25,52.06958625947939,52.96882418381884,51.845388781020546,52.01841354370117,15017000,396.2956237792969,240.0,,1.0,4.0,,,,,0,,
2021-05-26,52.13213522376517,52.52285627507569,51.367742428974324,51.829139709472656,12621000,397.08203125,237.0,,1.0,4.0,,,,,0,,
2021-05-27,51.571637244455964,52.90059090458465,51.571637244455964,52.451377868652344,22452000,397.29052734375,234.0,,1.0,4.0,,,,,0,,
2021-05-28,53.044376303947004,53.23282974684261,52.637405367528096,52.78849411010742,8414000,398.0011901855469,231.0,,1.0,4.0,,,,,0,,
2021-06-01,53.28806325535748,54.733988404015065,52.597594146981045,52.72269058227539,12760000,397.6506042480469,227.0,,1.0,4.0,,,,,0,,
2021-06-02,52.61221836477388,53.277507105941616,52.19143941144841,52.71863555908203,9195000,398.27593994140625,224.0,,1.0,4.0,,,,,0,,
2021-06-03,51.87056985543913,52.19956078009667,51.273515579715365,51.64555740356445,11786000,396.79779052734375,222.0,,1.0,4.0,,,,,0,,
2021-06-04,52.31409277073166,53.30674547460962,52.134569945775475,53.23200988769531,10443000,400.4268493652344,223.0,,1.0,4.0,,,,,0,,
2021-06-07,52.93227442782936,53.003756338694004,52.232056618124936,52.76655960083008,8127000,400.0383605957031,220.0,,1.0,4.0,,,,,0,,
2021-06-08,53.450529150136546,53.47408582775796,51.528580664495585,51.789337158203125,8856000,400.1236267089844,218.0,,1.0,4.0,,,,,0,,
2021-06-09,52.080152518148815,52.26617654693814,51.428674876413766,51.50828170776367,6594000,399.52667236328125,215.0,,1.0,4.0,,,,,0,,
2021-06-10,51.32226654122307,52.556987536481245,51.32226654122307,52.05091857910156,8440000,401.3838806152344,212.0,,1.0,3.0,,,,,0,,
2021-06-11,52.120771076356036,52.22799394858072,51.56839448664944,52.159759521484375,10244000,402.04705810546875,209.0,,1.0,3.0,,,,,0,,
2021-06-14,52.12808359586947,52.89328846692423,51.84133783597669,52.82018280029297,10188000,402.9472961425781,207.0,,1.0,3.0,,,,,0,,
2021-06-15,52.65575395263332,53.232027412508046,52.23982658493011,52.375755310058594,6380000,402.20819091796875,204.0,,1.0,3.0,,,,,0,,
2021-06-16,52.554830428060825,52.97889282776715,51.4861202764462,51.989952087402344,10738000,399.9625244140625,201.0,,1.0,3.0,,,,,0,,
2021-06-17,51.803552452978366,52.662261945304955,51.172743561341235,52.0745964050293,8548000,399.8299255371094,198.0,,4.0,3.0,,,,,0,,
2021-06-18,51.28670028110189,51.407166341193104,49.56032333710647,49.86717987060547,21139000,394.43603515625,204.0,,4.0,3.0,,,,,0,,
2021-06-21,50.012868438563856,50.787744086720714,49.535084189474134,50.3522834777832,9930000,400.082763671875,201.0,,4.0,3.0,,,,,0,,
2021-06-22,50.262749551359846,50.96518660957992,49.589617057746224,50.61030578613281,7199000,402.2217102050781,199.0,,4.0,3.0,,,,,0,,
2021-06-23,50.87158103744339,51.53901593225826,50.736465820132274,50.8080940246582,6796000,401.7369079589844,196.0,,4.0,3.0,,,,,0,,
2021-06-24,51.58867060648133,51.8979707086041,51.425067417393834,51.687156677246094,7681000,404.1134033203125,194.0,,4.0,3.0,,,,,0,,
2021-06-25,51.68552547933919,51.79377973004357,50.930183113962634,51.31436538696289,12496000,405.54888916015625,192.0,,4.0,3.0,,,,,0,,
2021-06-28,51.82960064373915,52.868198892461876,51.82308955237638,52.65901184082031,9633000,406.366455078125,192.0,,4.0,3.0,,,,,0,,
2021-06-29,52.65413269634149,53.28493544675573,52.41890127100489,53.05215072631836,7976000,406.5850830078125,189.0,,4.0,3.0,,,,,0,,
2021-06-30,53.00901306032672,53.05540730701084,52.370069085547556,52.96343231201172,8033000,406.9273376464844,187.0,,4.0,3.0,,,,,0,,
2021-07-01,52.71679415296638,52.85598307247349,51.377856859235386,51.52843475341797,11343000,409.1802978515625,188.0,,4.0,3.0,,,,,0,,
2021-07-02,52.11122650793408,52.19424679938242,51.03437526927606,51.39576721191406,7426000,412.307861328125,185.0,,4.0,3.0,,,,,0,,
2021-07-06,51.39576466178738,51.90610748872123,50.01287048004272,50.619258880615234,10240000,411.5568542480469,183.0,,4.0,3.0,,,,,0,,
2021-07-07,51.20448961112576,51.23135057836825,49.63194780190513,49.942874908447266,8622000,413.0113525390625,182.0,,4.0,3.0,,,,,0,,
2021-07-08,48.88880839637843,49.93554145020368,48.36544342194322,49.3275260925293,10218000,409.64617919921875,180.0,,4.0,3.0,,,,,0,,
2021-07-09,49.47240728084983,50.00309995822175,49.07113222763415,49.88263702392578,8372000,414.0190124511719,178.0,,4.0,3.0,,,,,0,,
2021-07-12,50.26193451913538,51.219133099948486,50.217167280355945,50.905765533447266,17315000,415.5019836425781,177.0,,4.0,3.0,,,,,0,,
2021-07-13,50.68763065146315,50.95297700599303,50.10240561667283,50.844722747802734,10834000,414.0855407714844,175.0,,4.0,3.0,,,,,0,,
2021-07-14,51.44948811944188,52.13320548633135,50.16752349019589,50.292057037353516,11507000,414.70343017578125,173.0,,4.0,3.0,,,,,0,,
2021-07-15,50.03974040767881,50.546012729250954,49.128122345540106,49.710906982421875,12497000,413.287109375,171.0,,4.0,3.0,,,,,0,,
2021-07-16,49.87857389337938,50.139036177029766,47.69719993909088,47.8990592956543,13538000,410.0453796386719,176.0,,4.0,3.0,,,,,0,,
2021-07-19,47.045230963421034,48.17742809408306,46.828722426496974,48.14649963378906,14567000,403.9898376464844,173.0,,4.0,3.0,,,,,0,,
2021-07-20,48.50625960790515,49.795548717099564,47.875450732946916,49.4138069152832,15558000,409.77923583984375,174.0,,4.0,3.0,,,,,0,,
2021-07-21,49.504967147234886,51.99319732127356,49.504967147234886,51.8686637878418,16374000,413.0968933105469,184.0,,4.0,3.0,,,,,0,,
2021-07-22,51.44704555478886,51.945179723378715,51.3225120126414,51.761226654052734,12520000,413.9620361328125,181.0,,4.0,3.0,,,,,0,,
2021-07-23,52.23249840786154,52.470983798311686,51.56425307863425,52.114479064941406,10317000,418.2207946777344,179.0,,1.0,3.0,,,,,0,,
2021-07-26,52.192619617331985,52.7404020171312,51.70588063604096,52.12424850463867,8782000,419.2474670410156,176.0,,1.0,3.0,,,,,0,,
2021-07-27,51.686347156741945,51.869486737402546,49.45532186353668,50.6754264831543,14912000,417.3367614746094,178.0,,1.0,3.0,,,,,0,,
2021-07-28,50.88135818087754,51.929718441874165,50.74379933985133,51.6855354309082,12160000,417.1656494140625,177.0,,1.0,3.0,,,,,0,,
2021-07-29,49.69706542483786,50.6656624727574,48.59742683908431,50.43450164794922,29139000,418.8957214355469,178.0,,1.0,3.0,,,,,1,,
2021-07-30,49.732066482373554,51.889023198489035,49.70520861705619,51.88169860839844,16511000,416.86138916015625,179.0,,1.0,3.0,,,,,0,,
2021-08-02,52.59714393724569,53.67887289481148,52.173888932539626,52.23900604248047,13923000,415.98681640625,177.0,,1.0,3.0,,,,,0,,
2021-08-03,52.538541249803636,52.852725444350675,51.80517880470877,52.54180145263672,6844000,419.37103271484375,174.0,,1.0,3.0,,,,,0,,
2021-08-04,52.81040527044619,53.28492934854863,52.2145954362072,52.8885383605957,11120000,417.3081970214844,172.0,,1.0,3.0,,,,,0,,
2021-08-05,53.05214744927159,53.20028486492058,52.313087367585,52.553199768066406,5961000,419.95098876953125,170.0,,1.0,3.0,,,,,0,,
2021-08-06,52.304138746202845,52.772154917377954,52.25529779423124,52.74040985107422,6065000,420.6449279785156,167.0,,1.0,3.0,,0.0001504030049370532,,,0,,
2021-08-09,52.9064471894646,52.93330505080381,52.01110855593261,52.133201599121094,7831000,420.3027038574219,166.0,,1.0,3.0,,0.00014326221528271717,,,0,,
2021-08-10,52.15761949538885,52.191805051035935,50.06659369344339,50.2342643737793,16249000,420.8255615234375,171.0,,1.0,3.0,,0.00010929467663938896,,,0,,
2021-08-11,50.46379959351455,50.62007819796879,48.524168242924254,49.53020477294922,17557000,421.8712463378906,169.0,,4.0,3.0,,4.8599871051465365e-05,,,0,,
2021-08-12,48.702418631898084,48.71055982406593,47.05824867391505,47.49452590942383,25136000,423.1356201171875,176.0,,4.0,3.0,,-1.3217304265008202e-05,,,0,,
2021-08-13,47.473367396431264,47.8876646974879,46.97848718844653,47.24220657348633,17663000,423.9056091308594,174.0,,4.0,3.0,,-3.6653976548138425e-05,0.0001504030049370532,,0,,
2021-08-16,47.198253079986074,48.065103841993334,47.00453491289985,47.93080520629883,12692000,424.9037780761719,172.0,,4.0,3.0,,-5.138374595098818e-05,0.00014326221528271717,,0,,
2021-08-17,47.36592324520641,47.81684967267818,46.46895448472407,47.12662124633789,12701000,422.118408203125,171.0,,4.0,3.0,,-2.865845853380473e-05,0.00010929467663938896,,0,,
