Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2021-10-26,110.20055586075614,110.71509879711404,109.25131612495089,110.04974365234375,3390900,431.0614929199219,,,,,,,,,0,,
2021-10-27,110.45783644751171,110.61752196617273,108.2754722047065,108.6746826171875,3610800,429.1517333984375,100.0,,,3.0,,,,,0,,
2021-10-28,108.4972331621793,109.20694115647993,107.26410900755315,107.5834732055664,4242900,433.29248046875,99.0,,,3.0,,,,,0,,
2021-10-29,106.98023490720664,107.00685479897223,105.46322595701635,106.33262634277344,8118500,434.1717834472656,99.0,,,3.0,,,,,1,,
2021-11-01,106.58100440136235,107.37943179505517,106.45680533660364,106.66085052490234,3600400,434.9186096191406,98.0,,,3.0,,,,,0,,
2021-11-02,107.13104331312381,109.26904749329904,106.58988729579546,107.61009979248047,6909700,436.67706298828125,97.0,,,3.0,,,,,0,,
2021-11-03,107.66332471234992,108.06253505607526,106.4124539035512,107.5036392211914,4762800,439.34307861328125,96.0,,,3.0,,,,,0,,
2021-11-04,107.87625622894679,108.0270684514938,106.43022001538863,107.06896209716797,3928400,441.4134521484375,94.0,,,3.0,,,,,0,,
2021-11-05,107.58347883108488,110.56427016070067,107.2374947274993,109.10049438476562,6147400,442.9450378417969,96.0,,,3.0,,,,,0,,
2021-11-08,109.14486725543043,109.96990798422055,108.5327382980994,109.13599395751953,4183900,443.32318115234375,95.0,,,3.0,,,,,0,,
2021-11-09,109.2069464986187,109.8900481755373,108.27545344146868,108.48836517333984,3150700,441.85784912109375,94.0,,,3.0,,,,,0,,
2021-11-10,108.31094201700716,109.0561432924899,107.88511851816773,108.59483337402344,3225700,438.30316162109375,93.0,,,3.0,,,,,0,,
2021-11-11,108.57707473611744,108.71902039888025,105.4720844307694,106.08421325683594,4046900,438.44488525390625,97.0,,,3.0,,,,,0,,
2021-11-12,106.46569825149409,106.54553762140533,104.93981601088127,105.84469604492188,5539500,441.7538146972656,95.0,,,3.0,,,,,0,,
2021-11-15,106.32374160984068,106.40358773986424,104.20347727285342,104.3099365234375,5775200,441.9050598144531,96.0,,4.0,3.0,,,,,0,,
2021-11-16,104.06156095575147,105.2148392964755,103.53814465388923,104.6736831665039,5283500,443.65411376953125,95.0,,4.0,3.0,,,,,0,,
2021-11-17,103.96397664524453,105.01080249739019,103.46717346176189,104.53174591064453,3976700,442.57635498046875,93.0,,4.0,3.0,,,,,0,,
2021-11-18,104.62930976410337,104.72689572049192,102.5445250306587,104.38977813720703,7731800,444.0795593261719,92.0,,4.0,3.0,,,,,0,,
2021-11-19,104.62931973925102,104.79787177862077,103.55588088497944,103.9905776977539,7325000,443.285400390625,91.0,,4.0,3.0,,,,,0,,
2021-11-22,104.49622707958838,105.39224042331945,103.58247391296524,103.69779968261719,6813100,442.0375061035156,89.0,,4.0,3.0,,,,,0,,
2021-11-23,99.96295842217806,102.56227948971451,98.57014857312328,100.58395385742188,11151900,442.62359619140625,97.0,,4.0,3.0,,,,,1,,
2021-11-24,100.30006475199914,102.26951699854322,99.82100825135255,101.52432250976562,5588500,443.8052978515625,97.0,,4.0,3.0,,,,,0,,
2021-11-26,100.65492636126253,100.69928607863547,98.2773903526046,98.51692199707031,5561300,433.9071044921875,104.0,,4.0,4.0,,,,,0,,
2021-11-29,99.35970644679695,99.77666344071389,97.73623819027289,97.83382415771484,7026000,439.229736328125,103.0,,4.0,4.0,,,,,0,,
2021-11-30,97.20394686349546,97.47895814666866,94.56026621398193,94.65785217285156,14018500,430.6832580566406,111.0,,4.0,4.0,,,,,1,,
2021-12-01,96.49423173080584,96.62730410779258,93.48682714527963,93.5666732788086,8205200,425.8995666503906,110.0,,4.0,4.0,,,,,0,,
2021-12-02,93.80618964164118,95.74015527600426,93.16744770466379,95.1723861694336,7458800,432.42279052734375,111.0,,4.0,4.0,,,,,0,,
2021-12-03,95.47403283781587,96.25471379419768,93.95702387501167,94.80867767333984,6922900,428.6601257324219,109.0,,4.0,4.0,,,,,0,,
2021-12-06,95.83773826250567,98.67659047592568,95.55385371799781,97.7983169555664,7624800,433.7369079589844,116.0,,4.0,4.0,,,,,0,,
