Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2022-03-28,38.81896535952984,39.06325082832787,38.130528086905976,38.51546096801758,10200300,431.4156188964844,,,,,,,,,0,,
2022-03-29,38.35261211336856,38.522870422494755,37.90105611688885,38.256378173828125,8526400,436.7525939941406,54.0,,,3.0,,,,,0,,
2022-03-30,38.27857903680807,38.53026580810547,38.07130857474489,38.53026580810547,6650400,434.0557556152344,54.0,,,1.0,,,,,0,,
2022-03-31,38.48586058609982,38.85598810431107,38.397027948557934,38.67832565307617,7020700,427.37506103515625,53.0,,,1.0,,,,,0,,
2022-04-01,38.9078004290743,39.0780587253889,38.596891887742245,39.018836975097656,5420400,428.58636474609375,54.0,,,1.0,,,,,0,,
2022-04-04,39.02623748779297,39.107665974970175,38.530265258553726,39.02623748779297,6688200,432.2578125,53.0,,,1.0,,,,,0,,
2022-04-05,38.84117614781125,39.50000256787124,38.78195439938643,38.967018127441406,7848600,426.7978515625,52.0,,,1.0,,,,,0,,
2022-04-06,39.54441605391492,39.877531329171546,39.381561893449316,39.847923278808594,7713400,422.5301513671875,60.0,,,1.0,,,,,0,,
2022-04-07,39.766490143210206,39.81830775510524,39.33714098882502,39.77389144897461,6174900,424.6592102050781,59.0,,,1.0,,,,,0,,
2022-04-08,39.78869883786741,40.24765606169182,39.70727035122071,40.05519104003906,7424500,423.52374267578125,59.0,,,1.0,,,,,0,,
2022-04-11,40.32908769489192,40.5363581688201,40.01818198399965,40.306880950927734,6399800,416.2847595214844,59.0,,,1.0,,,,,0,,
2022-04-12,40.18103471408099,40.677006961109,40.09960622398323,40.647396087646484,8068000,414.7422790527344,59.0,,,1.0,,,,,0,,
2022-04-13,40.60297973968401,40.95830457320703,40.46973363307496,40.56596755981445,8709600,419.4925842285156,58.0,,,1.0,,,,,0,,
2022-04-14,40.51415500368834,40.9064892422375,40.45493607326991,40.69921875,12214100,414.2691650390625,57.0,,,1.0,,,,,0,,
2022-04-18,40.64739537377001,40.83986040019953,40.41791534423828,40.41791534423828,5754300,414.4394836425781,57.0,,1.0,1.0,,,,,0,,
2022-04-19,40.69181310447273,40.95090119214813,40.52155481487913,40.87687683105469,7072400,421.1296691894531,58.0,,1.0,1.0,,,,,0,,
2022-04-20,40.9657006693403,41.158165674491954,40.72881935968537,40.98790740966797,6989300,420.8173522949219,58.0,,1.0,1.0,,,,,0,,
2022-04-21,41.061935104319666,42.23153623258515,40.98050662362214,41.84660339355469,8659800,414.5246887207031,63.0,,1.0,1.0,,,,,0,,
2022-04-22,41.82439803622431,41.93543739063848,41.06193646238116,41.10634994506836,8469900,403.1504211425781,67.0,,1.0,1.0,,,,,0,,
2022-04-25,40.85466647034825,41.061939760312185,40.28466986468198,40.88427734375,12144400,405.4877624511719,67.0,,1.0,1.0,,,,,0,,
2022-04-26,40.95830601309659,41.25440628631076,40.610385297625314,40.62519073486328,6913400,393.7444763183594,66.0,,1.0,1.0,,,,,0,,
2022-04-27,40.639997801056175,41.2396025020614,40.53635973623631,40.65480041503906,7946600,394.8515930175781,65.0,,1.0,1.0,,,,,0,,
2022-04-28,39.9737617938586,41.04713188827814,39.41857065783279,40.86206817626953,8153900,404.8254089355469,65.0,,1.0,1.0,,,,,0,,
2022-04-29,41.417264925694305,42.18713074971574,41.10635637898049,41.13596725463867,10862800,389.8647766113281,64.0,,1.0,1.0,,,,,0,,
2022-05-02,41.52089583250962,41.72076498656628,40.32168373201793,40.99531555175781,10164800,392.2115478515625,63.0,,1.0,1.0,,,,,0,,
2022-05-03,41.03973388671875,41.43207093497963,40.5659711650476,41.03973388671875,8455900,394.0093994140625,63.0,,1.0,1.0,,,,,0,,
2022-05-04,41.239592428685874,41.75777133081833,40.936088086898664,41.750370025634766,7910100,406.0081787109375,66.0,,1.0,1.0,,,,,0,,
2022-05-05,41.78739433704301,42.00206895974382,41.180385477153486,41.417266845703125,10016300,391.5775146484375,66.0,,1.0,1.0,,,,,0,,
2022-05-06,41.22479182586382,42.00946298813054,41.150767469961444,41.876216888427734,11512300,389.240234375,67.0,,1.0,1.0,,,,,0,,
2022-05-09,41.82440387414757,42.21673808650364,40.802851272030644,40.90648651123047,16925900,376.77783203125,73.0,,1.0,1.0,,,,,0,,
2022-05-10,39.855332796425216,39.96637218566987,37.27924551012959,38.17495346069336,25354700,377.64837646484375,118.0,,4.0,4.0,,,,,1,,
2022-05-11,38.48585360152825,39.04844608461425,38.15273833082348,38.26377487182617,16080100,371.6490783691406,117.0,,4.0,4.0,,,,,0,,
2022-05-12,38.641312048522515,39.04845173884978,38.241573665794476,38.619102478027344,12185000,371.26104736328125,116.0,,4.0,4.0,,,,,0,,
2022-05-13,38.83376956645876,39.30753222856369,38.70792759477074,39.263118743896484,8144600,380.1370544433594,116.0,,4.0,4.0,,,,,0,,
2022-05-16,39.388970127775764,40.05520079546509,39.196505059248224,39.781307220458984,7263300,378.59466552734375,116.0,,4.0,4.0,,,,,0,,
2022-05-17,39.988575035365194,40.314286215493134,39.692471908813474,40.151432037353516,8465300,386.38250732421875,115.0,,4.0,4.0,,,,,0,,
2022-05-18,40.09220142266248,40.11440816389942,39.24831136948181,39.38155746459961,9922500,370.8067932128906,116.0,,4.0,4.0,,,,,0,,
2022-05-19,38.94481372764914,39.07065571485326,37.76780823342595,37.81962585449219,13690300,368.5357666015625,127.0,,4.0,4.0,,,,,1,,
