Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2022-02-22,66.3369575537723,66.81252236346575,65.74474012190494,66.20236206054688,8233400,406.338623046875,,,,,,,,,0,,
2022-02-23,66.59715564975205,66.7766116949218,64.80256781481748,64.89229583740234,7837100,399.13067626953125,159.0,,,3.0,,,,,0,,
2022-02-24,63.70789067878955,67.99695602634156,63.47459226088501,67.69187927246094,15750400,405.13720703125,167.0,,,3.0,,,,,0,,
2022-02-25,68.30203509884,69.30700019401145,67.49446897178345,69.23522186279297,12609500,414.0762023925781,167.0,,,3.0,,,,,0,,
2022-02-28,69.55551427378296,71.16154964865179,69.29386382481286,70.62018585205078,16345600,413.01678466796875,167.0,,,3.0,,,,,0,,
2022-03-01,70.4397464433414,71.12546897416935,69.05928369845121,69.87132263183594,13930300,406.7264709472656,165.0,,,3.0,,,,,0,,
2022-03-02,69.73596765869455,70.20514179058699,69.01415388869326,69.9705581665039,6988700,414.20867919921875,162.0,,,3.0,,,,,0,,
2022-03-03,70.24124803027941,71.60366853967061,70.0698225585189,71.0893783569336,10075500,412.1465148925781,161.0,,,3.0,,,,,0,,
2022-03-04,71.21569346163675,72.58713162933982,70.80967743983538,72.37059020996094,8996400,408.7980041503906,161.0,,,3.0,,,,,0,,
2022-03-07,73.04729215004276,76.1420579257376,72.83075071886184,75.95258331298828,19948900,396.7469482421875,172.0,,,3.0,,,,,0,,
2022-03-08,76.06986451973292,77.05333571553895,73.7510466539731,73.94052124023438,14717600,393.73895263671875,173.0,,,3.0,,,,,0,,
2022-03-09,74.32849473345325,74.4187266269505,72.2803587883878,72.46983337402344,12710000,404.2954406738281,173.0,,,3.0,,,,,0,,
2022-03-10,71.78411375257761,72.59615264013041,70.77358258915835,72.32547760009766,9554300,402.46978759765625,170.0,,,3.0,,,,,0,,
2022-03-11,72.45179392937008,73.16457635274793,71.49538951435794,71.54953002929688,7230600,397.3523864746094,168.0,,,3.0,,,,,0,,
2022-03-14,71.89240114422249,72.75857382261931,71.00817932959508,71.531494140625,7133800,394.44842529296875,166.0,,,3.0,,,,,0,,
2022-03-15,72.3615549644401,74.2202230979794,72.271329959991,73.96759033203125,9567000,403.1224670410156,169.0,,1.0,3.0,,,,,0,,
2022-03-16,73.85028813061372,74.65330233448556,72.93899979629887,74.44578552246094,8261200,412.0614013671875,167.0,,1.0,3.0,,,,,0,,
2022-03-17,74.49090136697784,75.10444106126397,74.36458497848307,74.60820007324219,6341900,417.2166442871094,165.0,,1.0,3.0,,,,,0,,
2022-03-18,74.81570655659495,75.32999660540115,74.20216694716596,74.31946563720703,13470800,421.786376953125,162.0,,1.0,3.0,,,,,0,,
2022-03-21,73.98564871769283,74.67137129178849,73.52549214578526,73.8051986694336,7181700,421.6629638671875,160.0,,1.0,3.0,,,,,0,,
2022-03-22,73.86834116156683,74.8518054177168,73.46231831375981,74.75255584716797,8516800,426.59710693359375,159.0,,1.0,3.0,,,,,0,,
2022-03-23,74.41873850820464,74.97813778832678,73.99467332248102,74.49993896484375,6125800,421.1031494140625,157.0,,1.0,3.0,,,,,0,,
2022-03-24,74.80668793745699,75.60067752875575,74.67134700342089,75.51947021484375,5498000,427.4510192871094,155.0,,1.0,3.0,,,,,0,,
2022-03-25,75.87135700754585,76.00669794959924,75.07736736921298,75.73602294921875,5481000,429.53857421875,153.0,,1.0,3.0,,,,,0,,
2022-03-28,75.83528094084139,76.43979608096016,75.5014408311789,76.17813873291016,6177700,432.5938415527344,151.0,,1.0,3.0,,,,,0,,
2022-03-29,76.69242902080214,76.7285204016827,75.47437417192305,76.34957122802734,8954300,437.9454345703125,149.0,,1.0,3.0,,,,,0,,
2022-03-30,76.80971460427806,77.39618744940786,76.35858270552075,77.1435546875,6829300,435.24114990234375,147.0,,1.0,3.0,,,,,0,,
2022-03-31,76.74655418785457,77.84731709029226,76.4307632446289,76.4307632446289,10082800,428.5422668457031,146.0,,1.0,3.0,,,,,0,,
2022-04-01,76.23226774579753,77.41423802351166,75.90745222193847,77.3330307006836,6453800,429.75677490234375,144.0,,1.0,3.0,,,,,0,,
2022-04-04,77.26985803996698,77.51347307910677,76.36759439458322,77.25181579589844,6465700,433.4383850097656,142.0,,1.0,3.0,,,,,0,,
2022-04-05,77.46836809184497,78.90296418656646,77.34205171433715,77.8924331665039,7203200,427.96337890625,141.0,,1.0,3.0,,,,,0,,
2022-04-06,77.74808002133011,78.06387101531341,77.08040665066152,78.03680419921875,7621900,423.68408203125,139.0,,1.0,3.0,,,,,0,,
