Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2021-02-01,122.09625244140624,122.96977903298296,121.13359964308145,122.09625244140625,4185700,355.3260192871094,,,,,,,,,0,,
2021-02-02,122.51522031970069,124.36921732410225,121.7575861405554,123.34417724609375,3581600,360.35040283203125,81.0,,,3.0,,,,,0,,
2021-02-03,122.78260302971306,123.8522128223293,122.17649580086689,123.02326965332031,3609600,360.6337585449219,80.0,,,3.0,,,,,0,,
2021-02-04,122.78258954106524,124.57418540685568,122.78258954106524,124.50287628173828,3860300,364.732666015625,80.0,,,3.0,,,,,0,,
2021-02-05,125.22489666725791,126.67777782788231,124.54746666764753,125.64382934570312,4437900,366.1681823730469,80.0,,,3.0,,,,,0,,
2021-02-08,125.84879946126266,126.40142811641317,124.34242666814762,125.1446304321289,4112200,368.8126220703125,79.0,,,3.0,,,,,0,,
2021-02-09,125.79534200596972,125.81315908755562,124.33353886721328,124.43158721923828,3179300,368.5670471191406,78.0,,,3.0,,,,,0,,
2021-02-10,125.78642341886535,125.78642341886535,121.9001641936948,122.73802947998047,6966600,368.4064636230469,79.0,,,3.0,,,,,0,,
2021-02-11,122.87176228915014,123.19264663779391,119.74313648966626,120.3046875,7528000,369.00152587890625,83.0,,,3.0,,,,,0,,
2021-02-12,120.56313242460314,120.86619959021893,118.94980265817381,119.32416534423828,5659300,370.8243103027344,82.0,,,3.0,,,,,0,,
2021-02-16,119.93920578396389,120.1620417083844,118.90524383045461,119.77877044677734,5180100,370.5031433105469,81.0,,,3.0,,,,,0,,
2021-02-17,119.49355196289054,120.39381793789913,119.31528591662455,119.85009765625,3353000,370.5881652832031,80.0,,,3.0,,,,,0,,
2021-02-18,119.50248057199823,120.95536184846723,119.35986228693739,120.66121673583984,3935200,369.01092529296875,79.0,,,3.0,,,,,0,,
2021-02-19,120.3403130786398,120.43836143377752,117.91585702507612,118.11195373535156,5414900,368.3592529296875,83.0,,,3.0,,,,,0,,
2021-02-22,117.69303195729142,118.19219592096947,116.55211295625341,117.64847564697266,5792900,365.52593994140625,82.0,,4.0,3.0,,,,,0,,
2021-02-23,118.23674394514636,119.74311707085609,117.03343803349448,118.35262298583984,6264300,365.9698791503906,81.0,,4.0,3.0,,,,,0,,
2021-02-24,117.52366557444644,117.91584535535861,116.94428404203522,117.73757934570312,4944000,370.00262451171875,81.0,,4.0,3.0,,,,,0,,
2021-02-25,117.07799898586235,117.73758461116813,115.69641354780178,115.87467956542969,5702300,361.0870666503906,82.0,,4.0,3.0,,,,,0,,
2021-02-26,116.38275335959027,116.6501455887511,114.60006596078205,115.15269470214844,8329000,359.22650146484375,81.0,,4.0,3.0,,,,,0,,
2021-03-01,116.41840621721411,117.63063424547904,116.17773959961325,116.42731475830078,5287300,367.934326171875,82.0,,4.0,3.0,,,,,0,,
2021-03-02,116.32036531334126,117.68412023239704,116.21340841014533,116.82843780517578,5614000,365.06317138671875,81.0,,4.0,3.0,,,,,0,,
2021-03-03,115.69642154828693,116.34709867799495,114.96551314439681,115.1081314086914,7505800,360.2276611328125,82.0,,4.0,3.0,,,,,0,,
2021-03-04,116.12607784516955,118.37223022128501,115.29051574177913,115.74872589111328,9102800,355.7699279785156,81.0,,4.0,3.0,,,,,0,,
2021-03-05,116.47647297717063,119.86367448004395,116.072168305553,119.52225494384766,10186500,362.3149108886719,91.0,,4.0,3.0,,,,,0,,
2021-03-08,119.7019678017012,120.5555030997339,118.5878848183682,118.71366882324219,8634900,360.5109558105469,90.0,,4.0,3.0,,,,,0,,
2021-03-09,119.44141247713611,120.31292077996162,118.59685690867202,118.82147216796875,8930200,365.6582336425781,89.0,,4.0,3.0,,,,,0,,
2021-03-10,119.0640595877065,120.81605585510778,117.28509687671995,120.01642608642578,7791700,367.934326171875,89.0,,4.0,3.0,,,,,0,,
2021-03-11,119.80975931410153,120.91486231619237,119.58514410257109,119.69295501708984,4458900,371.6647644042969,87.0,,1.0,3.0,,,,,0,,
2021-03-12,119.60315142983976,120.20511879310129,119.17189388933284,119.5312728881836,5275100,372.16534423828125,86.0,,1.0,3.0,,,,,0,,
2021-03-15,119.99843813410796,120.06133697895491,118.56988856332705,119.52225494384766,5389200,374.384765625,85.0,,1.0,3.0,,,,,0,,
2021-03-16,119.5671784206178,120.91486977291137,119.27068467798216,120.40274047851562,5544700,373.9125671386719,84.0,,1.0,3.0,,,,,0,,
2021-03-17,120.71721897220645,120.89690842803446,119.83673104205052,120.05235290527344,6199500,375.1875915527344,83.0,,1.0,3.0,,,,,0,,
2021-03-18,118.9203070873549,119.56720015077629,118.06677181766577,119.07304382324219,6476700,369.7287902832031,83.0,,1.0,3.0,,,,,1,,
2021-03-19,118.87537807650295,121.30122014399718,118.75857375421973,120.84300994873047,16114400,369.0445861816406,84.0,,1.0,3.0,,,,,0,,
2021-03-22,121.85825622645866,124.16729361003532,121.3730796632902,123.80791473388672,7813400,371.991455078125,89.0,,1.0,3.0,,,,,0,,
2021-03-23,124.39191548070337,125.93726940766946,124.1493271861587,125.29936981201172,6978400,369.06353759765625,89.0,,1.0,3.0,,,,,0,,
2021-03-24,124.89504435694907,125.88335682742215,124.68840218927754,124.7153549194336,5082300,367.1874694824219,88.0,,1.0,3.0,,,,,0,,
2021-03-25,125.0477842795455,126.00914404458105,124.29308039692032,125.45210266113281,5827600,369.2530517578125,87.0,,1.0,3.0,,,,,0,,
2021-03-26,125.44311159464621,128.47991394769903,125.00287450969716,128.2103729248047,6785600,375.20361328125,91.0,,1.0,3.0,,,,,0,,
2021-03-29,128.36312353729474,130.24091751747176,127.95881881389052,130.10614013671875,6105800,375.0140380859375,92.0,,1.0,3.0,,,,,0,,
2021-03-30,129.09086482440267,130.05222463713272,127.68926791301331,128.06661987304688,4372700,374.01910400390625,93.0,,1.0,3.0,,,,,0,,
2021-03-31,128.76741905985125,128.7763987331995,126.83571995483155,127.08728790283203,6257900,375.53515625,92.0,,1.0,3.0,,,,,0,,
2021-04-01,126.8537273609848,127.85101974968987,125.88338770904782,126.93458557128906,4823400,379.590576171875,91.0,,1.0,3.0,,,,,0,,
2021-04-05,127.44672107640768,129.68388059159156,126.97053775818779,128.6237030029297,5980700,385.03887939453125,91.0,,1.0,3.0,,,,,0,,
2021-04-06,128.51584389579642,129.55806185270018,128.08458649306667,129.08187866210938,4751900,384.8115539550781,90.0,,1.0,3.0,,,,,0,,
2021-04-07,129.37838582636113,129.46823741140028,128.49789787257131,128.84829711914062,4849200,385.2568664550781,89.0,,1.0,3.0,,,,,0,,
2021-04-08,129.09086482440267,129.52213595823505,127.62638277438755,128.06661987304688,6725100,387.0856018066406,88.0,,1.0,3.0,,,,,0,,
2021-04-09,127.79708839947754,128.6056977576481,127.23105362310261,128.0935821533203,4950800,389.8997497558594,86.0,,1.0,3.0,,,,,0,,
2021-04-12,127.76116486804413,128.90221429644927,127.62640118766997,128.49790954589844,4386700,390.0419006347656,85.0,,1.0,3.0,,,,,0,,
2021-04-13,127.64435341849922,129.35142373533517,127.46465026142083,128.52484130859375,5283300,391.1978759765625,84.0,,1.0,3.0,,,,,0,,
2021-04-14,128.09358065039697,128.2283443053689,126.8986259750847,127.68028259277344,4685300,389.86187744140625,83.0,,1.0,3.0,,,,,0,,
2021-04-15,127.28496325300561,128.56976956172193,127.06034801177928,127.85997772216797,4777100,394.0499267578125,82.0,,1.0,3.0,,,,,0,,
2021-04-16,128.8932053627757,129.6658822768598,127.9947444724186,129.52212524414062,6481400,395.36700439453125,83.0,,1.0,3.0,,,,,0,,
2021-04-19,129.81866637116946,130.81595887188737,128.71354920183998,130.05226135253906,6621200,393.42449951171875,82.0,,1.0,3.0,,,,,0,,
2021-04-20,129.49519431343091,131.7593062674857,129.31549113756807,130.91476440429688,4999700,390.5440979003906,81.0,,1.0,3.0,,,,,0,,
2021-04-21,132.38824130276723,132.79254603369165,131.3639962533591,132.05580139160156,6316000,394.23944091796875,81.0,,1.0,3.0,,,,,0,,
2021-04-22,131.39092640449886,131.75928495280235,130.61824948533797,131.23818969726562,4904400,390.6387939453125,80.0,,1.0,3.0,,,,,0,,
