Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2021-01-11,65.84679297104314,67.08637867734677,65.46665411102643,66.75582122802734,1202300,357.6493835449219,,,,,,,,,0,,
2021-01-12,67.25165896066085,68.41687263254359,66.97895487786349,68.00367736816406,1548100,357.724853515625,147.0,,,3.0,,,,,0,,
2021-01-13,67.64831524215465,68.1524138651609,67.10289457928569,67.96234130859375,1357200,358.68829345703125,145.0,,,3.0,,,,,0,,
2021-01-14,68.30116880104988,69.87957120917258,68.03672412144961,69.34242248535156,1721900,357.4321594238281,145.0,,,3.0,,,,,0,,
2021-01-15,69.06144131007498,69.44158011456231,67.90449355888947,69.09449768066406,2242000,354.82550048828125,143.0,,,3.0,,,,,0,,
2021-01-19,69.54902401301092,70.78034403080338,69.11929744387417,70.12749481201172,1899400,357.61151123046875,143.0,,,3.0,,,,,0,,
2021-01-20,70.05311629499789,70.11922904475162,69.0945066430043,69.42506408691406,1493200,362.5603942871094,141.0,,,3.0,,,,,0,,
2021-01-21,69.26804257885426,69.71429414823571,68.44165218478305,68.4747085571289,1326200,362.8909606933594,140.0,,,3.0,,,,,0,,
2021-01-22,67.76401051641174,68.49123177415599,67.30949328978522,68.27637481689453,1375400,361.60650634765625,138.0,,,3.0,,,,,0,,
2021-01-25,67.28471303381615,67.9458279561232,66.59880740527295,67.73096466064453,1983700,363.0326232910156,137.0,,,3.0,,,,,0,,
2021-01-26,68.06979625543465,68.24333752552371,67.02027665864752,67.11944580078125,1642300,362.4659423828125,135.0,,,3.0,,,,,0,,
2021-01-27,66.11122028433071,66.2847614809942,65.25177366405154,65.48316192626953,3166500,353.60711669921875,137.0,,,3.0,,,,,1,,
2021-01-28,66.19388129728739,67.95409719068826,66.04513074720929,67.09465026855469,2157200,356.6482849121094,139.0,,,3.0,,,,,0,,
2021-01-29,66.65666335531265,66.87152035419143,64.22707317302664,64.68984985351562,3636100,349.50830078125,146.0,,,3.0,,,,,0,,
