Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2021-11-08,117.75501400056176,117.75501400056176,117.0713033825307,117.36432647705078,25800,443.3232116699219,,,,,,,,,0,,
2021-11-09,117.68663958006053,117.68663958006053,116.81734719685,117.21781158447266,60700,441.8578186035156,10.0,,,3.0,,,,,0,,
2021-11-10,116.79780943485989,117.34477788385713,115.51828331040387,115.72340393066406,51100,438.3031921386719,20.0,,,1.0,,,,,0,,
2021-11-11,116.54386589916358,116.54386589916358,116.14340895331948,116.3192138671875,28100,438.4450378417969,21.0,,,1.0,,,,,0,,
2021-11-12,116.74899435345166,117.54014637687953,116.57318196470239,117.40340423583984,37300,441.7537841796875,24.0,,,1.0,,,,,0,,
2021-11-15,117.80385386241645,117.80385386241645,116.85642096736787,117.26664733886719,34900,441.9050598144531,24.0,,,1.0,,,,,0,,
2021-11-16,117.23734760611423,118.25315157249223,117.23734760611423,118.09687805175781,35800,443.6540832519531,25.0,,,1.0,,,,,0,,
2021-11-17,118.04803213123581,118.04803213123581,117.3447826954683,117.64756774902344,215800,442.5763244628906,26.0,,,1.0,,,,,0,,
2021-11-18,118.00896980400086,118.00896980400086,116.83689230037815,117.58897399902344,31700,444.0794677734375,25.0,,,1.0,,,,,0,,
2021-11-19,117.96988905226752,117.97965847529551,117.22756939175464,117.32524871826172,29700,443.285400390625,25.0,,,1.0,,,,,0,,
2021-11-22,117.4912857496171,117.74523857238594,115.61595902429178,115.63549041748047,43700,442.0374450683594,32.0,,,1.0,,,,,0,,
2021-11-23,115.3229214410831,115.92849888007812,114.26804749646662,115.44013214111328,37900,442.6236267089844,31.0,,,1.0,,,,,0,,
2021-11-24,114.5806086749458,115.67455291748047,114.12154272091887,115.67455291748047,28300,443.8053283691406,31.0,,,1.0,,,,,0,,
2021-11-26,114.74666536537059,114.97130991788399,113.3303971895618,113.76016235351562,38300,433.9070739746094,38.0,,,1.0,,,,,0,,
2021-11-29,114.8638747289646,115.58665553701393,114.18993358373584,115.37178039550781,21500,439.2295837402344,42.0,,4.0,1.0,,,,,0,,
2021-11-30,114.89317744110517,115.0201575857787,112.50018296115013,112.51971435546875,53300,430.6833190917969,54.0,,4.0,4.0,,,,,0,,
