Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2021-07-30,21.12874393450208,21.1364328820585,21.09798961079319,21.10567855834961,2626500,414.3861083984375,,,,,,,,,0,,
2021-08-02,21.111076888028332,21.13421559891122,21.057083129882812,21.057083129882812,2304600,413.5167236328125,18.0,,,3.0,,,,,0,,
2021-08-03,21.087934720288718,21.087934720288718,21.057081147110793,21.064794540405273,3926700,416.8808898925781,18.0,,,1.0,,,,,0,,
2021-08-04,21.064797189496684,21.064797189496684,21.02623168935365,21.033945083618164,2010300,414.8302307128906,18.0,,,1.0,,,,,0,,
2021-08-05,21.041657813020716,21.07250991792439,21.041657813020716,21.057083129882812,2889100,417.45733642578125,18.0,,,1.0,,,,,0,,
2021-08-06,21.08022125154324,21.08022125154324,21.05708107174262,21.072507858276367,6592100,418.14715576171875,17.0,,,1.0,,,,,0,,
2021-08-09,21.049368129729192,21.064793444336182,21.026227951049805,21.026227951049805,2432500,417.8069152832031,17.0,,,1.0,,,,,0,,
2021-08-10,21.033941494152256,21.041654887100467,21.003087922359406,21.010801315307617,4396300,418.3267517089844,17.0,,,1.0,,,,,0,,
2021-08-11,21.01080665217169,21.049373626708984,21.01080665217169,21.049373626708984,4110800,419.36627197265625,17.0,,,1.0,,,,,0,,
2021-08-12,21.057081147110793,21.064794540405273,21.03394243840669,21.064794540405273,2480700,420.6230163574219,17.0,,,1.0,,,,,0,,
2021-08-13,21.072507858276367,21.08022125154324,21.05708107174262,21.072507858276367,1320800,421.38848876953125,17.0,,,1.0,,,,,0,,
2021-08-16,21.07250961354844,21.087936401367188,21.064796219639064,21.087936401367188,4861600,422.3807067871094,16.0,,,1.0,,,,,0,,
2021-08-17,21.057081147110793,21.064794540405273,21.03394243840669,21.064794540405273,3652900,419.6119079589844,16.0,,,1.0,,,,,1,,
2021-08-18,21.064797189496684,21.072510583761193,21.01851829508914,21.033945083618164,3424800,415.01922607421875,16.0,,,1.0,,,,,0,,
2021-08-19,21.02622810120404,21.041654887100467,21.003087922359406,21.010801315307617,5489800,415.6618347167969,16.0,,4.0,1.0,,,,,0,,
2021-08-20,21.026227951049805,21.05708005144305,21.010801165263544,21.026227951049805,7615400,418.9693298339844,16.0,,4.0,1.0,,,,,0,,
2021-08-23,21.05708107174262,21.087934644810115,21.049369149655085,21.072507858276367,4018800,422.65478515625,16.0,,4.0,1.0,,,,,0,,
2021-08-24,21.103361054502702,21.111074447631836,21.087934268244428,21.111074447631836,4527200,423.3257751464844,16.0,,1.0,1.0,,,,,0,,
2021-08-25,21.118793409719455,21.134220201120385,21.111081485198792,21.126506805419922,5450300,424.2139892578125,16.0,,1.0,1.0,,,,,0,,
2021-08-26,21.118793409719455,21.134220201120385,21.103368089498325,21.126506805419922,5366500,421.70977783203125,15.0,,1.0,1.0,,,,,0,,
2021-08-27,21.126500705362975,21.172781066202795,21.126500705362975,21.165067672729492,1625700,425.48028564453125,15.0,,1.0,1.0,,,,,0,,
2021-08-30,21.172772852426355,21.19591155269045,21.16505946194539,21.180484771728516,3903800,427.351318359375,15.0,,1.0,1.0,,,,,0,,
2021-08-31,21.188196182250977,21.188196182250977,21.17277087390929,21.188196182250977,2932700,426.7181396484375,15.0,,1.0,1.0,,,,,0,,
2021-09-01,21.203676223754883,21.21915371414364,21.188198733366125,21.203676223754883,4051400,426.9449768066406,15.0,,1.0,1.0,,,,,0,,
2021-09-02,21.219158812655024,21.234636306762695,21.21142006560119,21.234636306762695,4274500,428.2585754394531,15.0,,1.0,1.0,,,,,0,,
2021-09-03,21.226898832478945,21.24237632751465,21.21142133744324,21.24237632751465,3079500,428.1545715332031,14.0,,1.0,1.0,,,,,0,,
2021-09-07,21.242369304314366,21.242369304314366,21.18819808959961,21.18819808959961,4237900,426.62371826171875,15.0,,1.0,1.0,,,,,0,,
2021-09-08,21.211417519134006,21.21915626525879,21.18820128075965,21.21915626525879,3684600,426.10394287109375,15.0,,1.0,1.0,,,,,0,,
2021-09-09,21.234633757508362,21.234633757508362,21.20367877300922,21.21915626525879,3115900,424.2801208496094,14.0,,1.0,1.0,,,,,0,,
2021-09-10,21.24237631748265,21.25011358898168,21.19594383239746,21.19594383239746,2010300,420.93487548828125,14.0,,1.0,1.0,,,,,0,,
2021-09-13,21.22689755970886,21.24237505381653,21.21142006560119,21.234636306762695,3065700,422.01214599609375,14.0,,1.0,1.0,,,,,0,,
2021-09-14,21.234633757508362,21.257848519867817,21.21915626525879,21.21915626525879,2538900,419.7347717285156,14.0,,1.0,1.0,,,,,0,,
2021-09-15,21.234637154288915,21.26559066772461,21.234637154288915,21.26559066772461,3356500,423.2406921386719,14.0,,1.0,1.0,,,,,0,,
2021-09-16,21.265591301914785,21.265591301914785,21.234637787555986,21.25785255432129,2077200,422.5697021484375,14.0,,1.0,1.0,,,,,0,,
2021-09-17,21.250112324855287,21.257851071909123,21.234636306762695,21.234636306762695,1908600,418.4534606933594,14.0,,1.0,1.0,,,,,0,,
2021-09-20,21.17272271899209,21.211414968949263,21.17272271899209,21.203676223754883,7665700,411.47607421875,14.0,,1.0,1.0,,,,,1,,
2021-09-21,21.21915626525879,21.226895011383576,21.18820128075965,21.21915626525879,4743400,411.08746337890625,14.0,,1.0,1.0,,,,,0,,
2021-09-22,21.234636306762695,21.250112324855287,21.21142006560119,21.234636306762695,2642300,415.0974426269531,13.0,,1.0,1.0,,,,,0,,
2021-09-23,21.242373355800428,21.265588119091174,21.242373355800428,21.250110626220703,3557400,420.14093017578125,13.0,,1.0,1.0,,,,,0,,
2021-09-24,21.24237632751465,21.257852346535188,21.226898832478945,21.24237632751465,3708400,420.8329772949219,13.0,,1.0,1.0,,,,,0,,
2021-09-27,21.250110626220703,21.25784937265594,21.21915711649472,21.250110626220703,3395500,419.62896728515625,13.0,,1.0,1.0,,,,,0,,
2021-09-28,21.219150312602256,21.226889056556075,21.180458068847656,21.180458068847656,4175500,411.1727600097656,13.0,,4.0,1.0,,,,,0,,
2021-09-29,21.20367877300922,21.226895011383576,21.20367877300922,21.21915626525879,7799900,411.8647766113281,14.0,,4.0,1.0,,,,,0,,
2021-09-30,21.226898822454253,21.23463756996845,21.180467813384233,21.19594383239746,5260500,406.83087158203125,13.0,,4.0,1.0,,,,,0,,
2021-10-01,21.21224594116211,21.235539570394792,21.18895379286459,21.21224594116211,4698000,411.6656799316406,13.0,,4.0,1.0,,,,,0,,
2021-10-04,21.235544366850903,21.235544366850903,21.173429489135742,21.173429489135742,3872300,406.35687255859375,13.0,,4.0,1.0,,,,,0,,
2021-10-05,21.18895312620729,21.21224527377198,21.165659497707484,21.181188583374023,1986000,410.5849609375,13.0,,4.0,1.0,,,,,0,,
2021-10-06,21.134604589374742,21.181191853567025,21.126840045342693,21.16566276550293,3744900,412.29132080078125,13.0,,4.0,1.0,,,,,0,,
2021-10-07,21.188958578798406,21.220015277188235,21.165664944304407,21.173429489135742,3986600,415.8559265136719,13.0,,4.0,1.0,,,,,0,,
2021-10-08,21.188957490594433,21.188957490594433,21.134605679566455,21.142370223999023,3942200,415.0974426269531,13.0,,4.0,1.0,,,,,0,,
2021-10-11,21.157900017585234,21.157900017585234,21.09578514099121,21.09578514099121,2182400,412.0922546386719,13.0,,4.0,1.0,,,,,0,,
2021-10-12,21.111311350405597,21.150132587630132,21.111311350405597,21.13460350036621,2867100,411.07794189453125,13.0,,4.0,1.0,,,,,0,,
2021-10-13,21.134608127919844,21.165666309248074,21.119080518191325,21.157901763916016,4544400,412.5567626953125,13.0,,4.0,1.0,,,,,0,,
2021-10-14,21.1811941429613,21.243309020996094,21.1811941429613,21.243309020996094,9777700,419.4963073730469,14.0,,4.0,1.0,,,,,0,,
2021-10-15,21.251068656549915,21.251068656549915,21.21224594116211,21.21224594116211,2649900,422.6910705566406,14.0,,4.0,1.0,,,,,0,,
2021-10-18,21.19672420850125,21.220017845814883,21.181196597894512,21.20448875427246,3633100,423.9424743652344,14.0,,1.0,1.0,,,,,0,,
2021-10-19,21.220016479492188,21.227781024763452,21.212251934220927,21.220016479492188,1438700,427.2131042480469,13.0,,1.0,1.0,,,,,0,,
2021-10-20,21.235544476124804,21.243309020996094,21.22777993125352,21.243309020996094,1215000,428.89111328125,13.0,,1.0,1.0,,,,,0,,
2021-10-21,21.251076028899725,21.251076028899725,21.20448875427246,21.20448875427246,3041700,430.009765625,13.0,,1.0,1.0,,,,,0,,
2021-10-22,21.21224745696879,21.21224745696879,21.173426219742023,21.188955307006836,3324100,429.56414794921875,13.0,,1.0,1.0,,,,,0,,
2021-10-25,21.204487388949662,21.220016479492188,21.17343068880019,21.220016479492188,2097900,431.8678283691406,13.0,,1.0,1.0,,,,,0,,
2021-10-26,21.220011030453044,21.235540117007893,21.21224648717562,21.22777557373047,3002700,432.2565612792969,13.0,,1.0,1.0,,,,,0,,
2021-10-27,21.21224594116211,21.22777502731723,21.196716855006986,21.21224594116211,2738000,430.34149169921875,13.0,,1.0,1.0,,,,,0,,
2021-10-28,21.220011030453044,21.22777557373047,21.204481943898195,21.22777557373047,3017800,434.4938049316406,13.0,,1.0,1.0,,,,,0,,
2021-10-29,21.212253300043674,21.220017845814883,21.19672420850125,21.20448875427246,1693000,435.3754577636719,13.0,,1.0,1.0,,,,,0,,
2021-11-01,21.221621140947995,21.221621140947995,21.182668685913086,21.182668685913086,2816800,436.1244812011719,12.0,,1.0,1.0,,,,,0,,
2021-11-02,21.182673089255772,21.221625552387913,21.1748822994411,21.213834762573242,4405000,437.8877258300781,12.0,,1.0,1.0,,,,,0,,
2021-11-03,21.213834594935637,21.252788543701172,21.198253015429422,21.252788543701172,2490800,440.5611572265625,12.0,,1.0,1.0,,,,,0,,
2021-11-04,21.268363507869836,21.283945083618164,21.252783418062357,21.283945083618164,4649500,442.6372985839844,12.0,,1.0,1.0,,,,,0,,
2021-11-05,21.299528406555012,21.322900772094727,21.291737618041775,21.322900772094727,2928800,444.1730651855469,12.0,,1.0,1.0,,,,,0,,
2021-11-08,21.338480578052973,21.338480578052973,21.291737333539103,21.299528121948242,3175500,444.55230712890625,12.0,,1.0,1.0,,,,,0,,
2021-11-09,21.30732536315918,21.31511615392771,21.283952990853578,21.30732536315918,1886300,443.0828552246094,12.0,,1.0,1.0,,,,,0,,
2021-11-10,21.291741456202015,21.29953224611966,21.237207412719727,21.237207412719727,5531500,439.518310546875,13.0,,1.0,1.0,,,,,0,,
2021-11-11,21.252788992555022,21.252788992555022,21.22941662280208,21.237207412719727,1333200,439.6605224609375,13.0,,1.0,1.0,,,,,0,,
2021-11-12,21.244995564106187,21.26057714200632,21.229413986206055,21.229413986206055,1601600,442.97857666015625,12.0,,1.0,1.0,,,,,0,,
2021-11-15,21.244997921831928,21.244997921831928,21.206043972758568,21.213834762573242,2426600,443.1302490234375,12.0,,4.0,1.0,,,,,0,,
