Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2021-01-19,51.5872602816343,52.29721423169394,51.22800392024135,52.22878646850586,6270300,357.611572265625,,,,,,,,,0,,
2021-01-20,51.9892816141542,52.28866246187436,51.45895420846805,51.87808609008789,5151000,362.5604553222656,53.0,,,3.0,,,,,0,,
2021-01-21,51.322095181027066,51.826762580826006,50.98850208442575,51.219451904296875,3530400,362.89093017578125,55.0,,,1.0,,,,,0,,
2021-01-22,51.08259184904293,51.783993538105925,51.00560857765939,51.44184494018555,3079400,361.60650634765625,55.0,,,1.0,,,,,0,,
2021-01-25,51.210901371666765,52.211684021707285,50.962847034041424,52.194576263427734,4013100,363.0326843261719,58.0,,,1.0,,,,,0,,
2021-01-26,52.08337311216042,52.12614087279847,51.05693054199219,51.05693054199219,3222800,362.46600341796875,64.0,,,1.0,,,,,0,,
2021-01-27,50.8944101718308,51.048376715741234,49.722556599153265,50.07325744628906,5062700,353.607177734375,69.0,,,1.0,,,,,1,,
2021-01-28,50.25288845073283,51.55304867965302,50.167352924515804,50.500946044921875,2764400,356.6482849121094,69.0,,,1.0,,,,,0,,
2021-01-29,50.2614451736792,50.697684879955936,49.79099321165194,50.3983039855957,3464500,349.50830078125,68.0,,,1.0,,,,,0,,
2021-02-01,50.71478426435757,51.125360632305146,50.15024135055828,50.56081771850586,3257200,355.32598876953125,67.0,,,1.0,,,,,0,,
2021-02-02,50.723338623667395,51.92085552728358,50.41540551913917,51.014163970947266,3391700,360.3504333496094,67.0,,,1.0,,,,,0,,
2021-02-03,50.9799458870822,51.22800346022472,50.73189157691058,50.85164260864258,3165000,360.6336975097656,66.0,,,1.0,,,,,0,,
2021-02-04,50.937180937300035,51.72412145961515,50.851645413622144,51.61292266845703,3223600,364.7325744628906,68.0,,,1.0,,,,,0,,
2021-02-05,51.86097560448188,52.38275073584994,51.61291803990186,52.0748176574707,3087200,366.16827392578125,68.0,,,1.0,,,,,0,,
2021-02-08,52.126140681441676,52.416966020872195,51.86097860867656,51.94651412963867,3550200,368.8126220703125,67.0,,1.0,1.0,,,,,0,,
2021-02-09,52.03204412526365,52.08336412398449,51.67278781936572,51.86952209472656,2077400,368.5670471191406,66.0,,1.0,1.0,,,,,0,,
2021-02-10,52.10902490525623,52.36563795459263,51.81820287355318,52.11758041381836,3022400,368.4064636230469,66.0,,1.0,1.0,,,,,0,,
2021-02-11,52.16035271782941,52.62225233136332,51.83531188649398,52.42551803588867,4502600,369.0014953613281,65.0,,1.0,1.0,,,,,0,,
2021-02-12,52.252639950838,52.46873854178655,51.44010713853368,51.95009994506836,4867000,370.8241882324219,65.0,,1.0,1.0,,,,,0,,
2021-02-16,51.872302251284054,51.95009787281843,51.249940576411696,51.258583068847656,3039600,370.50311279296875,67.0,,1.0,1.0,,,,,0,,
2021-02-17,51.319092689345894,51.37095753847521,50.938760354606096,51.2326545715332,2933200,370.58819580078125,66.0,,1.0,1.0,,,,,0,,
2021-02-18,51.275876984664315,52.15755969312115,51.21536963875676,51.734004974365234,4530700,369.0109558105469,66.0,,1.0,1.0,,,,,0,,
2021-02-19,51.65620965761029,51.751293572442634,51.0684244791435,51.267234802246094,3194800,368.3592834472656,67.0,,1.0,1.0,,,,,0,,
2021-02-22,51.275873555366296,51.49197214698446,50.51520558959756,51.249942779541016,4076100,365.5259704589844,66.0,,1.0,1.0,,,,,0,,
2021-02-23,51.189443363503834,52.114345215042846,50.921479881342655,50.93012237548828,3990600,365.9698486328125,65.0,,1.0,1.0,,,,,0,,
2021-02-24,50.80045785289535,50.93876082110393,50.2558884729603,50.46334457397461,5076900,370.0025939941406,65.0,,4.0,1.0,,,,,0,,
2021-02-25,50.376907075809584,50.696735393805,49.80640687540568,49.92742156982422,4064300,361.0870361328125,66.0,,4.0,1.0,,,,,0,,
2021-02-26,50.17809672061871,50.428771900285355,49.00251975139881,49.0284538269043,6092400,359.22650146484375,70.0,,4.0,1.0,,,,,0,,
2021-03-01,49.503866282470135,50.63622410148355,49.503866282470135,49.944705963134766,3210700,367.934326171875,73.0,,4.0,1.0,,,,,0,,
2021-03-02,49.97065345410233,50.4201390457579,49.36557656928123,49.98794174194336,3574200,365.0632019042969,72.0,,4.0,1.0,,,,,0,,
2021-03-03,49.70267998545129,49.94470937195059,49.32234762132338,49.78047561645508,3859400,360.2276611328125,71.0,,4.0,1.0,,,,,0,,
2021-03-04,49.97064850152433,50.73131330671793,49.28777603779977,49.6248893737793,4843400,355.7699279785156,70.0,,4.0,1.0,,,,,0,,
2021-03-05,49.76318944427847,50.68809126469041,49.32234971481426,50.437416076660156,4435200,362.3148498535156,73.0,,4.0,1.0,,,,,0,,
2021-03-08,51.12892587831587,51.75128755294993,50.66215214928831,51.526546478271484,7440100,360.5109558105469,77.0,,4.0,4.0,,,,,0,,
2021-03-09,51.60434719914052,51.82908829602711,51.2067265598934,51.35367202758789,4703100,365.658203125,76.0,,1.0,4.0,,,,,0,,
2021-03-10,51.35367124118052,52.03654360947577,51.24994483631382,51.67349624633789,4075700,367.934326171875,76.0,,1.0,4.0,,,,,0,,
2021-03-11,51.49197767479884,51.99332804392777,51.21537171162535,51.241302490234375,3351000,371.6648254394531,75.0,,1.0,1.0,,,,,0,,
2021-03-12,51.50062357602592,52.05383550355545,51.284524960747,51.725364685058594,4062400,372.1653747558594,75.0,,1.0,1.0,,,,,0,,
2021-03-15,51.86365979105743,52.84042630706177,51.742645112462725,52.71076583862305,3470200,374.38482666015625,78.0,,1.0,4.0,,,,,0,,
2021-03-16,52.53789022627039,53.11703618505556,52.399587255089344,52.944156646728516,4410500,373.91253662109375,78.0,,1.0,4.0,,,,,0,,
