Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2023-11-30,31.932923299483672,32.47514528702512,31.497209532136534,31.942607879638672,11873200,448.8001708984375,,,,,,,,,0,,
2023-12-01,32.010388051860616,32.668799205516706,31.845783416653873,31.932926177978516,7204000,451.4552001953125,2.0,,,3.0,,,,,0,,
2023-12-04,31.535943013056823,31.913560410733204,31.371342072976518,31.54562759399414,4179800,449.0853271484375,17.0,,,1.0,,,,,0,,
2023-12-05,31.46816669726446,31.623086754799882,30.993721943420383,31.003406524658203,4903200,448.996826171875,29.0,,,1.0,,,,,0,,
2023-12-06,30.751659819056815,30.925945338962396,29.279917480734902,29.3089656829834,8648700,447.1874694824219,82.0,,,4.0,,,,,1,,
2023-12-07,29.434838728690078,29.66721881574375,28.863570322135843,29.279918670654297,5301000,450.5997314453125,80.0,,,4.0,,,,,0,,
2023-12-08,29.405791872410116,29.82213836706152,29.34769546653926,29.7640438079834,5660500,452.5368957519531,82.0,,,4.0,,,,,0,,
2023-12-11,29.61880667034648,29.686583964156213,29.144363766885586,29.318649291992188,8922500,454.29705810546875,84.0,,,4.0,,,,,0,,
2023-12-12,28.9216656720335,29.03785478791775,28.515000072853233,28.650554656982422,4338900,456.3719482421875,88.0,,,4.0,,,,,1,,
2023-12-13,28.63118921778871,29.589757735373542,28.592460128052227,29.502614974975586,5278200,462.6653137207031,96.0,,,4.0,,,,,0,,
2023-12-14,30.24816863044335,30.43213688384143,30.04483675573443,30.28689956665039,8983300,464.15020751953125,101.0,,,4.0,,,,,0,,
2023-12-15,30.277218014525282,30.344995308740735,29.90928149336604,29.938329696655273,4719700,463.385986328125,100.0,,,4.0,,,,,0,,
2023-12-18,30.51927995287309,30.69356547398606,30.18039164479707,30.461183547973633,3785400,465.9925842285156,102.0,,,4.0,,,,,0,,
2023-12-19,30.587056324709266,31.12927834003153,30.587056324709266,31.109912872314453,3010800,468.8262023925781,104.0,,,4.0,,,,,0,,
2023-12-20,31.274512159217547,31.584352239190153,30.73229201926549,30.751657485961914,2750200,462.32958984375,104.0,,,4.0,,,,,0,,
2023-12-21,30.838804047833726,30.984041372408335,30.577375755523764,30.964675903320312,8013600,466.7133483886719,103.0,,,4.0,,,,,0,,
2023-12-22,31.197057519973857,31.381023934051694,30.974358321323027,31.003406524658203,2067000,467.65130615234375,101.0,,,4.0,,,,,0,,
2023-12-26,31.28420014295832,31.816737607500183,31.28420014295832,31.66181755065918,1623000,469.6259460449219,104.0,,1.0,4.0,,,,,0,,
2023-12-27,31.54562946153996,31.584356706825712,31.2842011645366,31.332612991333008,3605000,470.4750671386719,103.0,,1.0,4.0,,,,,0,,
2023-12-28,31.109914893098665,31.390704959272117,30.86785022449688,30.877532958984375,2106800,470.65277099609375,104.0,,1.0,4.0,,,,,0,,
2023-12-29,31.02277183532715,31.1970573608638,30.780709015813517,31.02277183532715,1726400,469.290283203125,102.0,,1.0,4.0,,,,,0,,
2024-01-02,31.17769032001989,31.400387659513246,30.974356601548777,31.090547561645508,5868600,466.6639404296875,101.0,,1.0,4.0,,,,,0,,
2024-01-03,31.68118351347334,32.90117851842169,31.51657887287121,32.881813049316406,6652500,462.8528137207031,125.0,,1.0,4.0,,,,,0,,
2024-01-04,33.07545963086374,33.22069878296964,32.4751449430905,32.62038040161133,4862500,461.3619689941406,124.0,,1.0,4.0,,,,,0,,
2024-01-05,32.97863795008554,33.19165070728157,32.61070145153198,32.726890563964844,3460000,461.993896484375,122.0,,1.0,4.0,,,,-1.0,0,,
2024-01-08,31.942607136105764,32.049111660235845,31.584351550412226,32.02006530761719,4148000,468.5892639160156,124.0,,1.0,4.0,,,,-1.0,1,,
2024-01-09,32.020069489556725,32.09753136476998,31.5456284314248,31.66181755065918,4586500,467.8783874511719,123.0,,1.0,4.0,,,,-1.0,0,,
2024-01-10,31.71022689979097,31.894193298679234,31.187370363685112,31.400386810302734,3702100,470.5244140625,122.0,,1.0,4.0,,,,-1.0,0,,
