Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2022-05-02,231.80750557311086,233.75441893383396,220.73983038997162,227.27110290527344,1911600,392.2115478515625,,,,,,,,,0,,
2022-05-03,227.27113425917628,230.26343212605218,226.82995500826314,228.13429260253906,1148100,394.00946044921875,30.0,,,3.0,,,,,0,,
2022-05-04,228.7097509736247,237.60993212422667,226.44634195308475,235.9027862548828,1654400,406.00811767578125,54.0,,,1.0,,,,,0,,
2022-05-05,234.0325475820766,236.6987642249854,228.17262223361206,231.48141479492188,1879900,391.5775451660156,59.0,,,1.0,,,,,0,,
2022-05-06,230.1387613389328,231.32800041472478,225.55438694683025,230.25384521484375,1506300,389.2402648925781,59.0,,,1.0,,,,,0,,
2022-05-09,225.8612481584478,226.82031927589344,218.5147598865909,219.63687133789062,2011000,376.7779235839844,87.0,,,4.0,,,,,0,,
2022-05-10,222.02498739947666,223.81844589766516,214.8511387724572,218.1982879638672,1858000,377.6483154296875,86.0,,,4.0,,,,,0,,
2022-05-11,217.881792617531,223.5307361491763,216.78845201269186,217.4406280517578,1429600,371.6490173339844,85.0,,,4.0,,,,,0,,
2022-05-12,214.87029985300563,219.14776373746102,214.87029985300563,218.66822814941406,1375500,371.26104736328125,84.0,,,4.0,,,,,0,,
2022-05-13,222.22643097786846,226.22575678779475,221.09471916470994,223.7225799560547,1261300,380.1370544433594,88.0,,,4.0,,,,,0,,
2022-05-16,222.47573489760356,225.66944356974085,221.99619932462673,224.27879333496094,985500,378.59466552734375,87.0,,,4.0,,,,,0,,
2022-05-17,227.8369635173206,229.70714952557717,226.01473399835595,229.34271240234375,1058400,386.3824768066406,91.0,,,4.0,,,,,0,,
2022-05-18,226.46550552916068,227.6547445478035,221.73727651938563,222.70594787597656,1101300,370.8067932128906,98.0,,,4.0,,,,,0,,
2022-05-19,219.28204489998728,222.75387806104348,217.92016551286434,221.06591796875,1920100,368.5357971191406,97.0,,,4.0,,,,,0,,
2022-05-20,223.50198366705115,224.48984063302035,217.40228922193543,222.74432373046875,1086600,368.69671630859375,96.0,,,4.0,,,,,0,,
2022-05-23,225.38173685676807,225.91881439885918,221.15222926140245,223.5115509033203,925000,375.5950012207031,95.0,,,4.0,,,,,0,,
2022-05-24,222.85938883903515,224.66244752992463,220.26989930769932,223.73214721679688,771800,372.7278137207031,94.0,,,4.0,,,,,0,,
2022-05-25,222.84022361333777,226.89709113667374,221.5646570213303,225.39134216308594,1115400,376.020751953125,93.0,,,4.0,,,,,0,,
2022-05-26,226.28325942460262,227.61636779636322,223.30054743154994,225.32418823242188,907900,383.5341491699219,91.0,,,4.0,,,,,0,,
2022-05-27,227.3574205580823,228.80562746294046,226.50384775958128,226.82034301757812,1021300,392.94964599609375,90.0,,,4.0,,,,,0,,
2022-05-31,224.85423467637324,225.65026550994577,222.04416315026606,224.90219116210938,2090100,390.74481201171875,90.0,,,4.0,,,,,1,,
