Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2021-05-18,22.146427783298307,22.173100125502803,22.137537002563477,22.137537002563477,141000,389.155517578125,,,,,,,,,0,,
2021-05-19,22.164207293979675,22.23533183753435,22.119753394418705,22.21755027770996,13900,388.1351623535156,29.0,,,3.0,,,,,0,,
2021-05-20,22.190877425824304,22.190877425824304,22.119752883911133,22.119752883911133,22700,392.31072998046875,29.0,,,1.0,,,,,0,,
2021-05-21,22.101973020239967,22.146425223032136,22.101973020239967,22.119752883911133,8400,391.98956298828125,28.0,,,1.0,,,,,0,,
2021-05-24,22.119752883911133,22.119752883911133,22.075300681118964,22.119752883911133,25600,395.985595703125,28.0,,,1.0,,,,,0,,
2021-05-25,22.075302921353778,22.075302921353778,22.01306915283203,22.01306915283203,166900,395.1070556640625,28.0,,,1.0,,,,,0,,
2021-05-26,22.075302101579453,22.075302101579453,22.00417755508969,22.048629760742188,24800,395.8910827636719,28.0,,,1.0,,,,,0,,
2021-05-27,22.093079866829708,22.101970645581474,22.066407530574406,22.075298309326172,26100,396.0989685058594,28.0,,,1.0,,,,,0,,
2021-05-28,22.048630579526026,22.057521360135276,22.01306915283203,22.01306915283203,9800,396.80743408203125,28.0,,,1.0,,,,,1,,
2021-06-01,22.05752309808476,22.110867785943388,22.00418010596928,22.06641387939453,744900,396.4579772949219,27.0,,,1.0,,,,,0,,
2021-06-02,22.03974195422213,22.05752182006836,22.030851173427493,22.05752182006836,33600,397.0815124511719,27.0,,,1.0,,,,,0,,
2021-06-03,22.057521213127163,22.11086589642714,22.057521213127163,22.09308433532715,28900,395.60772705078125,27.0,,,1.0,,,,,0,,
2021-06-04,22.0575194250936,22.0575194250936,21.96861332254357,21.98639488220215,113800,399.2259216308594,27.0,,,1.0,,,,,1,,
2021-06-07,22.013068502221277,22.013068502221277,21.986396161181844,21.99528694152832,19200,398.838623046875,27.0,,,1.0,,,,,0,,
2021-06-08,21.93305015563965,21.950831713884874,21.924159376517036,21.93305015563965,33400,398.923583984375,27.0,,4.0,1.0,,,,,1,,
2021-06-09,21.8619257780507,21.906377978245658,21.835253440488085,21.87970733642578,79200,398.3284606933594,26.0,,4.0,1.0,,,,,1,,
2021-06-10,21.93305365670474,21.941944437246544,21.80858612060547,21.80858612060547,55000,400.1800231933594,26.0,,4.0,1.0,,,,,0,,
2021-06-11,21.817476711352146,21.85303813746701,21.799695150423222,21.835256576538086,35000,400.8412780761719,26.0,,4.0,1.0,,,,,0,,
2021-06-14,21.861927496018904,21.915270479593232,21.853036716132703,21.90637969970703,19000,401.73876953125,26.0,,4.0,1.0,,,,,0,,
2021-06-15,21.92416188815292,21.95083422857635,21.87970968319013,21.897489547729492,114800,401.001953125,26.0,,4.0,1.0,,,,,0,,
2021-06-16,21.87081691294551,22.039738328770614,21.86192613361337,22.030847549438477,28900,398.762939453125,27.0,,4.0,1.0,,,,,0,,
2021-06-17,22.013069321940453,22.021960102618003,21.888601783940775,21.959726333618164,74800,398.6307373046875,27.0,,4.0,1.0,,,,,0,,
2021-06-18,21.933053465904184,21.968614892019048,21.835256576538086,21.835256576538086,163600,393.2530212402344,27.0,,4.0,1.0,,,,,0,,
2021-06-21,21.888603018587823,21.915273666381836,21.87082145622973,21.915273666381836,67700,398.8828430175781,27.0,,4.0,1.0,,,,,0,,
2021-06-22,21.88860000030544,21.924161424374834,21.853036880493164,21.853036880493164,40700,401.0152893066406,27.0,,4.0,1.0,,,,,0,,
2021-06-23,21.89748891982083,21.90637969970703,21.879709055791306,21.90637969970703,8800,400.531982421875,27.0,,4.0,1.0,,,,,0,,
2021-06-24,21.888603018587823,21.915273666381836,21.87971223740878,21.915273666381836,41200,402.90142822265625,27.0,,4.0,1.0,,,,,0,,
2021-06-25,21.87971100326322,21.977506199230245,21.87971100326322,21.959726333618164,16400,404.33258056640625,26.0,,4.0,1.0,,,,,0,,
2021-06-28,21.941946182666207,21.941946182666207,21.84414928466989,21.86193084716797,46100,405.147705078125,27.0,,4.0,1.0,,,,,0,,
2021-06-29,21.8708184403993,21.87970922035237,21.853036880493164,21.853036880493164,4100,405.36566162109375,26.0,,4.0,1.0,,,,,0,,
2021-06-30,21.80858612060547,21.80858612060547,21.79080455952186,21.80858612060547,20900,405.7068786621094,26.0,,4.0,1.0,,,,,1,,
2021-07-01,21.826364517211914,21.861927636986028,21.808584653067744,21.826364517211914,19800,407.9530944824219,26.0,,4.0,1.0,,,,,0,,
2021-07-02,21.799691474171404,21.799691474171404,21.73745771715812,21.755237579345703,62300,411.0712585449219,26.0,,4.0,1.0,,,,,1,,
2021-07-06,21.719679652519474,21.719679652519474,21.62188276391643,21.630773544311523,27400,410.3224792480469,26.0,,4.0,1.0,,,,,1,,
2021-07-07,21.54186504762668,21.612989587158435,21.53297426821736,21.559646606445312,59400,411.7726135253906,26.0,,4.0,1.0,,,,,1,,
2021-07-08,21.577431962731474,21.577431962731474,21.497416629708294,21.532978057861328,412000,408.41754150390625,26.0,,4.0,1.0,,,,,0,,
2021-07-09,21.621885318627147,21.648557662963867,21.604103755736002,21.648557662963867,37200,412.77734375,27.0,,4.0,1.0,,,,,0,,
2021-07-12,21.621882785976123,21.657445907592773,21.621882785976123,21.657445907592773,44300,414.255859375,26.0,,4.0,1.0,,,,,0,,
2021-07-13,21.675226881837172,21.728571566991942,21.61299311156634,21.719680786132812,137500,412.8436279296875,26.0,,4.0,1.0,,,,,0,,
2021-07-14,21.6396651443175,21.648555925049337,21.595212936401367,21.595212936401367,36400,413.459716796875,27.0,,4.0,1.0,,,,,0,,
2021-07-15,21.550757900160065,21.595211801482996,21.497414914315492,21.506305694580078,13400,412.0475158691406,27.0,,4.0,1.0,,,,,1,,
2021-07-16,21.559650400783415,21.559650400783415,21.435182858633173,21.532978057861328,32300,408.8155517578125,27.0,,4.0,1.0,,,,,0,,
2021-07-19,21.381834844859366,21.381834844859366,21.319601083470484,21.34627342224121,128800,402.7782287597656,29.0,,4.0,1.0,,,,,1,,
2021-07-20,21.25736986877199,21.39072818711668,21.239588307461222,21.364057540893555,32400,408.55023193359375,29.0,,4.0,1.0,,,,,0,,
2021-07-21,21.47074320102925,21.524086188432833,21.444072555198954,21.49741554260254,31100,411.8580017089844,29.0,,4.0,1.0,,,,,0,,
2021-07-22,21.49741442876602,21.49741442876602,21.3996175438074,21.4351806640625,12100,412.720458984375,29.0,,4.0,1.0,,,,,0,,
2021-07-23,21.550756593760486,21.550756593760486,21.461850492247027,21.470741271972656,76900,416.96649169921875,29.0,,4.0,1.0,,,,,0,,
2021-07-26,21.470741923285704,21.488523483276367,21.444071279042603,21.488523483276367,64100,417.9901123046875,28.0,,4.0,1.0,,,,,0,,
2021-07-27,21.381836777521986,21.39072755791585,21.35516613208337,21.372947692871094,42700,416.0850830078125,29.0,,4.0,1.0,,,,,1,,
2021-07-28,21.39961577512073,21.426288113107578,21.35516357421875,21.35516357421875,46900,415.9143981933594,29.0,,4.0,1.0,,,,,0,,
2021-07-29,21.4262892564333,21.44407081604004,21.390726137219826,21.44407081604004,495000,417.6394348144531,29.0,,4.0,1.0,,,,,0,,
2021-07-30,21.37294685319833,21.399617497589148,21.364056073153755,21.3818359375,76000,415.6111755371094,29.0,,4.0,1.0,,,,,0,,
2021-08-02,21.346274214749194,21.346274214749194,21.23069577152786,21.284040451049805,65900,414.7391662597656,29.0,,4.0,1.0,,,,,1,,
2021-08-03,21.31071172406029,21.31071172406029,21.23958717834131,21.275150299072266,42500,418.11328125,28.0,,4.0,1.0,,,,,0,,
2021-08-04,21.212916533536024,21.328493284425765,21.168462632622333,21.275150299072266,35600,416.0566101074219,28.0,,4.0,1.0,,,,,0,,
2021-08-05,21.319601083470484,21.355164201831453,21.319601083470484,21.34627342224121,9400,418.6914978027344,28.0,,4.0,1.0,,,,,0,,
2021-08-06,21.50630439087518,21.50630439087518,21.43517984881298,21.470741271972656,41400,419.38336181640625,29.0,,1.0,1.0,,,,,0,,
2021-08-09,21.45296101299256,21.515196474844664,21.44407192847092,21.506305694580078,28200,419.04217529296875,28.0,,1.0,1.0,,,,,0,,
2021-08-10,21.497412846322874,21.559646606445312,21.497412846322874,21.559646606445312,282300,419.56341552734375,28.0,,1.0,1.0,,,,,0,,
2021-08-11,21.59521098205359,21.59521098205359,21.50630487852421,21.541866302490234,166600,420.6059875488281,28.0,,1.0,1.0,,,,,0,,
2021-08-12,21.550756454467773,21.57742879347227,21.532974895131442,21.550756454467773,29300,421.86651611328125,27.0,,1.0,1.0,,,,,0,,
2021-08-13,21.532975853278217,21.532975853278217,21.4351806640625,21.4351806640625,16600,422.63427734375,28.0,,1.0,1.0,,,,,0,,
2021-08-16,21.372947692871094,21.372947692871094,21.319603010507915,21.372947692871094,19500,423.62933349609375,28.0,,1.0,1.0,,,,,1,,
2021-08-17,21.372946225653344,21.39072608947754,21.346273886302765,21.39072608947754,21200,420.8524169921875,27.0,,1.0,1.0,,,,,0,,
2021-08-18,21.399620056152344,21.42629239947504,21.381838493937213,21.399620056152344,5000,416.2462158203125,27.0,,1.0,1.0,,,,,0,,
2021-08-19,21.346274678513097,21.35516545862658,21.328493118286133,21.328493118286133,49700,416.8907165527344,27.0,,1.0,1.0,,,,,1,,
2021-08-20,21.364054981421695,21.381834844859366,21.33738264265097,21.34627342224121,51600,420.2078552246094,27.0,,1.0,1.0,,,,,0,,
2021-08-23,21.3640543535477,21.372945132876648,21.35516357421875,21.35516357421875,20300,423.9041748046875,26.0,,1.0,1.0,,,,,0,,
2021-08-24,21.381838493937213,21.40851083725991,21.36405862746519,21.399620056152344,86200,424.5771789550781,26.0,,1.0,1.0,,,,,0,,
2021-08-25,21.40850815906128,21.51519582326236,21.40850815906128,21.488523483276367,127600,425.46807861328125,26.0,,1.0,1.0,,,,,0,,
2021-08-26,21.515196474844664,21.54186711989548,21.47963335378632,21.506305694580078,401100,422.9565124511719,26.0,,1.0,1.0,,,,,0,,
2021-08-27,21.51519535872413,21.53297522258801,21.43518003623667,21.44407081604004,33600,426.7381286621094,26.0,,1.0,1.0,,,,,0,,
2021-08-30,21.426291309738208,21.435182090393592,21.364057540893555,21.364057540893555,40400,428.6147155761719,26.0,,1.0,1.0,,,,,0,,
2021-08-31,21.390728018351712,21.444072701863135,21.372948152924245,21.417400360107422,66600,427.979736328125,26.0,,1.0,1.0,,,,,0,,
2021-09-01,21.399616266137482,21.444070163802227,21.399616266137482,21.426288604736328,52200,428.2071838378906,25.0,,1.0,1.0,,,,,0,,
2021-09-02,21.39072927504478,21.40851083725991,21.39072927504478,21.399620056152344,23800,429.52459716796875,25.0,,1.0,1.0,,,,,0,,
2021-09-03,21.426289883998724,21.470742088574696,21.417399103934947,21.4351806640625,66300,429.4202880859375,25.0,,1.0,1.0,,,,,0,,
2021-09-07,21.515196913832145,21.541867559427136,21.497415352940166,21.524085998535156,43900,427.8848876953125,25.0,,1.0,1.0,,,,,0,,
2021-09-08,21.488524089001366,21.488524089001366,21.444071883514574,21.452960968017578,8100,427.3636474609375,25.0,,1.0,1.0,,,,,1,,
2021-09-09,21.435183180582605,21.461853828162198,21.372949408572754,21.399620056152344,16100,425.5344543457031,25.0,,1.0,1.0,,,,,0,,
2021-09-10,21.435182380759336,21.479634588895387,21.426291599983518,21.46185302734375,10100,422.17926025390625,25.0,,1.0,1.0,,,,,0,,
2021-09-13,21.4351806640625,21.4351806640625,21.417399103934947,21.4351806640625,4100,423.259765625,25.0,,1.0,1.0,,,,,0,,
2021-09-14,21.408509748427445,21.408509748427445,21.34627597958279,21.364057540893555,14400,420.9755859375,25.0,,1.0,1.0,,,,,1,,
2021-09-15,21.37294685319833,21.408508277633718,21.355165293109184,21.3818359375,10700,424.49188232421875,24.0,,4.0,1.0,,,,,0,,
2021-09-16,21.461851748263527,21.470742528509472,21.408508762530783,21.452960968017578,42200,423.8189697265625,24.0,,4.0,1.0,,,,,0,,
2021-09-17,21.506306133386154,21.541867559427136,21.497415352940166,21.524085998535156,97000,419.69049072265625,24.0,,1.0,1.0,,,,,0,,
2021-09-20,21.444071420997997,21.444071420997997,21.37294687630741,21.40850830078125,40500,412.6925354003906,25.0,,1.0,1.0,,,,,1,,
2021-09-21,21.408509579522185,21.479634128461075,21.390728018351712,21.417400360107422,22900,412.30267333984375,25.0,,1.0,1.0,,,,,0,,
2021-09-22,21.417401618367474,21.45296304705463,21.381838493937213,21.399620056152344,238400,416.32464599609375,24.0,,1.0,1.0,,,,,0,,
2021-09-23,21.47963193703201,21.58631959742719,21.47963193703201,21.577428817749023,77900,421.3829650878906,27.0,,1.0,1.0,,,,,0,,
2021-09-24,21.63077291615216,21.65744525656287,21.60410057574145,21.639663696289062,39200,422.0771179199219,26.0,,1.0,1.0,,,,,0,,
2021-09-27,21.719681415271936,21.719681415271936,21.68411829080529,21.710790634155273,29600,420.8695068359375,26.0,,1.0,1.0,,,,,0,,
2021-09-28,21.79969596862793,21.835257396077516,21.73746219878387,21.79969596862793,68700,412.38824462890625,27.0,,1.0,1.0,,,,,0,,
2021-09-29,21.755242672322638,21.799696577555153,21.728572024926223,21.76413345336914,64200,413.0823974609375,26.0,,1.0,1.0,,,,,0,,
2021-09-30,21.773021674720635,21.79969401472447,21.737460250458415,21.746349334716797,37700,408.0335388183594,26.0,,1.0,1.0,,,,,0,,
2021-10-01,21.710788894274778,21.710788894274778,21.648555127188608,21.657445907592773,96800,412.8826599121094,26.0,,1.0,1.0,,,,,1,,
2021-10-04,21.675222396850586,21.719676291947927,21.630770197495952,21.675222396850586,152400,407.5581359863281,26.0,,1.0,1.0,,,,,0,,
2021-10-05,21.710788749053812,21.773022515723703,21.710788749053812,21.73746109008789,54600,411.79876708984375,26.0,,1.0,1.0,,,,,0,,
2021-10-06,21.728571566991942,21.755242213826264,21.701899224414557,21.719680786132812,68800,413.51019287109375,25.0,,1.0,1.0,,,,,0,,
2021-10-07,21.781911222454823,21.808583560949728,21.773020442956522,21.790802001953125,110700,417.08526611328125,25.0,,1.0,1.0,,,,,0,,
2021-10-08,21.826367722171806,21.870821628417012,21.826367722171806,21.86193084716797,66300,416.32464599609375,25.0,,1.0,1.0,,,,,0,,
