Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2022-04-18,67.4500536945363,67.74219342294727,67.35267153366354,67.48546600341797,74200,414.43951416015625,,,,,,,,,0,,
2022-04-19,67.2906950128906,67.4323374801726,67.13134301581918,67.41463470458984,105200,421.129638671875,8.0,,,3.0,,,,,0,,
2022-04-20,67.5208730800876,67.5208730800876,67.140199193788,67.3172607421875,74500,420.8173828125,8.0,,,1.0,,,,,0,,
2022-04-21,67.77760764891069,67.78646241493338,66.9454420063794,67.06938171386719,135500,414.524658203125,10.0,,,1.0,,,,,0,,
2022-04-22,67.29069687679669,67.50316396070822,66.93658056747292,66.99855041503906,59500,403.15045166015625,10.0,,,1.0,,,,,0,,
2022-04-25,66.36999809437673,66.85690211651628,66.23720363226343,66.65328979492188,259500,405.4877624511719,12.0,,,1.0,,,,,1,,
2022-04-26,65.83883208778292,65.88309240910293,65.22798156738281,65.22798156738281,363200,393.74444580078125,32.0,,,1.0,,,,,1,,
2022-04-27,65.66176452760004,66.1575300621247,65.50241252618261,65.55553436279297,198800,394.85162353515625,32.0,,,1.0,,,,,0,,
2022-04-28,66.05129354477963,66.05129354477963,65.50241292451358,65.85652923583984,160600,404.82537841796875,32.0,,,1.0,,,,,0,,
2022-04-29,66.40541659030725,66.59132615291016,65.90080299061148,65.92736053466797,234900,389.86474609375,32.0,,,1.0,,,,,0,,
2022-05-02,65.64406459429654,65.80341660261482,65.04206886889494,65.34306335449219,184800,392.2115478515625,33.0,,,1.0,,,,,1,,
2022-05-03,65.6440658569336,65.79456310262697,65.48471384555025,65.6440658569336,170300,394.00946044921875,34.0,,,1.0,,,,,0,,
2022-05-04,65.76799743935825,66.95427923546899,65.4758509955257,66.91001892089844,210100,406.00823974609375,42.0,,,1.0,,,,,0,,
2022-05-05,66.06014301582417,66.1221128587744,64.72335725594755,65.06861877441406,220100,391.5775146484375,56.0,,,1.0,,,,,0,,
2022-05-06,64.82074851367477,65.07748268604212,64.45777741522903,64.90042114257812,67700,389.2402038574219,55.0,,4.0,1.0,,,,,0,,
2022-05-09,63.687593148067464,63.873502736606255,63.11215484780447,63.24494934082031,79500,376.7778015136719,65.0,,4.0,4.0,,,,,1,,
2022-05-10,64.44892870912153,64.53745610279582,63.5724892753868,63.953163146972656,193400,377.64837646484375,66.0,,4.0,1.0,,,,,0,,
2022-05-11,63.80266886092163,63.953166112567374,63.11214570235173,63.12984848022461,267600,371.6490173339844,67.0,,4.0,1.0,,,,,0,,
2022-05-12,62.86426342773295,63.174112682972265,62.49243756723858,62.784584045410156,116000,371.26104736328125,67.0,,4.0,1.0,,,,,0,,
2022-05-13,63.08558616848748,63.66987237876705,63.08558616848748,63.60790252685547,62300,380.1371154785156,68.0,,4.0,1.0,,,,,0,,
2022-05-16,63.26264143026994,63.59904823541209,63.138701725522445,63.57249069213867,36000,378.59466552734375,67.0,,4.0,1.0,,,,,0,,
2022-05-17,64.997802734375,65.1925670533781,64.72336578716548,64.997802734375,78900,386.3824768066406,73.0,,4.0,1.0,,,,,0,,
2022-05-18,65.20142296276329,65.31650790137154,64.41351766148942,64.52860260009766,143300,370.8067321777344,72.0,,4.0,1.0,,,,,0,,
2022-05-19,64.88270966519042,65.50240809870067,64.88270966519042,65.36961364746094,48400,368.5357360839844,73.0,,4.0,1.0,,,,,0,,
2022-05-20,65.85653149992353,65.98047120001762,64.99780161055229,65.46700286865234,78400,368.6966857910156,72.0,,4.0,1.0,,,,,0,,
2022-05-23,66.6267313104643,66.83919839431466,66.43196700268194,66.72411346435547,39500,375.594970703125,76.0,,4.0,3.0,,,,,0,,
2022-05-24,66.16639238529159,66.89232793672755,66.05130743045467,66.4496841430664,111500,372.7277526855469,75.0,,4.0,1.0,,,,,0,,
2022-05-25,65.77686176615124,66.29917813177686,65.66177007228245,66.09556579589844,57900,376.0208435058594,74.0,,4.0,1.0,,,,,0,,
2022-05-26,66.1398216731169,66.91002415229237,66.1398216731169,66.80378723144531,36900,383.5342102050781,74.0,,4.0,1.0,,,,,0,,
2022-05-27,66.75953206824438,67.07822934697982,66.75953206824438,67.0428237915039,60000,392.9495849609375,73.0,,4.0,1.0,,,,,0,,
2022-05-31,67.35266989562206,67.46775483103309,67.06937818566578,67.15790557861328,125100,390.74481201171875,72.0,,1.0,1.0,,,,,0,,
2022-06-01,67.6359610269824,67.6359610269824,66.83034622337547,66.98085021972656,67000,387.584228515625,71.0,,1.0,1.0,,,,,0,,
2022-06-02,66.86576355706708,67.2818497612639,66.56476905015475,67.27299499511719,123900,394.9652099609375,71.0,,1.0,1.0,,,,,0,,
2022-06-03,66.85691541411742,66.99856466966698,66.49395101663613,66.57362365722656,82800,388.4831848144531,71.0,,1.0,1.0,,,,,0,,
2022-06-06,67.01625601534911,67.02511078086224,66.03358642381167,66.2372055053711,406400,389.6661376953125,70.0,,1.0,1.0,,,,,0,,
2022-06-07,65.83882829002843,66.11326523068755,65.8122639937198,66.06015014648438,113100,393.40386962890625,69.0,,1.0,1.0,,,,,0,,
2022-06-08,65.92735871317662,65.98932856566545,65.68832731485735,65.72373962402344,122100,389.1266784667969,69.0,,1.0,1.0,,,,,0,,
2022-06-09,65.61481452733989,65.77684891803644,65.14671899193935,65.15571594238281,130200,379.87213134765625,69.0,,1.0,1.0,,,,,0,,
2022-06-10,64.87665767320055,64.87665767320055,64.26452853204101,64.45356750488281,97300,368.85748291015625,69.0,,4.0,1.0,,,,,1,,
2022-06-13,63.26531765946196,63.616391018905055,62.878235895473296,63.07627868652344,94500,354.8526611328125,74.0,,4.0,1.0,,,,,1,,
2022-06-14,63.42735308065497,63.463361485787935,63.08528353374332,63.274322509765625,75700,353.7833251953125,73.0,,4.0,1.0,,,,,0,,
2022-06-15,63.35533616150304,64.00347371698048,62.83323145772491,63.76042556762695,72800,358.8270568847656,73.0,,4.0,1.0,,,,,0,,
2022-06-16,61.64498286261793,61.70799585584656,61.2128888605493,61.60897445678711,70500,346.95123291015625,86.0,,4.0,4.0,,,,,1,,
2022-06-17,61.22188732129692,61.320908711690755,60.879810929790736,61.0328483581543,117800,347.69921875,85.0,,4.0,4.0,,,,,0,,
2022-06-21,61.725999219878176,62.0770726066119,61.725999219878176,61.843021392822266,52200,356.45196533203125,86.0,,4.0,4.0,,,,,0,,
2022-06-22,61.32991806037248,61.67199452103552,60.960843877117355,61.4559440612793,102300,355.8057556152344,85.0,,4.0,4.0,,,,,1,,
2022-06-23,61.14987035107956,61.491939873762966,60.96083138844658,61.18587875366211,57200,359.2935791015625,84.0,,4.0,4.0,,,,,0,,
2022-06-24,61.455941638578075,61.98705707966384,61.44694468736938,61.960052490234375,51000,370.7170104980469,85.0,,4.0,4.0,,,,,0,,
2022-06-27,62.401133793308745,62.41913456083468,62.0500604493979,62.17608642578125,88500,369.3009033203125,84.0,,4.0,4.0,,,,,0,,
2022-06-28,63.17530804255031,63.40935926763801,62.70721246027672,62.716209411621094,167600,361.7550048828125,83.0,,4.0,4.0,,,,,0,,
2022-06-29,62.77921573807115,62.84222873029339,62.49115536392647,62.581172943115234,17000,361.4604797363281,82.0,,4.0,4.0,,,,,0,,
