Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2023-11-21,86.37668312189253,86.66301758086806,85.79447506195332,86.42440795898438,27721000,445.7222900390625,,,,,,,,,0,,
2023-11-22,86.96843750246006,87.1593222870255,86.26214777963484,86.72982788085938,31197500,447.443115234375,28.0,,,3.0,,,,,0,,
2023-11-24,85.99491485224569,86.1476285207492,85.69904122175578,85.70858764648438,20199600,447.71844482421875,32.0,,,1.0,,,,,1,,
2023-11-27,86.18578987763148,87.17839939926588,86.09988663565545,87.14022827148438,39804400,446.9121398925781,39.0,,,1.0,,,,,0,,
2023-11-28,86.76799738740559,87.35974452788834,86.6534621593507,87.31202697753906,44989300,447.3546447753906,38.0,,,1.0,,,,,0,,
2023-11-29,87.91330986525871,88.47642495079391,87.59834348769522,88.40961456298828,61647800,447.0399475097656,41.0,,,1.0,,,,,0,,
2023-11-30,87.77970521689788,88.08512522894898,87.00661240428454,87.38838195800781,60520900,448.8001708984375,44.0,,,1.0,,,,,0,,
2023-12-01,87.42571444691323,89.10127029372968,87.25337126761836,89.03424835205078,64141700,451.4551696777344,50.0,,,1.0,,,,,0,,
2023-12-04,88.55552575642166,88.88106614757352,88.17254006882598,88.68000030517578,33766300,449.0853271484375,50.0,,,1.0,,,,,0,,
2023-12-05,89.64702786251291,90.59491905799705,89.58958256757843,90.58534240722656,73588600,448.9968566894531,57.0,,,1.0,,,,,0,,
2023-12-06,91.03535331528653,91.96409124274129,90.8342874709166,91.791748046875,61606100,447.1874694824219,59.0,,,1.0,,,,,0,,
2023-12-07,91.13110044816736,91.99281645148108,91.01620254611063,91.26514434814453,47970200,450.5997009277344,58.0,,,1.0,,,,,0,,
2023-12-08,90.40341266474682,90.69065371764556,89.91511310159976,90.518310546875,44800500,452.536865234375,59.0,,,1.0,,,,,1,,
2023-12-11,90.01086395913265,90.42257226773874,89.55127970342475,90.32682037353516,33909700,454.29705810546875,58.0,,,1.0,,,,,0,,
2023-12-12,90.14492486586566,90.67152385919526,89.90555969484893,90.59493255615234,36996900,456.3719482421875,57.0,,1.0,1.0,,,,,0,,
