Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2021-08-20,402.8798469271739,405.7108495218465,401.52546860360195,404.1589660644531,2401900,418.9693298339844,,,,,,,,,0,,
2021-08-23,404.9583791069228,404.9583791069228,399.63492611141976,400.06756591796875,2375900,422.6547546386719,81.0,,,3.0,,,,,0,,
2021-08-24,400.2180741870938,400.6131131265575,396.64403810018376,398.2335510253906,1619300,423.3257141113281,80.0,,,3.0,,,,,0,,
2021-08-25,396.7662900323358,398.4310333396531,394.50900270122054,394.78173828125,1939000,424.2139892578125,80.0,,,3.0,,,,,0,,
2021-08-26,394.8099250825582,396.3336219075659,391.85664845032943,392.0635681152344,1385400,421.7098083496094,79.0,,,3.0,,,,,0,,
2021-08-27,393.15464227003775,395.3554996697264,391.3770101185776,393.86004638671875,1621600,425.4802551269531,78.0,,,3.0,,,,,0,,
2021-08-30,393.8600061266245,395.56237892462855,393.0417420273917,393.4273376464844,1284200,427.35137939453125,77.0,,,3.0,,,,,0,,
2021-08-31,392.20470061769015,395.7223067332444,389.5900037616909,391.5180969238281,4249100,426.7181701660156,76.0,,,3.0,,,,,0,,
2021-09-01,391.772070837158,394.90405266006553,386.7871975803221,392.5339050292969,2034400,426.9449768066406,75.0,,,1.0,,,,,0,,
2021-09-02,394.2362157958831,399.16462953469164,393.37090753874367,398.5156555175781,3137400,428.258544921875,77.0,,,1.0,,,,,0,,
2021-09-03,396.84158376017433,398.7885062335652,395.60006548413054,397.7162780761719,1604800,428.154541015625,76.0,,,1.0,,,,,0,,
2021-09-07,395.30845712520505,397.15193389048136,392.7501903701166,396.19256591796875,1920300,426.62371826171875,75.0,,,1.0,,,,,0,,
2021-09-08,396.1455742427533,397.7256726767459,389.5712166385912,390.6904602050781,2262500,426.1039733886719,76.0,,,1.0,,,,,0,,
2021-09-09,390.6433938192135,395.23322789752206,389.31723062587673,389.9003601074219,3508500,424.2801818847656,75.0,,,1.0,,,,,0,,
2021-09-10,392.22223411562226,392.6375261109986,379.9806254787148,381.22650146484375,4215800,420.9349060058594,80.0,,4.0,1.0,,,,,0,,
2021-09-13,385.06790687018906,393.40200255015645,383.62383262244964,391.2406005859375,3068200,422.01214599609375,86.0,,4.0,3.0,,,,,0,,
2021-09-14,394.13820744003215,394.13820744003215,388.267520515293,389.371826171875,2879800,419.7347106933594,85.0,,4.0,3.0,,,,,0,,
2021-09-15,389.35294263109074,397.7531433180663,386.5025556425763,394.0721435546875,3180600,423.24066162109375,86.0,,4.0,3.0,,,,,0,,
2021-09-16,396.10141214883856,399.6219175070654,391.6559042618605,393.4303283691406,2262700,422.56976318359375,84.0,,4.0,3.0,,,,,0,,
2021-09-17,391.6653105613549,397.4416071156988,391.6653105613549,396.5638427734375,4534200,418.45343017578125,84.0,,1.0,3.0,,,,,0,,
2021-09-20,393.5058644172191,395.7521798727488,385.7663633430667,389.5228576660156,2799800,411.4760437011719,86.0,,1.0,3.0,,,,,0,,
2021-09-21,391.7031717409469,395.2614392991626,389.06040162127357,389.18310546875,2382200,411.0874328613281,85.0,,1.0,3.0,,,,,0,,
