Date,Open,High,Low,Close,Volume,IndexClose,CVI,LTI,STI,VI,SecState,VWRS,VWRS_1wk,RS,GapDown,Thermostat,Days
2021-12-03,42.89926062303437,43.53709635142578,42.71927827572266,43.420265197753906,44142600,428.66015625,,,,,,,,,0,,
2021-12-06,43.43605575742585,44.00442737710249,43.29080728010158,43.890750885009766,32589300,433.7368469238281,86.0,,,3.0,,,,,0,,
2021-12-07,44.080204601594104,44.15283064130402,43.60340514714266,43.7486572265625,37739100,442.70867919921875,84.0,,,3.0,,,,,0,,
2021-12-08,43.593940972751284,43.732876509965045,42.946630302438784,43.30659866333008,34496400,443.8809509277344,84.0,,,3.0,,,,,0,,
2021-12-09,43.31610496494793,43.931148172293895,43.02443835665073,43.908958435058594,32351700,440.88409423828125,85.0,,,3.0,,,,,0,,
2021-12-10,43.85823064795694,44.7966431405827,43.61411452815771,44.71104431152344,38575500,445.0343017578125,87.0,,,3.0,,,,,0,,
2021-12-13,44.46059014089185,45.57337492664095,44.38767167868831,45.51630783081055,54039300,441.0920715332031,89.0,,,3.0,,,,,0,,
2021-12-14,45.43070649832603,46.058430005297936,45.066117835538996,45.95063781738281,46721400,438.057373046875,89.0,,,3.0,,,,,0,,
2021-12-15,46.03624358999384,46.43570604279528,45.46241609037914,46.213783264160156,33489900,444.9019775390625,88.0,,,3.0,,,,,0,,
2021-12-16,46.21377936851794,46.454724493941974,45.30072759357499,45.443389892578125,39069600,440.97857666015625,90.0,,,3.0,,,,,0,,
2021-12-17,45.25634002717954,45.63678007377123,43.87408202272978,43.98821258544922,78581100,436.2853088378906,99.0,,,3.0,,,,,0,,
2021-12-20,43.788479347559345,44.305239647362086,43.623623701650544,44.13087463378906,31017900,431.6461181640625,98.0,,,3.0,,,,,0,,
2021-12-21,44.035769503044556,44.34012010854185,43.75361226299354,44.264034271240234,24620400,439.3117370605469,96.0,,,3.0,,,,,0,,
2021-12-22,44.35280106260995,44.381336426602225,43.918468514073,44.32109832763672,17028000,443.70428466796875,95.0,,,3.0,,,,,0,,
2021-12-23,44.321095665428,44.43522985825056,44.01991607312759,44.222816467285156,17592600,446.46502685546875,93.0,,,3.0,,,,,0,,
